split,rmse_nm,fixed_preload_rmse_nm,rmse_improvement_pct,mean_preload_mm,mean_abs_preload_change_mm,max_abs_preload_change_mm,fixed_preload_offload_pct,controlled_preload_offload_pct,baseline_motor_energy_j,residual_motor_energy_j,motor_energy_saved_j,preload_adjustment_energy_used_j,preload_energy_released_j,net_energy_saved_after_preload_j
train,33.57255935668945,60.26764678955078,44.294225600143605,655.6005477905273,159.7566455602646,1399.999976158142,-8.285017013549805,51.60881423950195,696.084228515625,336.84344482421875,359.24078369140625,448.2999572753906,936.100830078125,-89.05917358398438
test,33.1331787109375,59.60246658325195,44.4097189087678,655.1381349563599,163.07571530342102,1399.999976158142,-8.311498641967773,51.75747299194336,687.3552856445312,331.5975341796875,355.75775146484375,456.0587463378906,951.217529296875,-100.30099487304688
