profile,family,spring_00,spring_01,spring_02,spring_03,spring_04,spring_05,spring_06,spring_07,spring_08,spring_09,spring_10,spring_11,spring_12,spring_13,spring_14,spring_15,spring_16,spring_17,spring_18,spring_19,spring_20,spring_21,spring_22,spring_23,spring_24,spring_25,spring_26,spring_27,spring_28,spring_29,spring_30,spring_31,spring_32,spring_33,spring_34,spring_35,spring_36,spring_37,spring_38,spring_39,spring_40,spring_41,spring_42,spring_43,spring_44,spring_45,spring_46,spring_47,spring_48,spring_49,spring_50,spring_51,spring_52,spring_53,spring_54,spring_55,spring_56,spring_57,spring_58,spring_59
low_roughness_0367,low_roughness,85.0,85.0,100.0,100.0,223.50624084472656,28.608963012695312,0.05112764239311218,57.95424270629883,0.0007569958106614649,0.0020918413065373898,0.0046740369871258736,164.252197265625,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,214.21524047851562,0.03459028899669647,0.00011459195229690522,0.010461604222655296,228.28909301757812,0.00013450034020934254,210.8738250732422,0.011747060343623161,0.005063784774392843,164.40921020507812,134.39259338378906,0.0033387658186256886,165.2616424560547,0.005222378298640251,192.76625061035156,0.009081066586077213,89.8343276977539,0.028903203085064888,0.0016846942016854882,0.0009183234069496393,0.00020526442676782608,0.0010135183110833168,185.62100219726562,0.008555112406611443,139.96791076660156,0.0038130597677081823,73.84747314453125,0.016338586807250977,3.8192715644836426,161.64584350585938,0.0025903554633259773,122.51033020019531,0.0003316922811791301,0.001211250200867653,181.74884033203125,0.00786413624882698
medium_roughness_0070,medium_roughness,85.0,85.0,100.0,100.0,225.09725952148438,0.004054049029946327,0.0017895617056638002,11.352935791015625,0.002551147248595953,0.0012094766134396195,116.83055877685547,61.62822341918945,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,206.2641143798828,499.818603515625,0.00042831586324609816,176.5723419189453,0.000840473105199635,0.00040532086859457195,127.93054962158203,0.017116528004407883,93.36375427246094,30.802711486816406,34.054725646972656,89.99002075195312,105.2601089477539,142.03793334960938,108.84213256835938,52.18596649169922,85.39404296875,0.0023528661113232374,0.002030885312706232,0.0021729180589318275,0.0014908132143318653,0.0011616075644269586,114.2883071899414,58.09583282470703,47.31890869140625,99.84239959716797,50.04457473754883,0.002393667818978429,0.0019706471357494593,91.3427734375,107.63721466064453,70.67638397216797,0.0016491336282342672,0.0014417256461456418,46.57231521606445,0.05240295082330704
low_roughness_0116,low_roughness,85.0,85.0,100.0,100.0,52.41438293457031,156.88006591796875,31.949169158935547,19.93862533569336,0.01453713420778513,0.0036633331328630447,132.2275390625,11.741486549377441,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,49.01060104370117,96.45479583740234,0.0011469584424048662,160.22251892089844,164.95126342773438,0.0010040114866569638,17.711063385009766,137.13926696777344,126.98767852783203,4.6699419021606445,0.20042820274829865,117.64205932617188,10.813395500183105,124.67758178710938,4.517720699310303,123.9326171875,0.5224168300628662,69.42166137695312,0.009212145581841469,0.013293951749801636,0.006661758758127689,0.003152567893266678,0.3692361116409302,116.29889678955078,0.222650945186615,114.49253845214844,0.10992931574583054,64.77391052246094,115.81285095214844,0.11860416829586029,114.15473937988281,36.78755187988281,0.008526960387825966,0.004899023566395044,0.21443751454353333,114.5340347290039
high_roughness_0145,high_roughness,85.0,85.0,100.0,100.0,197.55966186523438,0.002351238625124097,0.0013893014984205365,82.95689392089844,122.1522216796875,0.0019203403498977423,287.6569519042969,173.59732055664062,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,286.8946228027344,603.24609375,311.29461669921875,252.19967651367188,0.0007764046313241124,99.82881164550781,202.377685546875,252.92982482910156,294.9687194824219,142.531005859375,157.68301391601562,269.5819091796875,201.28231811523438,265.6316833496094,192.4404754638672,262.87451171875,139.45887756347656,0.0017387078842148185,0.005001692567020655,0.007287645246833563,134.9664306640625,0.00546920346096158,198.05841064453125,248.08543395996094,162.25511169433594,265.3614501953125,135.322998046875,0.0018520440207794309,0.001274182228371501,59.43052673339844,249.99118041992188,185.64288330078125,0.01732008345425129,0.004453113302588463,126.98274230957031,281.2376708984375
low_roughness_0148,low_roughness,85.0,85.0,100.0,100.0,94.36305236816406,92.16925048828125,78.51728057861328,81.07979583740234,54.83843994140625,55.427696228027344,97.14402770996094,97.19475555419922,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,121.79373168945312,114.33024597167969,0.001821561367250979,121.6431655883789,107.97116088867188,0.001820429228246212,103.53889465332031,87.82200622558594,92.68592834472656,92.85760498046875,83.02505493164062,83.03141784667969,87.84727478027344,87.82023620605469,89.67140197753906,87.89757537841797,47.611854553222656,45.438133239746094,33.99557113647461,33.977943420410156,7.136953830718994,8.28528118133545,81.86493682861328,80.39484405517578,79.23728942871094,79.227294921875,38.48261260986328,36.640541076660156,36.51182556152344,39.42207717895508,77.550537109375,77.51803588867188,15.385693550109863,15.579930305480957,80.87181091308594,77.13387298583984
medium_roughness_0300,medium_roughness,85.0,85.0,100.0,100.0,101.48031616210938,49.30381774902344,113.75430297851562,0.0037588656414300203,0.005301803350448608,118.46076202392578,0.011144732125103474,264.0433349609375,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,258.9297180175781,0.003519344376400113,214.382080078125,0.025852380320429802,705.79443359375,463.2053527832031,240.3128204345703,0.013029125519096851,0.010053291916847229,260.0339660644531,256.8343505859375,0.009714053943753242,245.49761962890625,0.01095201913267374,231.03729248046875,0.010780773125588894,0.0189693383872509,42.422054290771484,13.76665210723877,0.05593020096421242,172.23634338378906,173.0938262939453,221.83778381347656,0.010010858997702599,248.13990783691406,0.009413677267730236,0.986609697341919,20.268207550048828,56.8765983581543,0.0035979885142296553,0.011866849847137928,248.5701446533203,42.95744705200195,88.12418365478516,227.1903839111328,0.009486089460551739
high_roughness_0175,high_roughness,85.0,85.0,100.0,100.0,0.0024948169011622667,0.002240503905341029,0.0012988122180104256,0.0013281541178002954,214.70140075683594,161.70663452148438,446.267822265625,393.43365478515625,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,357.6348876953125,430.980712890625,1193.097412109375,367.90826416015625,164.1387939453125,1186.775146484375,239.984375,68.80118560791016,422.13885498046875,372.7703552246094,412.3526306152344,475.6924133300781,367.1785583496094,408.4275817871094,255.9000701904297,142.9327392578125,0.0021169381216168404,0.0018098396249115467,290.4815979003906,333.2330627441406,729.9017944335938,673.284423828125,246.7472381591797,137.6274871826172,391.3726806640625,448.81689453125,0.0030280782375484705,0.0021717739291489124,0.0010222084820270538,0.0010040153283625841,486.4339599609375,425.6036071777344,570.40625,517.275390625,251.00926208496094,125.10575866699219
low_roughness_0328,low_roughness,85.0,85.0,100.0,100.0,175.12109375,79.33372497558594,71.45433807373047,143.099853515625,15.551856994628906,1.7901556491851807,0.5289839506149292,112.77828216552734,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,140.4745635986328,69.92445373535156,0.00044627563329413533,31.142160415649414,62.10695266723633,0.0004961034283041954,129.4030303955078,20.85881996154785,0.3627212941646576,110.496826171875,94.83609008789062,0.0486258901655674,104.33303833007812,0.1335640251636505,114.0953598022461,5.0331926345825195,121.566650390625,34.052345275878906,0.016199517995119095,0.009512566030025482,0.004616757854819298,0.008374877274036407,106.16461181640625,0.39253759384155273,92.94384002685547,0.04844864830374718,112.3434829711914,21.9322509765625,35.269256591796875,115.6446304321289,0.029968442395329475,85.37850189208984,0.004991523921489716,0.009497170336544514,105.8941879272461,0.3172950744628906
medium_roughness_0231,medium_roughness,85.0,85.0,100.0,100.0,222.1511993408203,0.00013244252477306873,0.000215182124520652,132.11709594726562,0.00043530628317967057,0.0001279387652175501,159.13409423828125,0.00019371927191969007,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,26.291423797607422,935.2283935546875,4.063560481881723e-05,277.9969482421875,0.0003630081773735583,4.159649324719794e-05,0.0031616974156349897,225.5820770263672,147.38577270507812,0.0003999889886472374,0.00027137997676618397,99.44573211669922,0.00024555783602409065,208.5842742919922,0.0024194270372390747,218.27085876464844,101.66426849365234,0.00015419036208186299,0.00025812312378548086,0.00032329512760043144,0.0001994900085264817,0.00011601132428040728,0.002629418158903718,216.04397583007812,0.00020936699002049863,130.4342041015625,0.09186511486768723,0.00010377198486821726,0.0002489977632649243,351.87884521484375,118.87450408935547,0.001016304362565279,0.00023928555310703814,0.00016292574582621455,0.0017367639811709523,188.11083984375
low_roughness_0094,low_roughness,85.0,85.0,100.0,100.0,67.22252655029297,137.75387573242188,0.015553745441138744,75.31195831298828,121.92677307128906,0.0039542787708342075,152.67874145507812,12.890095710754395,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,37.897865295410156,431.1350402832031,0.0017980844713747501,167.6934356689453,0.020137010142207146,0.001991430064663291,11.686722755432129,148.4373779296875,148.0286102294922,5.84938383102417,3.620687484741211,141.32455444335938,3.9114038944244385,140.52008056640625,0.5307122468948364,136.0263214111328,32.28252029418945,50.666561126708984,42.64274978637695,40.54265594482422,136.7159423828125,149.44911193847656,0.12415017187595367,127.7581787109375,0.447218656539917,135.73165893554688,21.704771041870117,67.74769592285156,0.015696460381150246,22.446664810180664,136.07650756835938,10.1691312789917,69.48888397216797,91.79360961914062,0.11173886060714722,128.93104553222656
low_roughness_0081,low_roughness,85.0,85.0,100.0,100.0,461.5232238769531,0.09312722831964493,0.010527263395488262,0.007700392510741949,0.002395414747297764,0.0054213255643844604,0.0104964729398489,90.79947662353516,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,152.7605743408203,214.17445373535156,0.0012764709535986185,14.843977928161621,0.0005255817086435854,0.0011288609821349382,127.91134643554688,10.581527709960938,0.02220425382256508,81.44888305664062,68.49431610107422,0.011932574212551117,98.42842102050781,0.03204171359539032,110.1357192993164,0.4290395677089691,154.82481384277344,0.01102497335523367,0.005175561644136906,0.004677666816860437,0.002451361622661352,0.003430734621360898,104.86663818359375,0.11683950573205948,72.03248596191406,0.007975589483976364,174.7747802734375,0.010543704964220524,0.008836058899760246,13.702043533325195,50.487483978271484,74.69486999511719,0.0031428809743374586,0.0037801649887114763,91.84363555908203,0.08628084510564804
medium_roughness_0210,medium_roughness,85.0,85.0,100.0,100.0,0.00033844291465356946,238.5692596435547,121.10759735107422,6.16116521996446e-05,132.1894073486328,0.0005332732107490301,72.42991638183594,280.87982177734375,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,219.54986572265625,0.00018317208741791546,6.929172377567738e-05,148.61544799804688,985.2779541015625,0.0005287095555104315,149.26780700683594,44.3104133605957,42.1330680847168,263.9382629394531,301.8382263183594,81.27367401123047,249.24668884277344,88.23208618164062,156.67483520507812,35.06867980957031,8.33703888929449e-05,235.56150817871094,0.01593710109591484,0.0020729098469018936,299.3195495605469,226.96788024902344,146.05221557617188,35.298091888427734,278.5608215332031,73.94772338867188,0.0001386974472552538,214.9492950439453,176.84445190429688,2.474916254868731e-05,188.80203247070312,316.3879699707031,0.009509234689176083,156.94212341308594,157.25311279296875,20.831756591796875
low_roughness_0109,low_roughness,85.0,85.0,100.0,100.0,85.29035949707031,140.3772430419922,111.17244720458984,66.62212371826172,40.85778045654297,37.732364654541016,104.67159271240234,51.802146911621094,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,74.1874008178711,114.58946990966797,0.0015305491397157311,128.11402893066406,132.79263305664062,0.0015245286049321294,50.25196838378906,107.34458923339844,99.81405639648438,45.37270736694336,41.34025192260742,91.39991760253906,42.64453887939453,95.14432525634766,37.19509506225586,94.0157470703125,37.056007385253906,88.3026123046875,0.345037579536438,13.118949890136719,0.18356364965438843,0.015651056542992592,29.299306869506836,86.1169662475586,35.934024810791016,87.20762634277344,29.399572372436523,81.80992889404297,74.63961791992188,25.202308654785156,87.0669174194336,45.659423828125,0.39216217398643494,0.028044704347848892,28.777172088623047,85.62443542480469
