profile,family,spring_00,spring_01,spring_02,spring_03,spring_04,spring_05,spring_06,spring_07,spring_08,spring_09,spring_10,spring_11,spring_12,spring_13,spring_14,spring_15,spring_16,spring_17,spring_18,spring_19,spring_20,spring_21,spring_22,spring_23
low_roughness_0176,low_roughness,85.0,85.0,100.0,100.0,2.2743990484741516e-05,1216.0592041015625,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,1248.5216064453125,828.8754272460938,488.8193054199219,2.8186344934511e-05,1.8855698726838455e-05,467.5333557128906
medium_roughness_0358,medium_roughness,85.0,85.0,100.0,100.0,8.011712452571373e-06,6.255000698729418e-06,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,724.6090698242188,6.5023841671063565e-06,327.9630126953125,9.722700269776396e-06,1.0575457963568624e-05,1003.1058959960938
medium_roughness_0256,medium_roughness,85.0,85.0,100.0,100.0,928.6634521484375,1246.1920166015625,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,1267.078125,1243.490478515625,3.6442306736717e-05,0.0009688638965599239,1303.2763671875,3.733166158781387e-05
low_roughness_0131,low_roughness,85.0,85.0,100.0,100.0,1207.1700439453125,2.0165000023553148e-05,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,2.4909511921578087e-05,1.8257753254147246e-05,1.3020343430980574e-05,1258.9718017578125,1310.3876953125,746.7686157226562
medium_roughness_0280,medium_roughness,85.0,85.0,100.0,100.0,0.000349423848092556,1065.9716796875,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,1077.220947265625,1207.6776123046875,3.8013326957297977e-06,0.0003575521695893258,388.5248718261719,5.764884008385707e-06
high_roughness_0317,high_roughness,85.0,85.0,100.0,100.0,5.180419520911528e-06,3.200207856934867e-06,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,3.5235837003710913e-06,1555.5670166015625,3.0106409667496337e-06,5.471300028148107e-06,3.992513484263327e-06,3.2332930004486116e-06
low_roughness_0121,low_roughness,85.0,85.0,100.0,100.0,1221.6600341796875,7.078923772496637e-06,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,1.0891082638408989e-05,943.5203857421875,0.00024031386419665068,1241.230712890625,798.2821655273438,6.0256537835812196e-05
high_roughness_0351,high_roughness,85.0,85.0,100.0,100.0,945.4668579101562,0.0009207839029841125,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,0.0004075219330843538,4.3021540477639064e-05,4.1910701838787645e-05,993.9617919921875,1292.0379638671875,782.4035034179688
high_roughness_0324,high_roughness,85.0,85.0,100.0,100.0,1.0770091648737434e-05,7.97430857346626e-06,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,9.644370038586203e-06,9.479323125560768e-06,119.65699005126953,622.6048583984375,4.778890343004605e-06,580.6930541992188
high_roughness_0206,high_roughness,85.0,85.0,100.0,100.0,537.8241577148438,1174.3175048828125,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,1139.0672607421875,0.0005660258466377854,155.18682861328125,1063.5343017578125,1459.4888916015625,634.1944580078125
high_roughness_0168,high_roughness,85.0,85.0,100.0,100.0,131.487060546875,1078.189697265625,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,664.0139770507812,1.2171303751529194e-05,1.9548733689589426e-05,1452.6259765625,1547.653564453125,57.782958984375
