profile,family,spring_00,spring_01,spring_02,spring_03,spring_04,spring_05,spring_06,spring_07,spring_08,spring_09,spring_10,spring_11,spring_12,spring_13,spring_14,spring_15,spring_16,spring_17,spring_18,spring_19,spring_20,spring_21,spring_22,spring_23,spring_24,spring_25,spring_26,spring_27,spring_28,spring_29,spring_30,spring_31,spring_32,spring_33,spring_34,spring_35,spring_36,spring_37,spring_38,spring_39,spring_40,spring_41,spring_42,spring_43,spring_44,spring_45,spring_46,spring_47
low_roughness_0367,low_roughness,85.0,85.0,100.0,100.0,326.6111145019531,0.05382377654314041,0.02256937511265278,219.84156799316406,0.001505468157120049,0.0020988588221371174,0.0032641461584717035,218.8397674560547,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,266.12860107421875,19.9422607421875,8.318875916302204e-05,0.005187200382351875,95.8114242553711,0.00010647575254552066,278.4692077636719,0.006019219756126404,0.003458743216469884,222.74624633789062,186.21728515625,0.002541259629651904,217.33349609375,0.003403889015316963,257.7369079589844,0.0050314911641180515,225.50892639160156,0.013088527135550976,0.0014585251919925213,0.0005755588063038886,0.0002718490140978247,0.0009228141279891133,250.1315155029297,0.00476142019033432
medium_roughness_0070,medium_roughness,85.0,85.0,100.0,100.0,341.5686340332031,0.002319266786798835,0.0012084855698049068,86.22898864746094,0.002071164781227708,0.0008762582438066602,181.62985229492188,76.83071899414062,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,265.6366882324219,689.1058959960938,0.00034333308576606214,223.36349487304688,0.0005456081125885248,0.0003173339937347919,172.6614227294922,0.006013401784002781,160.65721130371094,37.63105773925781,45.29294967651367,148.54759216308594,138.6810760498047,208.69564819335938,147.62998962402344,30.28400230407715,185.42030334472656,0.0015463546151295304,0.0014744652435183525,0.0015912569360807538,0.001150614465586841,0.0008601731969974935,157.16268920898438,39.993934631347656
low_roughness_0116,low_roughness,85.0,85.0,100.0,100.0,5.265681743621826,189.1185760498047,152.4469757080078,0.029955372214317322,0.007984178140759468,0.002840218134224415,173.19139099121094,3.8891570568084717,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,29.932767868041992,0.008397771045565605,0.0010017664171755314,201.356201171875,246.71646118164062,0.0008899692911654711,0.09234947711229324,171.58816528320312,166.3920135498047,0.12761209905147552,1.513464093208313,160.26364135742188,1.0827655792236328,166.150390625,0.04633757099509239,159.5514678955078,0.019769728183746338,121.8023910522461,0.004615411162376404,0.006740236654877663,0.004477590322494507,0.0015386984450742602,0.03416898846626282,152.0608367919922
high_roughness_0145,high_roughness,85.0,85.0,100.0,100.0,249.1542205810547,0.0014495144132524729,0.0009648949489928782,144.81484985351562,147.543212890625,0.0012888488126918674,415.4623718261719,261.0298156738281,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,396.3230895996094,712.9970703125,367.5411071777344,361.9767150878906,0.0005735960439778864,20.829042434692383,276.8804016113281,321.08294677734375,425.4663391113281,219.60443115234375,247.4952850341797,397.8136901855469,297.9891662597656,388.0845642089844,271.5459289550781,369.5622253417969,198.35951232910156,0.001094547100365162,0.0028881889302283525,0.004031351301819086,124.96427917480469,0.002797018736600876,281.31768798828125,353.5216064453125
low_roughness_0148,low_roughness,85.0,85.0,100.0,100.0,93.15523529052734,89.96465301513672,76.33675384521484,80.11357116699219,52.366966247558594,52.1439323425293,98.6594009399414,98.78414916992188,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,123.64297485351562,117.72460174560547,0.001497536082752049,123.26780700683594,108.54212188720703,0.0014962322311475873,105.41321563720703,81.77630615234375,94.12947845458984,94.4098129272461,84.57881927490234,84.55099487304688,89.53231811523438,89.40692901611328,91.46224975585938,88.74916076660156,46.30890655517578,43.10382843017578,31.024002075195312,31.06954002380371,2.4783084392547607,3.2547173500061035,83.6790771484375,81.33837127685547
medium_roughness_0300,medium_roughness,85.0,85.0,100.0,100.0,172.96165466308594,5.8043131828308105,127.90576934814453,0.006068158429116011,0.006517610978335142,151.18853759765625,0.005031277891248465,343.2336730957031,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,333.54315185546875,0.002613125601783395,202.4627227783203,0.007470932323485613,646.3995971679688,516.1779174804688,318.1575622558594,0.005908722523599863,0.0048361653462052345,339.5805969238281,336.5283508300781,0.004567843396216631,323.3847961425781,0.00504277041181922,308.92034912109375,0.0052947476506233215,18.327016830444336,20.63766098022461,0.07955391705036163,0.6251678466796875,108.00100708007812,198.6128692626953,299.54620361328125,0.005064054392278194
high_roughness_0175,high_roughness,85.0,85.0,100.0,100.0,0.0010401573963463306,0.0013328242348507047,0.0008077051024883986,0.0006874639075249434,180.520263671875,130.44691467285156,560.7434692382812,486.9985656738281,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,440.7695617675781,512.6201171875,1278.7774658203125,472.2985534667969,334.6322937011719,1273.4263916015625,277.69342041015625,72.07496643066406,531.7323608398438,460.1327819824219,512.886474609375,593.9727783203125,459.54248046875,521.8417358398438,306.1525573730469,153.05502319335938,0.0009438437991775572,0.0010985976550728083,289.301025390625,335.5871276855469,793.2036743164062,727.8421020507812,297.25885009765625,146.17434692382812
low_roughness_0328,low_roughness,85.0,85.0,100.0,100.0,243.2000732421875,61.23896026611328,89.33415222167969,204.81468200683594,59.24851989746094,11.925477981567383,0.010998336598277092,143.67025756835938,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,173.80552673339844,0.08326666802167892,6.156155723147094e-05,0.02069682441651821,58.517417907714844,0.00016171975585166365,183.0029754638672,0.0252989511936903,0.011574622243642807,147.19338989257812,117.73471069335938,0.008189109154045582,134.4595947265625,0.010316796600818634,164.4487762451172,0.016875823959708214,188.45474243164062,29.22632598876953,0.019945086911320686,56.877899169921875,0.007076591718941927,0.005972605664283037,156.1881866455078,0.014912541955709457
medium_roughness_0231,medium_roughness,85.0,85.0,100.0,100.0,463.7395324707031,0.00010148739966098219,0.00011588229244807735,459.7449035644531,0.00038235916872508824,7.509561692131683e-05,233.22840881347656,0.0002473768836352974,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,60.55473327636719,1058.347900390625,2.6503505068831146e-05,343.8493957519531,0.00021551293320953846,2.7275005777482875e-05,0.0022728845942765474,262.9434814453125,219.89930725097656,0.0003505712084006518,0.000162288430146873,158.2213134765625,0.00036298431223258376,295.8703918457031,0.0017429469153285027,272.32342529296875,379.0932312011719,6.936564750503749e-05,0.0001592545013409108,0.00020735745783895254,0.0001368909579468891,6.954886339372024e-05,0.0019196122884750366,270.1256103515625
low_roughness_0094,low_roughness,85.0,85.0,100.0,100.0,42.86097717285156,158.7866668701172,15.339874267578125,73.37510681152344,137.93777465820312,0.01801547221839428,198.28199768066406,0.06199329346418381,75.0,110.0,85.0,115.0,95.0,70.0,75.0,110.0,85.0,115.0,95.0,70.0,8.983196258544922,342.787841796875,0.0013923984952270985,207.82505798339844,0.009082933887839317,0.0012705133995041251,0.05103810504078865,183.879638671875,192.04302978515625,0.041831061244010925,0.040048062801361084,190.26058959960938,0.04208921641111374,184.9545135498047,0.031066350638866425,172.86276245117188,15.636653900146484,76.98319244384766,82.24000549316406,18.735918045043945,175.112060546875,148.53390502929688,0.02519151009619236,164.50222778320312
