period,policy,rmse_nm,motor_work_offload_pct,baseline_motor_work_j,assisted_motor_work_j,mean_force_residual_n
1,default,32.28420549727635,20.174426031477225,103.38411648431142,82.52696437588776,8.701267074684437e-06
2,previous_period,20.814431265023035,47.39733655804695,103.38411648431142,54.38279884667904,0.00010220726475154151
3,previous_period,25.099480520171806,37.374506301458204,103.38411648431142,64.74481335417556,3.559068217100503e-05
4,previous_period,22.893538952760814,42.44907343132406,103.38411648431142,59.49851696156046,0.00018828025008588156
5,previous_period,23.925154397664794,39.92815443178936,103.38411648431142,62.10474679651456,3.0121519205295045e-05
6,previous_period,23.402375855083374,41.2253940002748,103.38411648431142,60.76360712995099,6.59693192233135e-05
7,previous_period,23.668189924049354,40.54711579061867,103.38411648431142,61.46483906430959,3.000388276177546e-05
8,previous_period,23.53001004400337,40.90415811844194,103.38411648431142,61.09571400821448,3.656480860172451e-05
9,previous_period,23.602456443628302,40.71483426876006,103.38411648431142,61.29144479750217,3.657706682247408e-05
10,previous_period,23.564160705459816,40.81552328253826,103.38411648431142,61.18734835021082,3.479196537909956e-05
11,previous_period,23.584492731146142,40.761809840704174,103.38411648431142,61.242879517484305,4.1891662556281516e-05
12,previous_period,23.573661321888586,40.79050399349261,103.38411648431142,61.21321432114133,3.268234767119793e-05
13,previous_period,23.579442481974006,40.7751638104336,103.38411648431142,61.22907363386396,4.459149624835845e-05
14,previous_period,23.57635330593947,40.78336758686792,103.38411648431142,61.220592232078985,2.8021952999779387e-05
15,previous_period,23.578006352894647,40.77897247359871,103.38411648431142,61.225136081100835,4.0334065556635326e-05
16,previous_period,23.577120705058025,40.78132862656538,103.38411648431142,61.222700193173225,3.3119779595836006e-05
17,previous_period,23.57759533161881,40.78006802130062,103.38411648431142,61.22400345878855,3.706655378437063e-05
18,previous_period,23.577341036910553,40.780743452303774,103.38411648431142,61.22330517041348,3.869329467534044e-05
19,previous_period,23.577479136821587,40.78037331217716,103.38411648431142,61.223687836513136,3.505698641674826e-05
20,previous_period,23.577403366546495,40.780579287830626,103.38411648431142,61.22347489040362,3.372389670630582e-05
