profile,default_rmse_nm,settled_rmse_nm,settled_offload_pct
piecewise_0000,43.96775489438803,46.33984724616242,12.877605733634612
piecewise_0001,22.03228967000772,28.4986091090984,11.176265730577473
piecewise_0002,50.668493764385566,41.41020660489523,6.600126979909005
piecewise_0003,61.23788075460674,36.5925889764226,48.28159228330515
piecewise_0004,68.38744210108231,45.92789767708915,45.91323506242645
piecewise_0005,79.44200944607026,44.03351448521555,36.847279860797165
piecewise_0006,63.56895259956331,31.99536465516354,69.0416482359107
piecewise_0007,48.50487694954556,43.83238721883381,9.47853692268632
piecewise_0008,45.86475779308103,52.71763184558806,0.7920706370856512
piecewise_0009,54.9474758505273,32.42986272135708,58.277512040555266
piecewise_0010,63.588401910120034,38.85172606159832,47.051943274102925
piecewise_0011,40.65981976289179,40.007058738425584,5.729341520413634
piecewise_0012,35.91500748696519,40.29311194207282,1.5350553423878033
piecewise_0013,48.76257982182782,37.83317012368442,17.57189293473206
piecewise_0014,50.422521544921075,50.77983437209903,-15.197719924390496
piecewise_0015,62.82726362981922,33.2041644763771,55.94360454727665
piecewise_0016,37.74013828741839,14.85777914003975,53.705542971032905
piecewise_0017,40.592976122653035,36.8905351228755,17.508459110001017
piecewise_0018,40.42626532789575,20.14858847503783,37.323576172275885
piecewise_0019,46.0800200692268,47.85523367740766,8.949245021704066
piecewise_0020,49.05069946015217,58.51509409076149,-7.383685317688138
piecewise_0021,64.87996111631034,69.24561003870224,5.7623872254907615
piecewise_0022,49.224786020680725,47.33770361907061,10.67199839743006
piecewise_0023,27.26221494462452,28.840542494166247,-5.050049961963765
piecewise_0024,47.64504379250001,70.48394661254635,-41.46452861871231
piecewise_0025,67.4153913340102,43.986826767158036,32.53058695159752
piecewise_0026,71.0159815400489,26.465441000616316,56.94358660065455
piecewise_0027,71.1873566565228,55.56120949223603,28.71058397197218
piecewise_0028,37.14965697665701,54.40039125123857,-36.19609916809934
piecewise_0029,38.17733967850368,43.66138406397193,-37.076393004062226
piecewise_0030,44.693403543907586,55.386074217153535,-19.58569436253623
piecewise_0031,45.37900889916751,42.3875201193238,6.6047208473110075
piecewise_0032,34.02087575324046,53.52459304823653,-68.68633761976537
piecewise_0033,43.40347010848316,49.381949404535845,-17.967734445658866
piecewise_0034,60.138364853253904,50.85281423503839,31.367292238835297
piecewise_0035,31.441412396052463,36.61620672988184,18.266142346507365
piecewise_0036,47.4684046153358,52.32438761857045,16.710798876606002
piecewise_0037,44.19890664177921,40.17426870136149,-2.575798697505416
piecewise_0038,60.98523359984361,40.44081910778812,28.34910515632564
piecewise_0039,57.94199370463105,40.312180038264366,25.138500138812336
piecewise_0040,47.209834408649925,34.97732792921126,-25.051921767979724
piecewise_0041,40.25001677982991,40.84524746684334,-21.56609216727743
piecewise_0042,59.490377709558175,53.9304172219209,28.229994591060994
piecewise_0043,50.217902448617785,46.57129809964485,21.75146868355533
piecewise_0044,64.05551864926036,35.24035506382341,39.9195831638558
piecewise_0045,51.34064617565135,59.93413386133327,-3.3106490657460963
piecewise_0046,24.801915583308887,40.79332049272942,-14.627491955419192
piecewise_0047,53.66557324915841,15.917122789035027,72.62572797939694
piecewise_0048,56.742745334451804,64.31281803386268,13.596298262502582
