iteration,residual_rmse_nm,loss,energy_ratio
1,87.7660140991211,359931.71875,1.5242314338684082
2,87.00955200195312,350975.9375,1.512000322341919
3,86.13822174072266,340865.875,1.4980027675628662
4,85.06736755371094,328742.34375,1.4809542894363403
5,83.78034973144531,314588.15625,1.4606189727783203
6,82.2736587524414,298577.21875,1.4369930028915405
7,80.55110931396484,280986.28125,1.4101800918579102
8,78.6229248046875,262166.8125,1.3803693056106567
9,76.50572204589844,242528.46875,1.3478573560714722
10,74.22311401367188,222514.203125,1.3130171298980713
11,71.8062744140625,202585.921875,1.2763408422470093
12,69.2947998046875,183208.84375,1.2384814023971558
13,66.73666381835938,164813.734375,1.2001780271530151
14,64.18756866455078,147772.9375,1.1622276306152344
15,61.709197998046875,132387.03125,1.1255091428756714
16,59.366573333740234,118867.203125,1.0909010171890259
17,57.22344207763672,107316.96875,1.0591106414794922
18,55.337005615234375,97761.359375,1.0308456420898438
19,53.752559661865234,90135.9296875,1.0065350532531738
20,52.49775314331055,84308.9140625,0.9863629937171936
21,51.5797233581543,80108.7109375,0.9703586101531982
22,50.983882904052734,77336.2890625,0.9584031105041504
23,50.67564392089844,75767.65625,0.9501433372497559
24,50.60447311401367,75153.4140625,0.9449161887168884
25,50.71011734008789,75248.578125,0.9420779347419739
26,50.928916931152344,75809.8046875,0.9409274458885193
27,51.199378967285156,76601.9921875,0.9407349824905396
28,51.46664047241211,77414.7890625,0.9408733248710632
29,51.68565368652344,78066.078125,0.9407610893249512
30,51.822975158691406,78416.8203125,0.9399590492248535
31,51.856990814208984,78376.796875,0.9381864666938782
32,51.77729797363281,77901.1484375,0.935265302658081
33,51.58401870727539,76991.390625,0.9311407208442688
34,51.28596496582031,75689.1953125,0.9258807897567749
35,50.898258209228516,74064.34375,0.919642984867096
36,50.440059661865234,72201.453125,0.9126282334327698
37,49.932029724121094,70188.6015625,0.9050641059875488
38,49.394832611083984,68109.96875,0.897188127040863
39,48.84733200073242,66039.3203125,0.8892372846603394
40,48.30542755126953,64032.28125,0.8813818097114563
41,47.78105545043945,62124.9921875,0.873721718788147
42,47.28211212158203,60339.82421875,0.8663486838340759
43,46.81279754638672,58684.125,0.8592939972877502
44,46.374046325683594,57153.8203125,0.8525450229644775
45,45.96426010131836,55737.02734375,0.846057653427124
46,45.58005142211914,54416.6640625,0.8397606015205383
47,45.21707534790039,53175.46875,0.8335989713668823
48,44.87065505981445,51995.8828125,0.827507495880127
49,44.53617477416992,50861.375,0.821420431137085
50,44.20952224731445,49759.37890625,0.8153038620948792
51,43.88738250732422,48679.640625,0.8091217279434204
52,43.5672492980957,47614.4921875,0.8028424382209778
53,43.24750518798828,46559.36328125,0.7964479327201843
54,42.92738342285156,45512.59375,0.7899351119995117
55,42.60697937011719,44475.60546875,0.7833226323127747
56,42.28703308105469,43451.28125,0.7766329050064087
57,41.9688606262207,42444.09375,0.7698997855186462
58,41.654170989990234,41459.34375,0.763163685798645
59,41.34497833251953,40502.703125,0.756466805934906
60,41.04341506958008,39580.1015625,0.7498594522476196
61,40.75155258178711,38696.6875,0.7433862090110779
62,40.471282958984375,37856.203125,0.7370765805244446
63,40.20424270629883,37061.83984375,0.7309632897377014
64,39.951812744140625,36316.265625,0.7250816822052002
65,39.715057373046875,35620.66796875,0.7194507122039795
66,39.494693756103516,34975.69921875,0.7140915989875793
67,39.291133880615234,34381.08984375,0.7090176343917847
68,39.10447311401367,33835.4609375,0.7042277455329895
69,38.93449401855469,33337.13671875,0.6997239589691162
70,38.78078842163086,32884.75,0.695519745349884
71,38.642723083496094,32475.703125,0.691606342792511
72,38.519474029541016,32106.740234375,0.6879638433456421
73,38.410118103027344,31775.36328125,0.6845899224281311
74,38.31367874145508,31478.720703125,0.6814725995063782
75,38.22909164428711,31213.828125,0.6785975098609924
76,38.15528869628906,30978.216796875,0.675959587097168
77,38.09117126464844,30768.541015625,0.6735325455665588
78,38.03565216064453,30582.599609375,0.6713132858276367
79,37.9876823425293,30418.029296875,0.669292688369751
80,37.94622802734375,30272.453125,0.6674586534500122
81,37.91026306152344,30143.306640625,0.6657936573028564
82,37.8787841796875,30028.03515625,0.6642780900001526
83,37.85085678100586,29924.275390625,0.6628937721252441
84,37.825584411621094,29829.96875,0.6616274118423462
85,37.80207443237305,29742.91015625,0.6604613065719604
86,37.77949523925781,29661.1953125,0.6593825221061707
87,37.75707244873047,29582.96484375,0.6583762764930725
88,37.734100341796875,29506.34375,0.6574249863624573
89,37.70996856689453,29429.84765625,0.6565161943435669
90,37.68417739868164,29352.181640625,0.6556378602981567
91,37.65628433227539,29272.216796875,0.6547791361808777
92,37.62596893310547,29189.0546875,0.6539303064346313
93,37.593017578125,29102.048828125,0.6530835032463074
94,37.557308197021484,29010.8203125,0.6522334814071655
95,37.5188102722168,28915.15234375,0.6513757109642029
96,37.47758102416992,28815.03125,0.6505070328712463
97,37.43375778198242,28710.67578125,0.6496267318725586
98,37.387550354003906,28602.421875,0.648734450340271
