solver,aggregate_offload_pct,mean_profile_rmse_nm,mean_force_residual_n,max_force_residual_n,mean_solver_steps,max_solver_steps,runtime_seconds,torque_rmse_vs_independent_1000_nm,max_torque_difference_nm
independent_300,71.24889591320883,19.967623761318176,0.00026163035493686,0.02751663140952587,,,11.302578299990273,0.0012062967345800434,0.01914215087890625
independent_600,71.24882686289139,19.967641900511904,0.0020207871974971424,0.158193439245224,,,20.62141459999839,0.0007943244350248078,0.013153076171875
independent_1000,71.2488432971607,19.967636993197072,0.005768033256814486,0.23244601488113403,,,34.22854109999025,0.0,0.0
warm_tolerance,71.24884387803509,19.967642273650515,0.0025730774416337235,0.2805578112602234,839.46875,1000,280.20788279999397,0.000801417874595785,0.0130462646484375
