profile,period,policy,rmse_nm,offload_pct,baseline_motor_work_j,assisted_motor_work_j
piecewise_0000,1,default,50.66597494229455,20.42566703629023,189.31829963811313,150.6487741152659
piecewise_0000,2,previous_period,27.993125840156736,61.76048153031787,189.31829963811313,72.39440615660443
piecewise_0000,3,previous_period,27.44169865179462,62.19186701788673,189.31829963811313,71.57771448665348
piecewise_0000,4,previous_period,27.331697761937466,62.743063761444496,189.31829963811313,70.53419818408926
piecewise_0000,5,previous_period,27.390800236983875,62.39892255841956,189.31829963811313,71.18572045801022
piecewise_0000,6,previous_period,27.355041463237043,62.59453087980542,189.31829963811313,70.81539811001184
piecewise_0000,7,previous_period,27.37708061633727,62.47072087857879,189.31829963811313,71.04979309911604
piecewise_0000,8,previous_period,27.363670134278873,62.54461933179859,189.31829963811313,70.90988980402145
piecewise_0000,9,previous_period,27.37190196420745,62.49877663856709,189.31829963811313,70.99667841135565
piecewise_0000,10,previous_period,27.366874891412532,62.52658096225916,189.31829963811313,70.94403973851593
piecewise_0000,11,previous_period,27.36995542792805,62.50947769049626,189.31829963811313,70.97641936179994
piecewise_0000,12,previous_period,27.368071606772446,62.519909370565664,189.31829963811313,70.95667028246885
piecewise_0001,1,default,62.969729087063286,-8.598924801322694,153.62246147609534,166.8323414163657
piecewise_0001,2,previous_period,35.746434593343615,42.56416124555295,153.62246147609534,88.23434926402265
piecewise_0001,3,previous_period,35.57064801896827,42.93591129150125,153.62246147609534,87.66325769289836
piecewise_0001,4,previous_period,35.56881623081576,42.94010327289763,153.62246147609534,87.65681786789261
piecewise_0001,5,previous_period,35.56875976890694,42.94023941171295,153.62246147609534,87.6566087280935
piecewise_0001,6,previous_period,35.568756834913216,42.94024601074734,153.62246147609534,87.65659859049444
piecewise_0001,7,previous_period,35.56875632199873,42.94024682029431,153.62246147609534,87.65659734684846
piecewise_0001,8,previous_period,35.56875632199873,42.94024682029431,153.62246147609534,87.65659734684846
piecewise_0001,9,previous_period,35.56875632199873,42.94024682029431,153.62246147609534,87.65659734684846
piecewise_0001,10,previous_period,35.56875632199873,42.94024682029431,153.62246147609534,87.65659734684846
piecewise_0001,11,previous_period,35.56875632199873,42.94024682029431,153.62246147609534,87.65659734684846
piecewise_0001,12,previous_period,35.56875632199873,42.94024682029431,153.62246147609534,87.65659734684846
piecewise_0002,1,default,47.05317402150559,-1.350084347619962,125.95196228118729,127.6524200094658
piecewise_0002,2,previous_period,45.998850890013784,1.7747239488497102,125.95196228118729,123.7166626425369
piecewise_0002,3,previous_period,45.88524120366451,1.8754403795435914,125.95196228118729,123.58980832173839
piecewise_0002,4,previous_period,45.886185640062294,1.8779702628743844,125.95196228118729,123.58662188403983
piecewise_0002,5,previous_period,45.886095061998795,1.8779284630652482,125.95196228118729,123.58667453171967
