period,policy,rmse_nm,motor_work_offload_pct,baseline_motor_work_j,assisted_motor_work_j,mean_force_residual_n
1,default,32.28420549727635,20.174426031477225,103.38411648431142,82.52696437588776,8.701267074684437e-06
2,previous_period,16.530806888498404,63.504206930622274,103.38411648431142,37.73085321871873,9.986093119778161e-05
3,previous_period,16.381919264977835,64.47864642972871,103.38411648431142,36.72343755189338,0.00023195667611162208
4,previous_period,16.37813075379531,64.61823456809512,103.38411648431142,36.57912558832638,0.00024038531838641575
5,previous_period,16.38121939585676,64.52243002607833,103.38411648431142,36.67817226764229,0.0003456205158954617
6,previous_period,16.378822520487567,64.57891930014614,103.38411648431142,36.61977133073887,6.859495769049318e-05
