period,policy,rmse_nm,motor_work_offload_pct,baseline_motor_work_j,assisted_motor_work_j,mean_force_residual_n
1,default,32.28420549727635,20.174426031477225,103.38411648431142,82.52696437588776,8.701267074684437e-06
2,previous_period,23.201634172139695,39.7434219423646,103.38411648431142,62.295730848565825,3.127789674408632e-05
3,previous_period,22.167143448177992,42.578491648001716,103.38411648431142,59.364719081678516,3.1885802252418215e-05
4,previous_period,22.112997458336235,42.72521641170865,103.38411648431142,59.21302898105641,3.198942426934082e-05
5,previous_period,22.110155546253022,42.732716123589555,103.38411648431142,59.20527547018946,3.155162813754942e-05
6,previous_period,22.109986611237332,42.733156781352065,103.38411648431142,59.20481990005497,3.144065475453317e-05
