profile,default_rmse_nm,settled_rmse_nm,settled_offload_pct
piecewise_0000,38.201018590159805,30.137759488999247,23.109943968543156
piecewise_0001,18.90303526255043,9.867316933602181,32.58525354105784
piecewise_0002,50.65449391431431,33.33040670428677,44.79431793456913
piecewise_0003,47.84292449669588,9.261226483440026,79.14954252278575
piecewise_0004,56.76322034956409,44.951289381063035,31.20054812946317
piecewise_0005,35.995020655010464,30.020164925406984,25.30987107220778
piecewise_0006,41.32004272229992,26.671137692827497,15.749388501247186
piecewise_0007,79.70158171315371,48.687623549411235,33.1230896808139
piecewise_0008,45.90447835428054,27.53948175896425,29.51062029069992
piecewise_0009,68.75717218177148,33.29613339280708,57.19828701105064
piecewise_0010,27.866900801328825,17.83361570846141,32.96981254947452
piecewise_0011,74.65677311301862,49.32603738698971,42.3421645347776
piecewise_0012,59.14828660568808,30.82998308209407,33.60512204431455
piecewise_0013,86.7779775020957,59.82485102716873,23.040686031758263
piecewise_0014,45.60506713872871,24.944030835610132,49.181392575867534
piecewise_0015,55.23556437902413,40.516651558478806,16.206865072790688
piecewise_0016,62.901972520841966,22.816928211169564,72.72436801054864
piecewise_0017,88.25025046212464,39.91180273667818,54.05917209769445
piecewise_0018,46.650728069109945,46.198995573097044,4.677587290968532
piecewise_0019,88.3202337533174,38.896983398311214,58.514148639574074
piecewise_0020,37.4087913033557,36.51250066962725,-7.595564566717616
piecewise_0021,41.1561578572638,40.51142590265372,6.353465746565856
piecewise_0022,53.21016256586307,23.902002115182658,55.247160825019904
piecewise_0023,61.163253570055346,52.552138632319114,26.13887430529006
piecewise_0024,59.43106228625888,33.373018448550944,59.46799077080064
piecewise_0025,77.72406276582825,34.220168843300364,56.39781999394995
piecewise_0026,65.7138595361827,38.59829641030275,46.49996593677466
piecewise_0027,69.3726918180983,27.162047691301883,65.13964791822548
piecewise_0028,50.719167065850385,44.77342626422429,15.546507168260215
piecewise_0029,34.24795570486014,23.43801663891243,20.92195414602277
