profile,period,policy,rmse_nm,offload_pct,baseline_motor_work_j,assisted_motor_work_j
piecewise_0000,1,default,32.63859053180816,43.6035581724032,145.62745155791555,82.12870100287155
piecewise_0000,2,previous_period,27.56562251714645,61.055416211521475,145.62745155791555,56.714004890998396
piecewise_0000,3,previous_period,27.599415273936355,61.55686222012853,145.62745155791555,55.98376184772506
piecewise_0000,4,previous_period,27.571434679528377,61.36511347283526,145.62745155791555,56.263000661802465
piecewise_0000,5,previous_period,27.584702193980448,61.469423355678266,145.62745155791555,56.11109683769516
piecewise_0000,6,previous_period,27.57577283781852,61.41329433752907,145.62745155791555,56.19283609641031
piecewise_0000,7,previous_period,27.58071483975201,61.44718992886846,145.62745155791555,56.14347481055227
piecewise_0000,8,previous_period,27.57764726371646,61.42870290317416,145.62745155791555,56.170396994939736
piecewise_0000,9,previous_period,27.579429806368037,61.439624586850194,145.62745155791555,56.15449202533512
piecewise_0000,10,previous_period,27.57835446773395,61.433081407897625,145.62745155791555,56.16402069009462
piecewise_0000,11,previous_period,27.57899083434219,61.43696884166056,145.62745155791555,56.158359519374656
piecewise_0000,12,previous_period,27.578608152269023,61.43464947852617,145.62745155791555,56.16173714879963
piecewise_0001,1,default,6.008241432687999,80.71386350193617,82.60573399470402,15.931454613446128
piecewise_0001,2,previous_period,10.099339499725023,65.19777527867967,82.60573399470402,28.748633177533
piecewise_0001,3,previous_period,6.938977878609547,76.30640876294798,82.60573399470402,19.57226495107169
piecewise_0001,4,previous_period,7.939251449082409,72.68081462031284,82.60573399470402,22.567213604264445
piecewise_0001,5,previous_period,7.474144537894152,74.3249216493285,82.60573399470402,21.20908692528754
piecewise_0001,6,previous_period,7.683790572780477,73.57725970411752,82.60573399470402,21.826698562928154
piecewise_0001,7,previous_period,7.582542694278776,73.93571665268905,82.60573399470402,21.530592569505615
piecewise_0001,8,previous_period,7.630958449736578,73.76361249940813,82.60573399470402,21.6727604685587
piecewise_0001,9,previous_period,7.607453147842221,73.84703118176965,82.60573399470402,21.603851853705248
piecewise_0001,10,previous_period,7.6188313965801795,73.80660661956038,82.60573399470402,21.63724486003237
piecewise_0001,11,previous_period,7.613305062337298,73.82622320511523,82.60573399470402,21.621040435550086
piecewise_0001,12,previous_period,7.615987323541481,73.81670746227849,82.60573399470402,21.628900984765423
piecewise_0002,1,default,65.3783748447079,-54.35353818688884,107.58704577887802,166.06441179044606
piecewise_0002,2,previous_period,53.139415203162045,-23.370894473090242,107.58704577887802,132.7311007145749
piecewise_0002,3,previous_period,53.15498009627403,-23.340657450235547,107.58704577887802,132.69856959495405
piecewise_0002,4,previous_period,53.15492405640553,-23.34071159570257,107.58704577887802,132.69862784846242
piecewise_0002,5,previous_period,53.15492365186996,-23.340711692031203,107.58704577887802,132.69862795209957
piecewise_0002,6,previous_period,53.15492365186996,-23.340711692031203,107.58704577887802,132.69862795209957
piecewise_0002,7,previous_period,53.15492365186996,-23.340711692031203,107.58704577887802,132.69862795209957
piecewise_0002,8,previous_period,53.15492365186996,-23.340711692031203,107.58704577887802,132.69862795209957
piecewise_0002,9,previous_period,53.15492365186996,-23.340711692031203,107.58704577887802,132.69862795209957
piecewise_0002,10,previous_period,53.15492365186996,-23.340711692031203,107.58704577887802,132.69862795209957
piecewise_0002,11,previous_period,53.15492365186996,-23.340711692031203,107.58704577887802,132.69862795209957
piecewise_0002,12,previous_period,53.15492365186996,-23.340711692031203,107.58704577887802,132.69862795209957
piecewise_0003,1,default,63.395611867251795,-6.50960576067432,173.89630752009828,185.21627157202653
piecewise_0003,2,previous_period,49.2917074693506,20.245190430882122,173.89630752009828,138.690668910382
piecewise_0003,3,previous_period,49.240601917742254,20.210619748531546,173.89630752009828,138.75078605047415
piecewise_0003,4,previous_period,49.24353368314171,20.215437979429353,173.89630752009828,138.74240732485507
piecewise_0003,5,previous_period,49.24330053057302,20.215054092804074,173.89630752009828,138.7430748895215
piecewise_0003,6,previous_period,49.243319303564476,20.215089466394897,173.89630752009828,138.74301337615321
piecewise_0003,7,previous_period,49.243317248242185,20.215097295287322,173.89630752009828,138.74299976199836
piecewise_0003,8,previous_period,49.243317424222354,20.215096894361338,173.89630752009828,138.74300045919384
piecewise_0003,9,previous_period,49.243317424222354,20.215096894361338,173.89630752009828,138.74300045919384
piecewise_0003,10,previous_period,49.243317424222354,20.215096894361338,173.89630752009828,138.74300045919384
piecewise_0003,11,previous_period,49.243317424222354,20.215096894361338,173.89630752009828,138.74300045919384
piecewise_0003,12,previous_period,49.243317424222354,20.215096894361338,173.89630752009828,138.74300045919384
piecewise_0004,1,default,70.35119294879352,-5.729961157102559,175.17770378352833,185.21531816622868
piecewise_0004,2,previous_period,58.06164785531498,11.820471172437031,175.17770378352833,154.47087380725924
piecewise_0004,3,previous_period,58.14543902261128,11.714830323245062,175.17770378352833,154.65593302113115
piecewise_0004,4,previous_period,58.148486020696296,11.710961817890485,175.17770378352833,154.66270977998204
piecewise_0004,5,previous_period,58.14858961880556,11.710831598794712,175.17770378352833,154.6629378948039
piecewise_0004,6,previous_period,58.14859351883379,11.710826564717658,175.17770378352833,154.66294671338449
piecewise_0004,7,previous_period,58.148594080795306,11.710826155967801,175.17770378352833,154.6629474294231
piecewise_0004,8,previous_period,58.148594080795306,11.710826155967801,175.17770378352833,154.6629474294231
piecewise_0004,9,previous_period,58.148594080795306,11.710826155967801,175.17770378352833,154.6629474294231
piecewise_0004,10,previous_period,58.148594080795306,11.710826155967801,175.17770378352833,154.6629474294231
piecewise_0004,11,previous_period,58.148594080795306,11.710826155967801,175.17770378352833,154.6629474294231
piecewise_0004,12,previous_period,58.148594080795306,11.710826155967801,175.17770378352833,154.6629474294231
piecewise_0005,1,default,93.04790286828775,-38.380257430053824,189.72546089569582,262.54258119781997
piecewise_0005,2,previous_period,79.56977831589539,-17.20335348076192,189.72546089569582,222.36460257658712
piecewise_0005,3,previous_period,79.57823210181394,-17.203883460562096,189.72546089569582,222.36560808320564
piecewise_0005,4,previous_period,79.57819714377749,-17.20388881379311,189.72546089569582,222.36561823964786
piecewise_0005,5,previous_period,79.57819765498604,-17.203889171337305,189.72546089569582,222.36561891800022
piecewise_0005,6,previous_period,79.57819740323505,-17.203888749236505,189.72546089569582,222.36561811716754
