profile,default_rmse_nm,settled_rmse_nm,settled_offload_pct
piecewise_0000,50.66597494229455,27.368071606772446,62.519909370565664
piecewise_0001,62.969729087063286,35.56875632199873,42.94024682029431
piecewise_0002,47.05317402150559,45.88609824258097,1.8779312158086037
piecewise_0003,57.39060208672659,36.81667693079656,33.339364512471306
piecewise_0004,46.485062482215646,31.891348066830535,61.16496977512913
piecewise_0005,76.18136925754324,45.42545545284371,33.754722479454045
piecewise_0006,48.4408463322069,46.888341916328876,2.6029447807189854
piecewise_0007,59.21597424483259,36.021357223424815,27.305492473653604
piecewise_0008,43.11435932851104,27.583581149613792,48.69749065783676
piecewise_0009,50.13259599413032,43.449014013672794,12.768275059258983
piecewise_0010,40.85230768854168,30.5409026679486,37.82018028517323
piecewise_0011,59.323914731416444,46.62565912337555,29.608620118807526
piecewise_0012,64.58212210437472,51.840551614578125,22.006006138101352
piecewise_0013,37.26349373738361,23.148352519691052,59.26280762763869
piecewise_0014,38.117328424921,33.94487579750194,29.603822397921764
piecewise_0015,35.567581953056205,19.29246389174328,13.175944132962647
piecewise_0016,58.07084927068125,50.392672459021355,7.290257991532356
piecewise_0017,78.06929758009532,50.66311884135916,35.693459548589225
piecewise_0018,23.582415233480518,17.8023555682303,44.12005071062634
piecewise_0019,36.330704559102834,14.472261628579217,69.5575014149116
piecewise_0020,59.949253583409046,33.157026996674965,43.403193297722474
piecewise_0021,62.399206942262396,41.92977650484485,20.91266485197294
piecewise_0022,24.197179274690537,17.48582551478419,6.662358641361532
piecewise_0023,26.455501395881722,24.700478190970554,31.000513058849577
piecewise_0024,74.5399114018146,49.60422148117316,35.501914848962635
piecewise_0025,55.28585084142123,43.39355407795183,5.808586331745891
piecewise_0026,57.00764228942148,42.552473382535624,8.546879589381495
piecewise_0027,49.45021738405446,47.25906843663204,5.134634158214634
piecewise_0028,72.04825536064264,47.445880747301544,14.360229404495406
piecewise_0029,54.23763864889377,44.79609710174602,4.630046599207982
piecewise_0030,36.72890127394428,20.011758875810564,78.47811934040871
piecewise_0031,90.61996197659508,60.52069855688619,25.363711299205626
piecewise_0032,19.041810690369463,17.629671360669754,29.486912286192567
