profile,default_rmse_nm,settled_rmse_nm,settled_offload_pct
piecewise_0000,50.66597494229455,24.848412146475493,66.1230910429014
piecewise_0001,62.969729087063286,41.26260697086707,32.85059860000641
piecewise_0002,47.05317402150559,44.32167782327118,7.955626191028664
piecewise_0003,57.39060208672659,36.243965775550734,34.08151471659342
piecewise_0004,46.485062482215646,29.15049290200698,64.32544130387305
piecewise_0005,76.18136925754324,50.62106179574229,27.85938435398657
piecewise_0006,48.4408463322069,46.23011020677033,4.085611331860939
piecewise_0007,59.21597424483259,41.736078244127164,17.98469655821173
piecewise_0008,43.11435932851104,25.904879622231107,55.99587103743862
piecewise_0009,50.13259599413032,42.57854866961591,16.744262770111185
piecewise_0010,40.85230768854168,26.437025137948666,49.35147711928043
piecewise_0011,59.323914731416444,43.99466258452708,39.94738948487272
piecewise_0012,64.58212210437472,52.00856914450917,28.83121943581255
piecewise_0013,37.26349373738361,22.388384850681025,63.623358297390666
piecewise_0014,38.117328424921,35.814763281591176,31.309500267620514
piecewise_0015,35.567581953056205,22.712603460739395,-1.1752234815892715
piecewise_0016,58.07084927068125,47.93476562614646,12.420164871333094
piecewise_0017,78.06929758009532,51.875195530258175,36.74421824712856
piecewise_0018,23.582415233480518,9.776964573377342,70.68074451140355
piecewise_0019,36.330704559102834,11.761986232718844,76.84319445026605
piecewise_0020,59.949253583409046,38.48637214062091,34.42289514748651
piecewise_0021,62.399206942262396,44.0777065555649,16.452745055303573
piecewise_0022,24.197179274690537,17.52562158228705,8.73400372137283
piecewise_0023,26.455501395881722,22.885459511255657,49.203650779263654
piecewise_0024,74.5399114018146,47.297969518997306,39.10985233448854
piecewise_0025,55.28585084142123,46.32506147591315,0.12133657291159006
piecewise_0026,57.00764228942148,45.75386284229088,-0.4713707936242928
piecewise_0027,49.45021738405446,44.0138108248695,14.112344327303482
piecewise_0028,72.04825536064264,53.91675971608308,2.819160195247128
piecewise_0029,54.23763864889377,46.62245365960308,0.21008911165212307
piecewise_0030,36.72890127394428,20.644757416950764,74.35223436757146
piecewise_0031,90.61996197659508,65.89743722617078,19.89914079376699
piecewise_0032,19.041810690369463,16.065286321423628,35.12342809322704
piecewise_0033,46.24913967894128,27.499082986791965,36.63722011784487
piecewise_0034,39.11796827300956,23.52249065748609,0.5249513027548502
piecewise_0035,34.67948587609019,21.398783145269036,-2.6514098483413795
piecewise_0036,50.710775244359205,44.52034719654942,7.258877536224362
piecewise_0037,74.32153748965591,60.926778334809946,5.327905968052393
piecewise_0038,38.58980423613341,24.82718433572003,-4.661428414115076
piecewise_0039,30.431803080485977,19.202242028972837,51.699474139319854
piecewise_0040,58.52237657616649,27.54781706116785,70.00741797510247
piecewise_0041,53.312070977595084,32.52484932680234,41.23050463510156
piecewise_0042,54.12578077581683,37.90893292032316,27.341633712307456
piecewise_0043,35.960368208522354,17.38499160133576,77.53831741828176
piecewise_0044,19.695433414077318,9.356319112204815,37.783151742092116
piecewise_0045,42.239016926874314,44.1283689022992,20.464215573446552
piecewise_0046,68.91950143718195,42.27832119175855,41.092629654836045
piecewise_0047,31.49190220949201,26.30313939717706,18.826868756915506
piecewise_0048,82.76636764148475,67.50301980102162,-1.6927313934729238
piecewise_0049,67.82343328169988,47.127203645841874,25.85965713825025
piecewise_0050,71.35556578878241,57.512078496903605,-0.9591921781216595
piecewise_0051,46.17919739550746,38.14519024999883,7.9972700119529065
piecewise_0052,69.48473862243475,51.11190754155729,22.49509354827085
piecewise_0053,42.52388878815618,40.57444044793897,19.76265196723743
piecewise_0054,68.51346102218453,52.395815703284555,14.927257569391351
piecewise_0055,51.16204113215831,43.2139814939514,26.54834249560123
piecewise_0056,54.25332064597021,33.06854227067048,24.525629240580006
piecewise_0057,48.064303408759045,33.219861535725,-3.7490042747917895
piecewise_0058,58.53415707419221,49.22156876660322,1.0754657432404113
piecewise_0059,53.77642932109306,43.946794147573485,-0.33886130519114044
piecewise_0060,67.99044067955909,50.15474259602984,6.012169359330799
piecewise_0061,38.2079846631494,37.52418510376543,44.952969381054416
piecewise_0062,75.2067462259533,53.821456191624456,18.804406493650205
piecewise_0063,74.40455803247099,59.00791434139631,-0.7793849230440353
piecewise_0064,72.50681477267237,62.21749905797134,-0.8155332775351853
piecewise_0065,15.94423666310267,13.538720259126102,54.20606350665863
piecewise_0066,53.82712425278715,49.9482887127178,7.143761582363672
piecewise_0067,51.904241802316086,21.37670794507408,73.38316758977285
piecewise_0068,47.91352083281116,37.03901493037773,-3.752892515458761
piecewise_0069,76.03273812173519,50.765050119051175,41.00407013896642
piecewise_0070,88.41624277404549,73.51875979938285,0.32743298599411386
piecewise_0071,40.41627217714331,40.0018833283192,23.83565925270864
piecewise_0072,72.20174613994584,66.43648315775678,4.246978478516228
piecewise_0073,50.56763918882706,35.940965401996074,31.497726728274035
piecewise_0074,37.742113879284794,32.56855479644341,0.5595769857440369
piecewise_0075,42.39750399100411,29.509528247622434,49.70072676983482
piecewise_0076,34.84731450356238,19.853143079337585,60.43910214620203
piecewise_0077,36.41422956323433,35.316021876126506,16.863555656238905
piecewise_0078,93.02189137090376,69.38820525913535,17.80554823611927
piecewise_0079,35.158090306201366,18.420202871739374,77.29474297315306
piecewise_0080,60.671328288256426,45.71402437358098,15.936155860081215
piecewise_0081,40.72311681503004,28.00286038333572,-4.080053834567909
piecewise_0082,58.49398923835838,43.70111660849991,28.95761395009967
piecewise_0083,52.71686227949457,53.70519004333743,37.05552871671609
piecewise_0084,57.00673255593541,38.511201315519514,16.732623492241828
piecewise_0085,47.9379471448114,41.02793123814755,13.557214232329128
piecewise_0086,46.43550811229657,44.635113989380685,16.777925228999756
piecewise_0087,50.070868451243086,39.855045194800326,27.130390687438265
piecewise_0088,60.6202550581687,43.339948840234136,11.0439387435326
piecewise_0089,72.4582632238933,51.02302816715172,22.545375316365558
piecewise_0090,63.77640886253212,52.91017926982812,7.808277228714111
piecewise_0091,54.13513088258428,52.25003406764969,6.33049432181304
piecewise_0092,52.87331265902754,28.640956832842463,49.84310171400309
piecewise_0093,33.92957034319033,28.90667932433577,21.908146093767765
piecewise_0094,63.90165688189845,34.00833697100552,49.24132867068784
piecewise_0095,59.19875386627872,46.058876065370136,-1.9046793427219377
piecewise_0096,86.40121940840973,73.1337344099769,-0.8275282853682064
piecewise_0097,46.9936260759681,31.487203486192293,11.574212263825434
piecewise_0098,80.96190413304348,58.82668142887442,16.438493895717265
piecewise_0099,31.52354283917979,16.58176869108676,16.297413246653612
piecewise_0100,49.40575536924377,44.435837442601304,23.41537078404492
piecewise_0101,40.11345041872105,18.41449924016565,69.09569368568016
piecewise_0102,83.55718534493467,57.824137035788986,33.03151262040339
piecewise_0103,58.67055386570092,50.37533645756268,7.870665193522585
piecewise_0104,68.63188515457276,55.322483087889786,8.157863083812044
piecewise_0105,64.86843936717091,52.41193873702844,2.0065683199303463
piecewise_0106,94.13581961168339,70.85685405941729,14.14565144925134
piecewise_0107,38.90371083309259,19.310428134571506,70.31962948032445
piecewise_0108,54.56546023950413,41.760547726408156,6.820714533178485
piecewise_0109,100.6867396445835,78.8560736247108,7.4246275634769265
piecewise_0110,67.0934096419914,51.163422879295496,13.269246962857107
piecewise_0111,32.936064600381094,21.207082591981838,66.54676456168815
piecewise_0112,75.07972314022209,60.03668665465919,2.2327958139205073
piecewise_0113,65.75938962226029,46.211587449462925,39.31651131294631
piecewise_0114,58.282609703047775,45.40759936350981,4.959085027131815
piecewise_0115,76.46754103471666,50.91254553866883,32.40204559278727
piecewise_0116,40.2822851023426,33.11125065636116,44.774864619002955
piecewise_0117,56.95402753346928,40.329692426951596,21.526145752221527
piecewise_0118,73.69558644283471,49.571823322205375,29.3414972724511
piecewise_0119,53.25292339622402,44.6524449790882,3.727280752708728
piecewise_0120,31.08175015968897,28.106991303155638,49.74953167529937
piecewise_0121,57.9728990419836,37.169969327623456,36.61360423527073
piecewise_0122,83.2580124878581,56.00153540596709,33.710906724016844
piecewise_0123,61.68559375104408,44.57930895743389,14.591898580739082
piecewise_0124,61.68515730454452,35.024251324985926,47.44196123696081
piecewise_0125,61.01895406037241,31.988147220430392,57.71211314819031
piecewise_0126,68.97055362346117,42.407245008105306,40.68097609397101
piecewise_0127,57.06992122935012,42.08304921826984,57.98169050132951
piecewise_0128,91.52173900312363,65.60066574828569,31.9584331417171
piecewise_0129,70.96632789780176,53.376270526064225,19.42790715131434
piecewise_0130,79.51515787837714,54.69768891482367,35.19524827116499
piecewise_0131,56.38021440070371,35.53760965583707,33.13006714162851
piecewise_0132,37.87659776036425,27.099089382695215,9.143081268417419
piecewise_0133,53.527294609323754,32.623225449543924,46.18030827867399
piecewise_0134,59.29065852131143,44.916991576273226,21.95767743128928
piecewise_0135,78.00474819066558,53.84520778858934,24.919676054243656
piecewise_0136,61.33012060882046,47.250671650106995,15.095959330394393
piecewise_0137,53.473456641673884,35.978366405598976,26.59671558928759
piecewise_0138,53.006643672645794,34.900518565386015,35.900032207011
piecewise_0139,36.69911121874561,15.849296395572294,62.18278221073419
piecewise_0140,55.953022308364865,41.567312732974614,6.042069834493491
piecewise_0141,50.95778018260467,42.55838770337186,41.58597785784448
piecewise_0142,60.05519992306203,34.352268817244926,60.65680935915809
piecewise_0143,55.94006980157395,51.389632618685084,7.85261677349861
piecewise_0144,52.26412410052267,37.182619328975456,-1.4820025952269056
piecewise_0145,51.63136313368613,38.24302543544482,1.5447294376227827
piecewise_0146,69.39545197676873,52.90052692612097,1.6776636605892903
piecewise_0147,48.073379981076,36.24664794296584,17.056902986291313
piecewise_0148,78.53651168746356,48.947886800063046,43.682571143619356
piecewise_0149,61.67586573251761,49.558456469668016,-1.1409952371238985
piecewise_0150,43.33071133280221,35.07274899877263,33.030717374014515
piecewise_0151,50.38554901441928,43.150672987815376,11.814747162302265
piecewise_0152,55.941173679254305,46.02417479227566,2.3700673798206062
piecewise_0153,58.62696060332621,23.866694864883193,66.63504807902787
piecewise_0154,87.43115105002602,61.82985146357095,28.003555314645833
piecewise_0155,33.54722714464246,21.195571703562116,53.08790563217936
piecewise_0156,31.459843654443006,26.18051646840801,40.18879309281748
piecewise_0157,75.75621602296995,59.22584631748089,1.3170294106887526
piecewise_0158,62.90900514061017,48.251083396987326,41.914855463463496
piecewise_0159,70.93130695897597,55.42254156583925,9.354727322899626
piecewise_0160,37.92441498054666,36.328590531420616,20.753440245831158
piecewise_0161,52.225731250369016,41.16020799717772,6.22598410375107
piecewise_0162,58.577996574021846,29.2239361646494,57.888008762147855
piecewise_0163,39.919559597636415,21.82849549554677,29.184183887210978
piecewise_0164,46.75563775867349,30.788525063355383,30.9581335920037
piecewise_0165,55.480974512010256,38.922791935707316,34.259350608399345
piecewise_0166,37.18803759238078,25.244515721994123,11.153984877672796
piecewise_0167,41.22275413574062,39.37576457293824,10.462597626196713
piecewise_0168,70.35865576911644,45.148460310100646,44.59277164562806
piecewise_0169,72.60196881526252,65.0183252005646,-0.9025970117289672
piecewise_0170,50.572268520309954,40.121858977284134,-1.8209276654331807
piecewise_0171,60.80544492446188,50.042092513748955,3.7818131433418167
piecewise_0172,37.51154402926238,32.930732926566535,8.909633732831345
piecewise_0173,29.020141054848523,9.159257881733089,78.41260869518459
piecewise_0174,74.34400120842533,52.19903024319837,25.804481673485146
piecewise_0175,34.06277994021572,22.07950260893946,21.13165539920734
piecewise_0176,35.50845715882224,15.276406237044599,62.72443737562787
piecewise_0177,68.98090989968938,52.09109390077266,31.750733920716566
piecewise_0178,45.92936411257313,36.05106816212927,27.063894374485397
piecewise_0179,75.7706851942948,50.670915039755826,37.12168597398933
piecewise_0180,77.92430013428904,55.902746977638266,28.88192018531327
piecewise_0181,70.96941961705835,55.08891396657017,13.624973035465548
piecewise_0182,80.15826463716297,52.76134325218438,35.30076204203634
piecewise_0183,66.5327237764835,42.807558159111366,38.82561723624852
piecewise_0184,96.48667820160794,80.04184978268704,0.033607941512636685
piecewise_0185,63.07838268426681,38.25687519348028,48.86579050694688
piecewise_0186,58.353734965148256,51.461432261185294,5.950659820025894
piecewise_0187,39.89517830452558,20.008648554925283,61.86792616189799
piecewise_0188,55.27916378284385,36.301926636547805,21.015831013062847
piecewise_0189,44.780881482621346,34.37241066899013,26.710465359361702
piecewise_0190,53.23995682230707,42.047613714448175,17.57258594987202
piecewise_0191,49.825517449894804,42.75433394399951,30.94203346738561
piecewise_0192,50.22280091391146,37.48849222889671,26.713626441116023
piecewise_0193,59.66183018401902,41.07611743863915,22.153735915540874
piecewise_0194,60.7831448521891,54.31711996576037,6.384867398369054
piecewise_0195,48.694817322567424,38.244511044858754,5.200982893358496
piecewise_0196,39.9336124416616,16.994219400378196,57.35376794155881
piecewise_0197,73.15715656002345,60.36330705331717,30.78578464559245
piecewise_0198,68.5946466889718,53.14815800834379,1.4857045668377755
piecewise_0199,42.88158479147118,35.61792702165908,47.328056257308305
