period,policy,rmse_nm,motor_work_offload_pct,baseline_motor_work_j,assisted_motor_work_j,mean_force_residual_n
1,default,32.28420521792972,20.17442591300615,103.38411648431142,82.52696449836803,8.927371254685568e-06
2,previous_period,18.722500806997246,57.70899939098103,103.38411648431142,43.722177332009025,0.00019656370732263896
3,previous_period,16.979862735026202,62.96061661848678,103.38411648431142,38.29283926021431,0.00016400214603891073
4,previous_period,17.38881509248114,62.488042110403,103.38411648431142,38.78140624012681,0.00016472988022542268
5,previous_period,17.265386875536993,61.99037294137687,103.38411648431142,39.29591711353929,0.0001875424830814154
6,previous_period,17.28563743515566,62.71985233449084,103.38411648431142,38.541751288033296,0.00016189530349493
