period,policy,rmse_nm,motor_work_offload_pct,baseline_motor_work_j,assisted_motor_work_j,mean_force_residual_n
1,default,41.4092237648118,-6.801542689188443,103.38411648431142,110.41583130083217,1.1450151612280024e-05
2,previous_period,39.31890041673369,-1.3908819244574155,103.38411648431142,104.8220674732517,3.724252136407813e-05
3,previous_period,39.158033171481684,-0.9525464481301233,103.38411648431142,104.36889821381344,3.6099334670325335e-05
4,previous_period,39.14984089454995,-0.9305896742601454,103.38411648431142,104.3461983971395,3.612544480802171e-05
5,previous_period,39.149391966126835,-0.9293668851939917,103.38411648431142,104.344934227467,3.642881148380184e-05
6,previous_period,39.149368697289574,-0.9293032160982004,103.38411648431142,104.34486840373484,3.726757769300093e-05
