profile,period,policy,rmse_nm,offload_pct,baseline_motor_work_j,assisted_motor_work_j
piecewise_0000,1,default,50.66597494229455,20.42566703629023,189.31829963811313,150.6487741152659
piecewise_0000,2,previous_period,29.136297923207962,59.0661870941005,189.31829963811313,77.49519857049543
piecewise_0000,3,previous_period,28.830575321565906,59.781748018807676,189.31829963811313,76.14051079496505
piecewise_0000,4,previous_period,28.838105582829545,59.76163257763979,189.31829963811313,76.1785930061488
piecewise_0000,5,previous_period,28.83787249143516,59.76209106916801,189.31829963811313,76.1777249977836
piecewise_0000,6,previous_period,28.837871682021692,59.76209400534517,189.31829963811313,76.17771943906293
piecewise_0000,7,previous_period,28.837871682021692,59.76209400534517,189.31829963811313,76.17771943906293
piecewise_0000,8,previous_period,28.837871682021692,59.76209400534517,189.31829963811313,76.17771943906293
piecewise_0000,9,previous_period,28.837871682021692,59.76209400534517,189.31829963811313,76.17771943906293
piecewise_0000,10,previous_period,28.837871682021692,59.76209400534517,189.31829963811313,76.17771943906293
piecewise_0000,11,previous_period,28.837871682021692,59.76209400534517,189.31829963811313,76.17771943906293
piecewise_0000,12,previous_period,28.837871682021692,59.76209400534517,189.31829963811313,76.17771943906293
piecewise_0001,1,default,62.969729087063286,-8.598924801322694,153.62246147609534,166.8323414163657
piecewise_0001,2,previous_period,47.49309784012039,19.90479799661198,153.62246147609534,123.0442208418555
piecewise_0001,3,previous_period,47.55952314685514,19.74340900043463,153.62246147609534,123.2921505903347
piecewise_0001,4,previous_period,47.56304186286841,19.73490708910166,153.62246147609534,123.30521143579693
piecewise_0001,5,previous_period,47.563223962833,19.734466658752858,153.62246147609534,123.30588803573986
piecewise_0001,6,previous_period,47.56323397368729,19.734442010500807,153.62246147609534,123.30592590099135
piecewise_0001,7,previous_period,47.56323439351168,19.734441519866298,153.62246147609534,123.30592665471617
piecewise_0001,8,previous_period,47.56323439351168,19.734441519866298,153.62246147609534,123.30592665471617
piecewise_0001,9,previous_period,47.56323439351168,19.734441519866298,153.62246147609534,123.30592665471617
piecewise_0001,10,previous_period,47.56323439351168,19.734441519866298,153.62246147609534,123.30592665471617
piecewise_0001,11,previous_period,47.56323439351168,19.734441519866298,153.62246147609534,123.30592665471617
piecewise_0001,12,previous_period,47.56323439351168,19.734441519866298,153.62246147609534,123.30592665471617
piecewise_0002,1,default,47.05317402150559,-1.350084347619962,125.95196228118729,127.6524200094658
piecewise_0002,2,previous_period,45.87777433409515,2.0322587891230204,125.95196228118729,123.39229245765495
piecewise_0002,3,previous_period,45.83739257526892,2.0396044622765896,125.95196228118729,123.38304043817527
piecewise_0002,4,previous_period,45.82860916341115,2.0382370071028943,125.95196228118729,123.38476277479985
piecewise_0002,5,previous_period,45.826651927438846,2.037711637060713,125.95196228118729,123.38542448867722
piecewise_0002,6,previous_period,45.82621753929182,2.0375750097317735,125.95196228118729,123.38559657347903
piecewise_0002,7,previous_period,45.82612152080837,2.0375438917636046,125.95196228118729,123.38563576717056
piecewise_0002,8,previous_period,45.826101821079206,2.037532648901541,125.95196228118729,123.38564992777594
piecewise_0002,9,previous_period,45.826096880477195,2.0375326563818352,125.95196228118729,123.38564991835437
piecewise_0002,10,previous_period,45.82609555745468,2.0375326189804532,125.95196228118729,123.38564996546215
piecewise_0002,11,previous_period,45.826094860599945,2.037533501653588,125.95196228118729,123.38564885371801
piecewise_0002,12,previous_period,45.826094794087275,2.0375334642521725,125.95196228118729,123.38564890082583
piecewise_0003,1,default,57.39060208672659,-7.57778637648725,157.5222513600131,169.45895106350815
piecewise_0003,2,previous_period,44.4999100391508,17.537292357825873,157.5222513600131,129.89711361037826
piecewise_0003,3,previous_period,44.50522749784441,17.426233537989656,157.5222513600131,130.07205596371813
piecewise_0003,4,previous_period,44.49792945535659,17.45497630325398,157.5222513600131,130.02677971277063
piecewise_0003,5,previous_period,44.49863659673091,17.452043609341928,157.5222513600131,130.0313993582464
piecewise_0003,6,previous_period,44.498549977282515,17.45238685858359,157.5222513600131,130.03085866431314
piecewise_0003,7,previous_period,44.49856080711355,17.452346157210673,157.5222513600131,130.0309227780321
piecewise_0003,8,previous_period,44.49855917651009,17.45235140263376,157.5222513600131,130.03091451532356
piecewise_0003,9,previous_period,44.49855929866509,17.452350960032483,157.5222513600131,130.03091521251906
piecewise_0003,10,previous_period,44.498559315261744,17.452350995919062,157.5222513600131,130.0309151559897
piecewise_0003,11,previous_period,44.498559315261744,17.452350995919062,157.5222513600131,130.0309151559897
piecewise_0003,12,previous_period,44.498559315261744,17.452350995919062,157.5222513600131,130.0309151559897
piecewise_0004,1,default,46.485062482215646,20.225911981173418,167.9839766833158,134.00768541687347
piecewise_0004,2,previous_period,32.93164705324264,59.072523560228895,167.9839766833158,68.75160247965466
piecewise_0004,3,previous_period,32.32728079066018,60.16849395446834,167.9839766833158,66.91054782813943
piecewise_0004,4,previous_period,32.286417227345865,60.11094459571407,167.9839766833158,67.00722152953061
piecewise_0004,5,previous_period,32.28279701317711,60.175835321960335,167.9839766833158,66.89821550708345
piecewise_0004,6,previous_period,32.28290496029441,60.14569241524976,167.9839766833158,66.9488507604638
piecewise_0004,7,previous_period,32.28272014218248,60.16104533652897,167.9839766833158,66.92306031276193
piecewise_0004,8,previous_period,32.282801185671225,60.15333708069836,167.9839766833158,66.93600894743912
piecewise_0004,9,previous_period,32.28275760867287,60.15722080523087,167.9839766833158,66.92948491252596
piecewise_0004,10,previous_period,32.28277851421979,60.15526492705664,167.9839766833158,66.93277047446213
piecewise_0004,11,previous_period,32.28276844719693,60.15625062845535,167.9839766833158,66.93111465405435
piecewise_0004,12,previous_period,32.28277373656149,60.15575463693628,167.9839766833158,66.9319478403321
piecewise_0005,1,default,76.18136925754324,-8.910526573557842,195.92802051726227,213.38623885049878
piecewise_0005,2,previous_period,59.23731520360562,14.686168743392091,195.92802051726227,167.15370080850926
piecewise_0005,3,previous_period,59.2376222200094,14.685642593958569,195.92802051726227,167.1547316826793
piecewise_0005,4,previous_period,59.23762420030883,14.685639237496739,195.92802051726227,167.15473825892855
piecewise_0005,5,previous_period,59.23762433837202,14.685639117279624,195.92802051726227,167.15473849446755
piecewise_0005,6,previous_period,59.23762433837202,14.685639117279624,195.92802051726227,167.15473849446755
piecewise_0005,7,previous_period,59.23762433837202,14.685639117279624,195.92802051726227,167.15473849446755
piecewise_0005,8,previous_period,59.23762433837202,14.685639117279624,195.92802051726227,167.15473849446755
piecewise_0005,9,previous_period,59.23762433837202,14.685639117279624,195.92802051726227,167.15473849446755
piecewise_0005,10,previous_period,59.23762433837202,14.685639117279624,195.92802051726227,167.15473849446755
piecewise_0005,11,previous_period,59.23762433837202,14.685639117279624,195.92802051726227,167.15473849446755
piecewise_0005,12,previous_period,59.23762433837202,14.685639117279624,195.92802051726227,167.15473849446755
piecewise_0006,1,default,48.4408463322069,-0.8436316690207502,126.76095558604364,127.83035115132083
piecewise_0006,2,previous_period,46.90142120480497,2.4840417488471322,126.76095558604364,123.61216052804875
piecewise_0006,3,previous_period,46.923952691062404,2.460943729233722,126.76095558604364,123.64143979843215
piecewise_0006,4,previous_period,46.90094964226781,2.5049098722649044,126.76095558604364,123.5857078953915
piecewise_0006,5,previous_period,46.911580234266765,2.4842157595055925,126.76095558604364,123.61193995047526
piecewise_0006,6,previous_period,46.90663100660435,2.493796543168003,126.76095558604364,123.59979525755215
piecewise_0006,7,previous_period,46.90893229448019,2.4893336737046634,126.76095558604364,123.60545243353044
piecewise_0006,8,previous_period,46.9078610492045,2.4914089879049306,126.76095558604364,123.60282174541877
piecewise_0006,9,previous_period,46.90836077888313,2.4904395763996057,126.76095558604364,123.60405058070648
piecewise_0006,10,previous_period,46.908128317217994,2.49089151950993,126.76095558604364,123.60347769330113
piecewise_0006,11,previous_period,46.90823535249948,2.490683155645268,126.76095558604364,123.60374181732706
piecewise_0006,12,previous_period,46.90818614536635,2.490779897603679,126.76095558604364,123.60361918629613
piecewise_0007,1,default,59.21597424483259,-3.0588885447521807,140.0697686948061,144.3543468040724
piecewise_0007,2,previous_period,45.88447131406359,12.81150453947577,140.0697686948061,122.12472392003781
piecewise_0007,3,previous_period,46.038720079629165,12.540330770384656,140.0697686948061,122.50455639116471
piecewise_0007,4,previous_period,46.051651043364174,12.517715246510729,140.0697686948061,122.53623390314405
piecewise_0007,5,previous_period,46.05269503364024,12.51574660662097,140.0697686948061,122.53899137248406
piecewise_0007,6,previous_period,46.05277969689961,12.515587895407322,140.0697686948061,122.53921367891391
piecewise_0007,7,previous_period,46.05278737866687,12.51557284859819,140.0697686948061,122.53923475494466
piecewise_0007,8,previous_period,46.05278648689871,12.515574668071528,140.0697686948061,122.53923220641256
piecewise_0007,9,previous_period,46.05278702239363,12.515573625489761,140.0697686948061,122.53923366675443
piecewise_0007,10,previous_period,46.05278708939316,12.515573531321088,140.0697686948061,122.53923379865627
