profile,default_rmse_nm,settled_rmse_nm,settled_offload_pct
piecewise_0000,45.64873009512226,28.243494916700243,59.43306783665334
piecewise_0001,24.24861772916103,7.981246160945141,77.54053731009756
piecewise_0002,48.93632830502604,30.21341130062322,31.115713926327526
piecewise_0003,61.24591971992213,32.17700258451418,57.399967260535554
piecewise_0004,68.51602648876101,45.62362675906942,39.19329191882066
piecewise_0005,77.92584347144415,34.637937209880505,56.511239739732254
piecewise_0006,63.4350339312295,29.867587387422056,68.85634891770263
piecewise_0007,49.03021082898116,41.01589013207948,16.880646335772333
piecewise_0008,46.03123088148155,40.996233728964114,22.053949530642146
piecewise_0009,55.98244268221942,19.37596088235087,79.50863270196629
piecewise_0010,63.277243804730865,40.689159322322226,48.43374722772008
piecewise_0011,39.939270620336956,40.77474885202455,4.116942019172976
piecewise_0012,37.454289628862135,19.201831759402257,69.47084731478185
piecewise_0013,46.935525183670634,30.276129917662843,53.483139648686404
piecewise_0014,49.08703674728177,32.305691202083345,28.134039975681524
piecewise_0015,63.355960059362374,34.104201781461065,51.920762909251806
piecewise_0016,36.73327100912983,18.592561180546504,39.99878738297924
piecewise_0017,40.619370293302126,32.06326362981278,39.195893971796195
piecewise_0018,38.44712421207945,16.955036390195687,50.64069867618362
piecewise_0019,46.110687428923306,22.65513852411923,58.09945017304339
piecewise_0020,48.86016516330167,25.038766842351492,60.89058804250792
piecewise_0021,64.47883047406047,60.06306986464263,10.59129107316611
piecewise_0022,48.876594846816616,37.19119263066672,27.971528016695057
piecewise_0023,27.484951115110803,15.664496231905922,43.91250607106745
piecewise_0024,48.25164597972739,43.819818626248356,14.348397697784353
piecewise_0025,66.01855639257273,40.86164918032384,31.953528073071592
piecewise_0026,68.90219175206731,24.476683259348928,76.71661508623045
piecewise_0027,70.46925687118967,17.687583601439282,79.67125892478359
piecewise_0028,37.8067367827662,33.785642471672055,25.21339176463452
piecewise_0029,36.72757042124299,26.810193386594104,14.484890278762874
piecewise_0030,43.888908563142515,33.30415610527165,27.54679905286289
piecewise_0031,44.140840025539084,20.579555432526167,74.73472963431604
piecewise_0032,33.599115269184914,31.24097566738078,-1.2426745299821684
piecewise_0033,42.914855464255496,38.21119917982995,15.364483687803165
piecewise_0034,61.926917513761275,22.377710759973436,73.41713382296359
piecewise_0035,33.55530603061594,10.154598387272916,79.9987337951999
piecewise_0036,49.65043051477467,16.377219739138482,78.61033940244594
piecewise_0037,42.59047497963298,18.82546531041825,53.455400802816875
piecewise_0038,61.25241741530362,39.59945352580686,32.93148638381249
piecewise_0039,57.01910703605228,42.208753468925245,29.702946864730194
piecewise_0040,45.717261768480306,19.16754001051875,43.65322552674847
piecewise_0041,38.64152878378054,31.77359173472929,19.321939926264108
piecewise_0042,61.23041064586804,24.649065374822854,68.22612856955526
piecewise_0043,48.83058129491234,41.19538815318208,47.02405284880508
piecewise_0044,62.059902045072555,32.809266248233556,53.57706878554382
piecewise_0045,51.20106302086089,48.16351600665798,11.221139866429553
piecewise_0046,26.829357568073444,8.954002267853907,76.7689801365641
piecewise_0047,52.272869232510686,23.472961894087298,59.817818254754876
piecewise_0048,58.37626795132161,38.367981031447634,39.446097599870676
piecewise_0049,70.2524702228764,18.17861957622265,79.47303688154538
piecewise_0050,65.29963741873193,38.95659556205353,49.55343634053789
piecewise_0051,50.36875998931716,46.61622710233352,7.4375852125968205
piecewise_0052,50.88360205255634,14.513636670581073,75.19530540855587
piecewise_0053,72.39371806753341,36.78245581531127,50.3695346877814
piecewise_0054,37.53680119758403,14.73495675075923,67.88389499593049
piecewise_0055,58.72830327142474,53.78805439049488,6.311622071301315
piecewise_0056,59.22598580435412,27.032229241417465,57.37926748321025
piecewise_0057,68.39142918948066,25.40281125261806,72.04455537171503
piecewise_0058,47.86061679669251,39.22624395289647,20.406518076574432
piecewise_0059,57.09731766719382,33.520555141011215,41.14801465853712
piecewise_0060,32.255312577848805,26.71778976604997,-1.126758174629372
piecewise_0061,41.00874704398774,37.76244272396901,14.874262984857422
piecewise_0062,44.946660349161654,26.991841530176615,57.14295795775628
piecewise_0063,68.05088918201987,30.71244838796571,66.0389244738449
piecewise_0064,46.892040074275485,11.492215568937228,79.72043450112403
piecewise_0065,81.55189195098663,33.92376821907831,73.76426273808539
piecewise_0066,49.00872186358422,26.965260515507712,58.048678365129945
piecewise_0067,74.64299595760691,21.76300034381475,82.29631936429114
piecewise_0068,87.32116581222046,23.54612267952734,72.75583724041418
piecewise_0069,47.7773985736111,44.55275365491407,15.466288966499764
piecewise_0070,32.44148010948834,28.53848080629529,30.455960888698307
piecewise_0071,33.82328411133719,15.812793963816748,68.85048256233073
piecewise_0072,57.46687952468928,44.7516893235675,46.017834568724446
piecewise_0073,52.49731247173824,32.00186843754651,41.63607998783093
piecewise_0074,49.41139854300936,38.812531776890246,21.020051665542216
piecewise_0075,69.23836277053589,26.583324372086654,65.99728445698653
piecewise_0076,41.89409388610135,29.91323320383484,35.58263680420099
piecewise_0077,43.04297065387259,40.6088554558581,10.961546992864646
piecewise_0078,60.87157994506189,43.42144354150625,34.8168028570484
piecewise_0079,59.03035193708715,47.71066789783587,16.69815062742047
piecewise_0080,39.16045016481378,29.230911543965263,55.37749842561512
piecewise_0081,66.76430606327445,52.621353241461065,36.26926233773098
piecewise_0082,66.68570795056466,44.45597637773071,46.72231364731867
piecewise_0083,45.73385903210143,30.550729000704607,37.0969663770052
piecewise_0084,53.58565504219327,27.865718196275527,57.96456735728093
piecewise_0085,63.480741885202,44.67662681160068,29.891072126764527
piecewise_0086,36.64732182464376,22.35675041652204,63.638323273021456
piecewise_0087,55.77662795536133,47.06223198097387,35.49637717178176
piecewise_0088,42.72919399626223,42.32396905756831,2.2173328068893605
piecewise_0089,10.664139558968431,14.707221304667087,28.789516220635537
piecewise_0090,45.0702842241678,27.24216856898141,36.488752999022424
piecewise_0091,42.12914167548613,28.205622494550035,39.119625217610135
piecewise_0092,41.579524279080964,32.49461024080072,30.545932911357333
piecewise_0093,67.76298613114899,29.99601597772054,66.55296414560561
piecewise_0094,26.21665872868433,20.022893219317535,-4.066031393606329
piecewise_0095,49.33025583748663,29.62239231727359,58.56050914777511
piecewise_0096,62.9399378502455,17.5771023316905,75.90932571477776
piecewise_0097,36.350616546571224,33.23391910471196,15.837739302601062
piecewise_0098,38.182557850540476,26.76108065015023,46.16828278202223
piecewise_0099,58.9098806292302,22.65545767234918,67.4682689545671
piecewise_0100,39.250041456625944,30.170784434865734,39.237195062551656
piecewise_0101,50.38707320302724,33.53613297882703,45.76328676700966
piecewise_0102,48.68714882755449,43.76108705125452,13.721469971078914
piecewise_0103,68.21151736556546,29.53948246933086,59.58797959027042
piecewise_0104,72.21025329344828,15.073729112175474,81.38223969470808
piecewise_0105,59.67639882190505,30.03352799613929,58.09486387717302
piecewise_0106,96.4968144033167,30.599247910080514,72.35421786076802
piecewise_0107,81.88395252409121,28.901933839830814,75.60313126594794
piecewise_0108,50.653133011773896,36.89761637047956,35.067825119814344
piecewise_0109,62.688168098894096,39.031579227834726,40.7316646500935
piecewise_0110,77.69892839658587,27.950850736320454,72.82228150641518
piecewise_0111,62.41791418955444,22.262936638854917,78.58372358890557
piecewise_0112,67.03875557222351,30.28972151966804,57.685984578369755
