profile,period,policy,rmse_nm,offload_pct,baseline_motor_work_j,assisted_motor_work_j
piecewise_0000,1,default,50.66597494229455,20.42566703629023,189.31829963811313,150.6487741152659
piecewise_0000,2,previous_period,26.879910746486477,61.66534836166244,189.31829963811313,72.57451065389475
piecewise_0000,3,previous_period,24.91862798229145,65.96889858523376,189.31829963811313,64.4271025465573
piecewise_0000,4,previous_period,24.849909776668966,66.12074827212291,189.31829963811313,64.13962330133296
piecewise_0000,5,previous_period,24.848274181330893,66.12360838736365,189.31829963811313,64.13420857979153
piecewise_0000,6,previous_period,24.84837150601686,66.12322156841752,189.31829963811313,64.13494089884298
piecewise_0000,7,previous_period,24.848405383218818,66.12311443278725,189.31829963811313,64.13514372619656
piecewise_0000,8,previous_period,24.848410414917765,66.1230959199414,189.31829963811313,64.13517877440148
piecewise_0000,9,previous_period,24.848410615730607,66.12309528294027,189.31829963811313,64.13517998036122
piecewise_0000,10,previous_period,24.84841150612397,66.1230921775597,189.31829963811313,64.13518585941493
piecewise_0000,11,previous_period,24.84841154385987,66.12309142112083,189.31829963811313,64.13518729149212
piecewise_0000,12,previous_period,24.848412146475493,66.1230910429014,189.31829963811313,64.13518800753073
piecewise_0001,1,default,62.969729087063286,-8.598924801322694,153.62246147609534,166.8323414163657
piecewise_0001,2,previous_period,41.24242949985654,32.8941844064363,153.62246147609534,103.08960570844198
piecewise_0001,3,previous_period,41.26397530130138,32.84763648604524,153.62246147609534,103.16111376951265
piecewise_0001,4,previous_period,41.2625335639609,32.85075779864447,153.62246147609534,103.15631873226735
piecewise_0001,5,previous_period,41.26261024662838,32.85059146127405,153.62246147609534,103.15657426383015
piecewise_0001,6,previous_period,41.26260845915774,32.8505971832992,153.62246147609534,103.15656547351426
piecewise_0001,7,previous_period,41.262607905818314,32.85059728142612,153.62246147609534,103.15656532276928
piecewise_0001,8,previous_period,41.262606797038394,32.85059808484016,153.62246147609534,103.15656408854485
piecewise_0001,9,previous_period,41.26260781354471,32.85059768006667,153.62246147609534,103.15656471036785
piecewise_0001,10,previous_period,41.26260697086707,32.85059860000641,153.62246147609534,103.15656329713377
piecewise_0001,11,previous_period,41.26260781354471,32.85059768006667,153.62246147609534,103.15656471036785
piecewise_0001,12,previous_period,41.26260697086707,32.85059860000641,153.62246147609534,103.15656329713377
piecewise_0002,1,default,47.05317402150559,-1.350084347619962,125.95196228118729,127.6524200094658
piecewise_0002,2,previous_period,44.30353404826527,7.869465111256568,125.95196228118729,116.04021655252623
piecewise_0002,3,previous_period,44.32343594159076,7.951569500102118,125.95196228118729,115.93680446365627
piecewise_0002,4,previous_period,44.321587650315024,7.955866771819964,125.95196228118729,115.9313919656031
piecewise_0002,5,previous_period,44.32168437875962,7.95560774465619,125.95196228118729,115.93171821539872
piecewise_0002,6,previous_period,44.32167787274882,7.955626505200453,125.95196228118729,115.93169458612508
piecewise_0002,7,previous_period,44.321678379777524,7.955626161107543,125.95196228118729,115.93169501951685
piecewise_0002,8,previous_period,44.32167790190981,7.9556267595299985,125.95196228118729,115.93169426579202
piecewise_0002,9,previous_period,44.321678305664626,7.955626991418718,125.95196228118729,115.93169397372364
piecewise_0002,10,previous_period,44.32167782327118,7.955626191028664,125.95196228118729,115.93169498183062
piecewise_0002,11,previous_period,44.321678305664626,7.955626991418718,125.95196228118729,115.93169397372364
piecewise_0002,12,previous_period,44.32167782327118,7.955626191028664,125.95196228118729,115.93169498183062
piecewise_0003,1,default,57.39060208672659,-7.57778637648725,157.5222513600131,169.45895106350815
piecewise_0003,2,previous_period,36.25777494626366,34.07367170259077,157.5222513600131,103.8486365730724
piecewise_0003,3,previous_period,36.23973439820623,34.09060472974913,157.5222513600131,103.82196328746916
piecewise_0003,4,previous_period,36.24471985924898,34.07996228070118,157.5222513600131,103.83872751280933
piecewise_0003,5,previous_period,36.24383079576288,34.0817955829814,157.5222513600131,103.8358396537833
piecewise_0003,6,previous_period,36.24398706800842,34.08146991816828,157.5222513600131,103.8363526483288
piecewise_0003,7,previous_period,36.24395857357583,34.08152799463131,157.5222513600131,103.83626116497672
piecewise_0003,8,previous_period,36.24396812149731,34.08151044010824,157.5222513600131,103.83628881725667
piecewise_0003,9,previous_period,36.243966784142486,34.08151133129187,157.5222513600131,103.83628741344417
piecewise_0003,10,previous_period,36.243965727178306,34.081514728555604,157.5222513600131,103.83628206199785
piecewise_0003,11,previous_period,36.24396580955925,34.08151459099036,157.5222513600131,103.83628227869372
piecewise_0003,12,previous_period,36.243965775550734,34.08151471659342,157.5222513600131,103.83628208084095
