profile,default_rmse_nm,settled_rmse_nm,settled_offload_pct
piecewise_0000,43.96775489438803,28.090727001947116,60.695148507618754
piecewise_0001,22.03228967000772,9.067840517425957,70.86662133845716
piecewise_0002,50.668493764385566,30.03743937895522,39.124302751461705
piecewise_0003,61.23788075460674,27.28249732787916,64.669031623577
piecewise_0004,68.38744210108231,42.1467601781448,44.00548278036843
piecewise_0005,79.44200944607026,35.47949336800098,53.06548664373493
piecewise_0006,63.56895259956331,25.082141140938305,74.66769674120452
piecewise_0007,48.50487694954556,41.174465836967144,19.381223450888786
piecewise_0008,45.86475779308103,32.40312465028897,38.06414863482139
piecewise_0009,54.9474758505273,19.34883722447882,76.94116705058711
piecewise_0010,63.588401910120034,34.9118963322478,58.945170234935496
piecewise_0011,40.65981976289179,40.06857150054897,0.4413746659527429
piecewise_0012,35.91500748696519,19.37033061833755,69.79211002351555
piecewise_0013,48.76257982182782,26.337557465058733,56.73860216352069
piecewise_0014,50.422521544921075,29.901634518732802,33.54854797048622
piecewise_0015,62.82726362981922,29.2864413834445,59.086107212116026
piecewise_0016,37.74013828741839,16.423958383275572,50.73854143884622
piecewise_0017,40.592976122653035,31.88079743013675,26.31167845870913
piecewise_0018,40.42626532789575,11.582387557302255,68.40674183245919
piecewise_0019,46.0800200692268,22.124512417084645,56.981765193402204
piecewise_0020,49.05069946015217,22.067141287399807,65.95466443479889
piecewise_0021,64.87996111631034,56.275476352924976,15.831731396085956
piecewise_0022,49.224786020680725,28.81142302977289,43.645955028082284
piecewise_0023,27.26221494462452,15.262548589665288,46.41163410596708
piecewise_0024,47.64504379250001,40.70827131620299,23.515717540453895
piecewise_0025,67.4153913340102,37.7440940546224,36.954433758289774
piecewise_0026,71.0159815400489,24.743462759125734,67.13949644563887
piecewise_0027,71.1873566565228,14.469557608472208,87.09502232271316
piecewise_0028,37.14965697665701,33.84536828831586,16.351567076815975
piecewise_0029,38.17733967850368,25.651996691460628,19.390051264104546
piecewise_0030,44.693403543907586,31.23834687849385,31.19350874057537
piecewise_0031,45.37900889916751,18.924310040457026,72.51825987386424
piecewise_0032,34.02087575324046,28.344217147453392,10.671539950509823
piecewise_0033,43.40347010848316,35.09511127356262,25.69244710174663
piecewise_0034,60.138364853253904,20.783320329033156,72.67710138649059
piecewise_0035,31.441412396052463,9.375723945231075,79.97077850862782
piecewise_0036,47.4684046153358,14.14011394950554,78.04376816169312
piecewise_0037,44.19890664177921,17.640550468199397,59.84494284618853
piecewise_0038,60.98523359984361,34.66258713495997,40.06724677767981
piecewise_0039,57.94199370463105,39.43701646615172,29.27746690126851
piecewise_0040,47.209834408649925,14.499912870740104,52.76584560448724
piecewise_0041,40.25001677982991,30.300884920492773,13.633995912069174
piecewise_0042,59.490377709558175,22.03007561740861,70.0716144621371
piecewise_0043,50.217902448617785,36.5207672531451,44.60384581251186
piecewise_0044,64.05551864926036,35.0050732905477,55.78857544121008
piecewise_0045,51.34064617565135,42.99796681737448,18.819409403811036
piecewise_0046,24.801915583308887,10.069605509742757,73.13591238012953
