t,theta,theta_dot,tau_target,tau_spring,residual_torque,baseline_mechanical_power,motor_mechanical_power,baseline_energy_burden_power,motor_energy_burden_power,baseline_electrical_draw_power,motor_electrical_draw_power,baseline_braking_power,motor_braking_power,baseline_regenerated_power,motor_regenerated_power
0.0000000000,0.0000000000,0.0000000000,-24.9921665036,0.0000000000,-24.9921665036,-0.0000000000,-0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0314465409,0.1027831452,3.2685040159,4.4258360362,-17.6649720405,22.0908080766,14.4658628580,72.2038949136,17.0186621859,84.9457587218,17.0186621859,84.9457587218,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0628930818,0.2015667134,3.1413174712,4.9098908851,-8.0475898852,12.9574807703,15.4235260189,40.7035607264,18.1453247281,47.8865420311,18.1453247281,47.8865420311,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.0943396226,0.2925067626,2.8918935625,-51.7674354438,-7.4573700647,-44.3100653791,-149.7059133065,-128.1399928233,59.8823653226,51.2559971293,0.0000000000,0.0000000000,149.7059133065,128.1399928233,89.8235479839,76.8839956940
0.1257861635,0.3720645634,2.5299380650,-91.0665059707,-57.4371661465,-33.6293398241,-230.3926198991,-85.0801469209,92.1570479596,34.0320587684,0.0000000000,0.0000000000,230.3926198991,85.0801469209,138.2355719394,51.0480881526
0.1572327044,0.4371443014,2.0695356696,-57.2752817316,-72.9131926372,15.6379109056,-118.5332385320,32.3632144177,47.4132954128,38.0743699031,0.0000000000,38.0743699031,118.5332385320,0.0000000000,71.1199431192,0.0000000000
0.1886792453,0.4852135438,1.5286019090,-32.3163836388,-56.6428962465,24.3265126077,-49.3988857210,37.1855536105,19.7595542884,43.7477101301,0.0000000000,43.7477101301,49.3988857210,0.0000000000,29.6393314326,0.0000000000
0.2201257862,0.5144017832,0.9281860139,-17.1610315509,-38.9681980432,21.8071664923,-15.9286294699,20.2411069413,6.3714517880,23.8130669898,0.0000000000,23.8130669898,15.9286294699,0.0000000000,9.5571776819,0.0000000000
0.2515723270,0.5235732244,0.2916518301,-12.3989621967,-14.9254450750,2.5264828783,-3.6161800157,0.7368533551,1.4464720063,0.8668863001,0.0000000000,0.8668863001,3.6161800157,0.0000000000,2.1697080094,0.0000000000
0.2830188679,0.5123709812,-0.3562313343,-18.2154808853,-15.2081155417,-3.0073653436,6.4889250612,1.0713177691,7.6340294837,1.2603738461,7.6340294837,1.2603738461,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.3144654088,0.4812309639,-0.9902525508,-34.3842507633,-27.0751629551,-7.3090878082,34.0490920249,7.2378428459,40.0577553234,8.5151092305,40.0577553234,8.5151092305,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.3459119497,0.4313649168,-1.5857402976,-60.2761002086,-40.6569365196,-19.6191636890,95.5822410808,31.1108984662,112.4496953892,36.6010570191,112.4496953892,36.6010570191,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.3773584906,0.3647132660,-2.1195224970,-94.8835056412,-53.3552199328,-41.5282857084,201.1077248018,88.0201358212,236.5973232962,103.5531009661,236.5973232962,103.5531009661,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0.4088050314,0.2838696117,-2.5708282052,-46.3844317785,-65.0892833128,18.7048515343,119.2464054988,-48.0869598985,140.2898888221,19.2347839594,140.2898888221,0.0000000000,0.0000000000,48.0869598985,0.0000000000,28.8521759391
