profile,family,spring_00,spring_01,spring_02,spring_03,spring_04,spring_05,spring_06,spring_07,spring_08,spring_09,spring_10,spring_11,spring_12,spring_13,spring_14,spring_15,spring_16,spring_17,spring_18,spring_19,spring_20,spring_21,spring_22,spring_23,spring_24,spring_25,spring_26,spring_27,spring_28,spring_29,spring_30,spring_31,spring_32,spring_33,spring_34,spring_35,spring_36,spring_37,spring_38,spring_39
low_roughness_0367,low_roughness,16.236000061035156,22.610000610351562,80.15699768066406,51.81800079345703,13.890999794006348,22.341999053955078,33.98899841308594,86.08599853515625,10.29699993133545,112.1510009765625,14.617000579833984,70.55899810791016,29.790000915527344,16.381999969482422,33.27899932861328,26.10099983215332,8.39799976348877,22.9060001373291,117.35600280761719,46.9010009765625,7.519000053405762,54.3390007019043,8.215772140829358e-06,2.8678414309979416e-05,420.31805419921875,5.754283392889192e-06,1.1945263395318761e-05,7.170808657974703e-06,1243.497802734375,3.6765404729521833e-06,1.3674991350853816e-05,1.4493863091047388e-05,0.00010150414891541004,3.856591320072766e-06,2.099016091960948e-05,7.800467756169382e-06,0.0019702932331711054,5.7843185459205415e-06,1296.0521240234375,4.9821373977465555e-06
medium_roughness_0070,medium_roughness,16.236000061035156,22.610000610351562,80.15699768066406,51.81800079345703,13.890999794006348,22.341999053955078,33.98899841308594,86.08599853515625,10.29699993133545,112.1510009765625,14.617000579833984,70.55899810791016,29.790000915527344,16.381999969482422,33.27899932861328,26.10099983215332,8.39799976348877,22.9060001373291,117.35600280761719,46.9010009765625,7.519000053405762,54.3390007019043,4.202853233437054e-05,5.383076495490968e-05,2.5364348402945325e-05,3.0906423489796e-05,3.268565342295915e-05,3.507581277517602e-05,3.85852727049496e-05,2.2017513401806355e-05,6.227455014595762e-05,6.491144449682906e-05,3.197271507815458e-05,2.0914152628392912e-05,7.180818647611886e-05,3.728078445419669e-05,6.509158265544102e-05,2.9941240427433513e-05,2.878873419831507e-05,2.805031181196682e-05
low_roughness_0116,low_roughness,16.236000061035156,22.610000610351562,80.15699768066406,51.81800079345703,13.890999794006348,22.341999053955078,33.98899841308594,86.08599853515625,10.29699993133545,112.1510009765625,14.617000579833984,70.55899810791016,29.790000915527344,16.381999969482422,33.27899932861328,26.10099983215332,8.39799976348877,22.9060001373291,117.35600280761719,46.9010009765625,7.519000053405762,54.3390007019043,5.194459663471207e-05,1.2635780876735225e-05,4.875632384937489e-06,0.0005980398855172098,1.0028068572864868e-05,3.049132283194922e-05,6.3689590206195135e-06,874.5104370117188,2.8271955670788884e-05,2.6374460503575392e-05,6.851432317489525e-06,8.420352241955698e-05,2.2430556782637723e-05,2.7706339096766897e-05,1.364413219562266e-05,5.424385381047614e-05,4.192270353087224e-06,813.3269653320312
high_roughness_0145,high_roughness,16.236000061035156,22.610000610351562,80.15699768066406,51.81800079345703,13.890999794006348,22.341999053955078,33.98899841308594,86.08599853515625,10.29699993133545,112.1510009765625,14.617000579833984,70.55899810791016,29.790000915527344,16.381999969482422,33.27899932861328,26.10099983215332,8.39799976348877,22.9060001373291,117.35600280761719,46.9010009765625,7.519000053405762,54.3390007019043,1.726669324852992e-05,2.4412285711150616e-05,1.7622231098357588e-05,1.3598367331724148e-05,1.7147509424830787e-05,1.5572875781799667e-05,5.532386421691626e-05,1.1748232282116078e-05,2.6245392291457392e-05,2.965445673908107e-05,1.8773394913296215e-05,8.96524670679355e-06,3.766476584132761e-05,1.6274239897029474e-05,4.105719563085586e-05,1.9235018044128083e-05,4.681002246798016e-05,1.2728910405712668e-05
low_roughness_0148,low_roughness,16.236000061035156,22.610000610351562,80.15699768066406,51.81800079345703,13.890999794006348,22.341999053955078,33.98899841308594,86.08599853515625,10.29699993133545,112.1510009765625,14.617000579833984,70.55899810791016,29.790000915527344,16.381999969482422,33.27899932861328,26.10099983215332,8.39799976348877,22.9060001373291,117.35600280761719,46.9010009765625,7.519000053405762,54.3390007019043,0.00708289910107851,0.007297901902347803,0.0038255236577242613,0.00468601705506444,0.004677462391555309,0.005365810822695494,0.04245922714471817,0.0026222693268209696,0.026668131351470947,0.031061692163348198,0.004572874866425991,0.002970524597913027,0.7648673057556152,0.0057020029053092,0.01367014180868864,0.003613400273025036,0.013389332219958305,0.004084928426891565
medium_roughness_0300,medium_roughness,16.236000061035156,22.610000610351562,80.15699768066406,51.81800079345703,13.890999794006348,22.341999053955078,33.98899841308594,86.08599853515625,10.29699993133545,112.1510009765625,14.617000579833984,70.55899810791016,29.790000915527344,16.381999969482422,33.27899932861328,26.10099983215332,8.39799976348877,22.9060001373291,117.35600280761719,46.9010009765625,7.519000053405762,54.3390007019043,9.93591129372362e-06,3.0024217267055064e-05,557.2939453125,6.98296025802847e-06,1.3858028978575021e-05,8.641971362521872e-06,1272.8067626953125,4.34971525464789e-06,1.592993976373691e-05,1.6838026567711495e-05,0.0001172065021819435,4.740180884255096e-06,2.5603341782698408e-05,9.378318281960674e-06,0.003184286877512932,6.5605490817688406e-06,1299.8746337890625,6.0333413784974255e-06
high_roughness_0175,high_roughness,16.236000061035156,22.610000610351562,80.15699768066406,51.81800079345703,13.890999794006348,22.341999053955078,33.98899841308594,86.08599853515625,10.29699993133545,112.1510009765625,14.617000579833984,70.55899810791016,29.790000915527344,16.381999969482422,33.27899932861328,26.10099983215332,8.39799976348877,22.9060001373291,117.35600280761719,46.9010009765625,7.519000053405762,54.3390007019043,4.9592610594118014e-05,5.9407066146377474e-05,3.847217885777354e-05,3.789445327129215e-05,4.251432983437553e-05,4.3426945921964943e-05,582.2858276367188,2.3685162886977196e-05,6.960883911233395e-05,7.170054595917463e-05,4.356536373961717e-05,2.5867124350043014e-05,8.522456482751295e-05,4.553487815428525e-05,8.941308624343947e-05,3.533500057528727e-05,0.0013093739980831742,3.3430169423809275e-05
low_roughness_0328,low_roughness,16.236000061035156,22.610000610351562,80.15699768066406,51.81800079345703,13.890999794006348,22.341999053955078,33.98899841308594,86.08599853515625,10.29699993133545,112.1510009765625,14.617000579833984,70.55899810791016,29.790000915527344,16.381999969482422,33.27899932861328,26.10099983215332,8.39799976348877,22.9060001373291,117.35600280761719,46.9010009765625,7.519000053405762,54.3390007019043,1.3747681805398315e-05,7.787881622789428e-05,762.9111938476562,9.451421647099778e-06,2.4748313080635853e-05,1.2524878002295736e-05,1179.980224609375,5.515674274647608e-06,2.3068554583005607e-05,2.4761035092524253e-05,0.0003380989364814013,6.758404651918681e-06,4.143855403526686e-05,1.3808636140311137e-05,138.2339324951172,8.635364793008193e-06,1226.9798583984375,7.792222277203109e-06
medium_roughness_0231,medium_roughness,16.236000061035156,22.610000610351562,80.15699768066406,51.81800079345703,13.890999794006348,22.341999053955078,33.98899841308594,86.08599853515625,10.29699993133545,112.1510009765625,14.617000579833984,70.55899810791016,29.790000915527344,16.381999969482422,33.27899932861328,26.10099983215332,8.39799976348877,22.9060001373291,117.35600280761719,46.9010009765625,7.519000053405762,54.3390007019043,0.0002792464511003345,0.0013737360714003444,131.8131561279297,0.00017355589079670608,0.0005466713919304311,0.00024051924992818385,0.011507071554660797,0.00010952314187306911,0.00043400784488767385,0.0007145653944462538,0.0013981949305161834,0.00012852487270720303,0.000955418567173183,0.0002745604142546654,0.008644663728773594,0.0001574192283442244,358.74151611328125,0.00014225536142475903
low_roughness_0094,low_roughness,16.236000061035156,22.610000610351562,80.15699768066406,51.81800079345703,13.890999794006348,22.341999053955078,33.98899841308594,86.08599853515625,10.29699993133545,112.1510009765625,14.617000579833984,70.55899810791016,29.790000915527344,16.381999969482422,33.27899932861328,26.10099983215332,8.39799976348877,22.9060001373291,117.35600280761719,46.9010009765625,7.519000053405762,54.3390007019043,0.00015978295414242893,2.5610621378291398e-05,9.878578566713259e-06,251.7403564453125,2.1625577574013732e-05,8.701519254827872e-05,1.0618853593769018e-05,1045.7410888671875,5.7007360737770796e-05,5.3368741646409035e-05,1.4026652024767827e-05,0.000910963979549706,4.132801041123457e-05,6.950880924705416e-05,2.5005527277244255e-05,0.0006236653425730765,7.30891406419687e-06,960.0303344726562
