profile,family,spring_00,spring_01,spring_02,spring_03,spring_04,spring_05,spring_06,spring_07,spring_08,spring_09,spring_10,spring_11,spring_12,spring_13,spring_14,spring_15,spring_16,spring_17,spring_18,spring_19
low_roughness_0367,low_roughness,117.35598754882812,46.901004791259766,799.8731079101562,799.8960571289062,1.0022763013839722,799.86572265625,1.0049734115600586,799.8710327148438,799.8717041015625,1.0088486671447754,1.099851369857788,1.111657977104187,32.761207580566406,1.0061606168746948,1.2071586847305298,1.0232282876968384,799.461181640625,1.0195547342300415,799.8846435546875,1.015682578086853
medium_roughness_0070,medium_roughness,117.35598754882812,46.901004791259766,799.9556884765625,799.6929321289062,799.7711791992188,1.228140115737915,1.016533613204956,798.6764526367188,1.060401201248169,1.0386977195739746,1.3488097190856934,1.3701326847076416,1.0315563678741455,1.0258309841156006,1.4468300342559814,1.0886048078536987,1.19767165184021,1.0786887407302856,1.0255316495895386,1.068078875541687
low_roughness_0116,low_roughness,117.35598754882812,46.901004791259766,1.0112648010253906,1.0260374546051025,1.0960862636566162,1.0072177648544312,799.8235473632812,1.0274196863174438,1.0132945775985718,797.8026733398438,1.182613730430603,1.173816442489624,1.008278727531433,1.0434831380844116,1.157057523727417,1.0650094747543335,1.049751877784729,1.0891224145889282,1.0051039457321167,790.727783203125
high_roughness_0145,high_roughness,117.35598754882812,46.901004791259766,799.989990234375,1.2728291749954224,1.0002955198287964,799.58642578125,1.0103392601013184,799.9374389648438,1.0702004432678223,1.0227025747299194,1.160832405090332,1.1822879314422607,1.0202537775039673,1.0127108097076416,1.2456929683685303,1.0438616275787354,1.131485939025879,1.0530439615249634,1.0318509340286255,1.034729242324829
low_roughness_0148,low_roughness,117.35598754882812,46.901004791259766,797.169677734375,2.530686855316162,1.1387666463851929,797.0446166992188,1.2117818593978882,6.572085380554199,1.4907872676849365,1.5160281658172607,4.192142963409424,4.25904655456543,1.2287497520446777,1.2994147539138794,4.698131561279297,1.9013235569000244,2.420666217803955,1.9764420986175537,1.188988447189331,1.88326096534729
medium_roughness_0300,medium_roughness,117.35598754882812,46.901004791259766,799.863037109375,799.9012451171875,1.0031458139419556,799.8424072265625,1.0055148601531982,799.8446044921875,799.8495483398438,1.0100897550582886,1.1191335916519165,1.131244421005249,70.69800567626953,1.0073338747024536,1.2447446584701538,1.0277025699615479,799.36083984375,1.02203369140625,799.8701782226562,1.0184447765350342
high_roughness_0175,high_roughness,117.35598754882812,46.901004791259766,799.7854614257812,799.9150390625,1.0174376964569092,799.6607055664062,1.0133920907974243,799.9463500976562,794.5296020507812,1.0448263883590698,1.439968466758728,1.4600913524627686,1.0458358526229858,1.034035325050354,1.5978121757507324,1.116592526435852,1.2937648296356201,1.1006770133972168,1.2419216632843018,1.0871363878250122
low_roughness_0328,low_roughness,117.35598754882812,46.901004791259766,799.8350830078125,799.89501953125,1.0037492513656616,799.7553100585938,1.0063676834106445,799.7849731445312,799.7987670898438,1.0117357969284058,1.155803918838501,1.174232006072998,125.90441131591797,1.0088845491409302,1.3441208600997925,1.0349172353744507,798.9425048828125,1.0259077548980713,799.85107421875,1.0217058658599854
medium_roughness_0231,medium_roughness,117.35598754882812,46.901004791259766,1.0228787660598755,1.0383579730987549,1.0304042100906372,1.2120616436004639,799.95654296875,2.857691764831543,2.3058977127075195,1.1267718076705933,2.7728967666625977,3.4504363536834717,1.4599355459213257,1.1010843515396118,4.49647331237793,1.4194376468658447,4.460812091827393,1.2836267948150635,459.693115234375,1.23222017288208
low_roughness_0094,low_roughness,117.35598754882812,46.901004791259766,1.018117070198059,1.0213242769241333,1.031538724899292,1.0417436361312866,799.8053588867188,1.1456925868988037,1.020214319229126,799.7298583984375,1.42862069606781,1.4013649225234985,1.0151500701904297,81.69770812988281,1.313332200050354,1.194323182106018,1.0895110368728638,106.38684844970703,1.007856845855713,799.6931762695312
low_roughness_0081,low_roughness,117.35598754882812,46.901004791259766,799.8592529296875,799.6824951171875,1.0420526266098022,799.7703857421875,1.0110020637512207,799.6962280273438,1.1876472234725952,1.0245391130447388,1.2927041053771973,1.3536573648452759,1.1168779134750366,1.0165010690689087,1.5832852125167847,1.0648354291915894,2.0502872467041016,1.0546622276306152,740.7372436523438,1.0413764715194702
medium_roughness_0210,medium_roughness,117.35598754882812,46.901004791259766,799.856201171875,799.8917236328125,799.947021484375,1.2692506313323975,1.0146071910858154,1.0935022830963135,13.588482856750488,1.1686350107192993,8.516816139221191,6.340249538421631,9.535099029541016,1.2065813541412354,14.046224594116211,1.953490138053894,508.73956298828125,1.3405669927597046,797.8316650390625,1.4171910285949707
low_roughness_0109,low_roughness,117.35598754882812,46.901004791259766,1.0149708986282349,1.021512746810913,1.0168570280075073,1.1786779165267944,799.8072509765625,1.5128767490386963,1.0186508893966675,799.7927856445312,1.4048550128936768,1.3834421634674072,1.0152074098587036,60.120357513427734,1.3111344575881958,1.1790237426757812,1.0900604724884033,799.7230834960938,1.007522463798523,799.7864990234375
medium_roughness_0331,medium_roughness,117.35598754882812,46.901004791259766,799.8529052734375,799.8318481445312,1.0078357458114624,1.0384351015090942,1.0111300945281982,1.1785478591918945,1.032393455505371,1.0252468585968018,1.2030401229858398,1.2103793621063232,1.016248106956482,1.0166776180267334,1.2450131177902222,1.0541980266571045,1.100911259651184,1.0495145320892334,1.01316499710083,1.045316219329834
