profile,family,spring_00,spring_01,spring_02,spring_03,spring_04,spring_05,spring_06,spring_07,spring_08,spring_09,spring_10,spring_11,spring_12,spring_13,spring_14,spring_15
low_roughness_0367,low_roughness,123.78900146484375,16.97800064086914,72.14800262451172,37.35599899291992,13.605999946594238,2.331170207980904e-06,96.17900085449219,9.305679782301013e-07,1.4481165635515936e-05,1.023647200781852e-06,77.40799713134766,6.357932761602569e-06,24.819000244140625,3.8994966189420666e-07,104.88099670410156,236.10574340820312
medium_roughness_0070,medium_roughness,123.78900146484375,16.97800064086914,72.14800262451172,37.35599899291992,13.605999946594238,5.6219828366010915e-06,96.17900085449219,1.9420808712311555e-06,7.39968254492851e-06,1.3017720448260661e-06,77.40799713134766,4.300676209822996e-06,24.819000244140625,1.18286038741644e-06,104.88099670410156,5.717316525988281e-06
low_roughness_0116,low_roughness,123.78900146484375,16.97800064086914,72.14800262451172,37.35599899291992,13.605999946594238,6.021019771651481e-07,96.17900085449219,0.0011828676797449589,5.685866199200973e-06,1383.0443115234375,77.40799713134766,2.7669993869494647e-06,24.819000244140625,4.4204557525517885e-06,104.88099670410156,2.6227874059259193e-06
high_roughness_0145,high_roughness,123.78900146484375,16.97800064086914,72.14800262451172,37.35599899291992,13.605999946594238,4.900057774648303e-06,96.17900085449219,1.5596356206515338e-06,8.660064850118943e-06,1.0940735819531255e-06,77.40799713134766,5.601998509519035e-06,24.819000244140625,9.26892255392886e-07,104.88099670410156,5.355210305424407e-06
low_roughness_0148,low_roughness,123.78900146484375,16.97800064086914,72.14800262451172,37.35599899291992,13.605999946594238,0.00019802022143267095,96.17900085449219,0.00011627592903096229,0.000767344085033983,5.187198257772252e-05,77.40799713134766,0.0005639560404233634,24.819000244140625,8.863323455443606e-05,104.88099670410156,2.8073770999908447
medium_roughness_0300,medium_roughness,123.78900146484375,16.97800064086914,72.14800262451172,37.35599899291992,13.605999946594238,2.19987873606442e-06,96.17900085449219,9.401545639775577e-07,1.819474528019782e-05,1.0428536825202173e-06,77.40799713134766,9.155051884590648e-06,24.819000244140625,4.045302546273888e-07,104.88099670410156,199.67515563964844
high_roughness_0175,high_roughness,123.78900146484375,16.97800064086914,72.14800262451172,37.35599899291992,13.605999946594238,4.821288712264504e-06,96.17900085449219,1.6573950460951892e-06,6.3956063058867585e-06,1.089035208678979e-06,77.40799713134766,3.7114978113095276e-06,24.819000244140625,9.843652151175775e-07,104.88099670410156,3.46335286849353e-06
low_roughness_0328,low_roughness,123.78900146484375,16.97800064086914,72.14800262451172,37.35599899291992,13.605999946594238,1.1808169801952317e-06,96.17900085449219,1.0952877573799924e-06,4.0926079236669466e-05,1.5199875633697957e-06,77.40799713134766,2.2138727217679843e-05,24.819000244140625,3.7883197023802495e-07,104.88099670410156,233.09793090820312
medium_roughness_0231,medium_roughness,123.78900146484375,16.97800064086914,72.14800262451172,37.35599899291992,13.605999946594238,6.118734290794237e-06,96.17900085449219,2.115697498084046e-06,294.5914611816406,8.823852795103448e-07,77.40799713134766,96.35681915283203,24.819000244140625,1.95885536413698e-06,104.88099670410156,0.000361244281521067
low_roughness_0094,low_roughness,123.78900146484375,16.97800064086914,72.14800262451172,37.35599899291992,13.605999946594238,3.235437543480657e-05,96.17900085449219,571.7750854492188,6.063833097869065e-06,1342.871826171875,77.40799713134766,3.0682672331749927e-06,24.819000244140625,3.675096741062589e-05,104.88099670410156,3.2746270335337613e-06
