profile,family,residual_rmse_nm,peak_abs_residual_nm,mean_abs_residual_nm,offload_pct,baseline_energy_burden_j,assisted_energy_burden_j,mean_stiffness_n_per_m
low_roughness_0367,low_roughness,90.03679789725031,116.09261961101932,82.58759225518813,10.416999222875365,799.3502237260168,716.0819171324251,471.08740932681377
medium_roughness_0070,medium_roughness,43.324331499501895,86.31553248695346,33.53779050722115,-0.00020020587423637948,429.3238576037386,429.324717135321,249.51901888778428
low_roughness_0116,low_roughness,61.66843611306837,84.26393184195436,54.65922409692598,12.160825869554037,500.5958867496615,439.7192926518852,186.20288100336134
high_roughness_0145,high_roughness,66.87495678263015,105.96917128182915,57.853969170182516,-5.7881107788508164e-05,391.7803668158118,391.7805935826282,188.5577772095574
low_roughness_0148,low_roughness,1.2346248241027102,2.009849906894435,1.0543620180520996,-0.0991898732154078,6.174989557866441,6.1811145221799535,72.33447291923513
medium_roughness_0300,medium_roughness,64.95405733442058,111.89638064160297,55.037552973182244,12.890637074527374,328.64917366765735,286.28420144172645,478.70151371996735
high_roughness_0175,high_roughness,18.42096158248135,37.56607610327576,16.023567225872483,0.26622340802366545,76.15150421192557,75.9487710821513,284.66415162837376
low_roughness_0328,low_roughness,48.97135783356694,67.1766533538521,44.08875245427521,22.25514422576524,290.1253766089789,225.5575556091061,458.4912960126896
medium_roughness_0231,medium_roughness,29.481516379291097,69.80010608575668,22.472672621142276,7.058579122380213,299.63316488275774,278.4833208626163,104.78123049236288
low_roughness_0094,low_roughness,33.36952414543556,60.55957508103566,27.086983652960015,24.649389484003315,325.0294381134085,244.91166597516693,186.02414712445483
low_roughness_0081,low_roughness,51.66014394089012,64.77486547914947,47.219148744094326,12.212373924982048,593.4425960061462,520.9691671517551,292.4545698524625
medium_roughness_0210,medium_roughness,32.83527774616587,58.6504830960131,26.900712651731915,20.995656294589793,375.77545331272717,296.8789306957502,230.78043294896375
low_roughness_0109,low_roughness,28.18837572832298,36.81594369230352,25.365111872566896,18.514739494610147,138.25006820457986,112.65342822538105,280.5480282722611
medium_roughness_0331,medium_roughness,55.34890836256551,98.84578643904136,45.981160126562756,-8.042957381414904e-05,512.3978567674717,512.3982688868841,149.0430419802392
medium_roughness_0095,medium_roughness,13.173551351906033,25.945903375100954,10.378397519195005,-0.0016442363129468183,83.36527325323598,83.3666439753312,170.41252641305837
high_roughness_0194,high_roughness,85.19305078814354,109.52391769192094,75.48859860859093,14.502364414079329,925.9347062627851,791.652280924121,259.4972597426197
medium_roughness_0061,medium_roughness,20.41076771693531,37.25984586095032,17.11711819002606,49.17561259048123,496.02625272581713,252.10230433828798,108.58663613445951
high_roughness_0209,high_roughness,42.247727934340794,65.93729766970588,36.94830457916972,17.56867408256435,381.85136635831384,314.7651443230029,229.49930876352664
high_roughness_0178,high_roughness,39.74520858181414,72.02357825684777,33.81386657162521,4.317549078619578,368.3134270532675,352.41131407709696,281.6802881664142
medium_roughness_0173,medium_roughness,23.809683406527473,60.23027145371321,19.33336130412727,0.04314933862930606,280.53236391902396,280.41131605935175,250.45817710309447
low_roughness_0127,low_roughness,60.396094382558076,86.30179671144266,53.54152198191846,12.970009945414342,253.62641349831623,220.7310424433869,493.88948376968466
low_roughness_0249,low_roughness,26.506442650686214,37.9917130891053,23.615219187242012,6.874499901717769,229.8129070805328,214.01441900914682,111.29816518213985
medium_roughness_0053,medium_roughness,89.67391236256314,107.48230706598223,84.39472991092873,1.2522249601950899,747.6647327835034,738.3022883810124,330.0848345275746
