iteration,residual_rmse_nm,loss,energy_ratio
1,137.3678436279297,1411758.5,2.4605090618133545
2,136.70498657226562,1391419.875,2.4484751224517822
3,135.965576171875,1368998.5,2.4351134300231934
4,135.06419372558594,1342031.625,2.4188954830169678
5,133.95846557617188,1309465.5,2.399052619934082
6,132.6313934326172,1271100.125,2.3752732276916504
7,131.07855224609375,1227176.875,2.3474650382995605
8,129.3023681640625,1178188.625,2.3156535625457764
9,127.31961822509766,1125037.5,2.280089855194092
10,125.178955078125,1069407.375,2.241550922393799
11,122.94790649414062,1013310.9375,2.2011606693267822
12,120.66136169433594,957822.5,2.15960955619812
13,118.30057525634766,902695.75,2.116706132888794
14,115.83386993408203,847418.75,2.0719263553619385
15,113.25679779052734,792131.125,2.0251495838165283
16,110.58086395263672,737329.6875,1.9765945672988892
17,107.81812286376953,683483.6875,1.9265191555023193
18,104.98812103271484,631142.8125,1.875315546989441
19,102.16590881347656,581688.0625,1.824286699295044
20,99.53450012207031,537967.75,1.7767047882080078
21,97.17833709716797,500785.59375,1.7342978715896606
22,95.0093994140625,468211.09375,1.6956359148025513
23,92.92770385742188,438400.6875,1.6588972806930542
24,90.88500213623047,410469.40625,1.623104214668274
25,88.87345123291016,384195.3125,1.5880539417266846
26,86.90323638916016,359611.0625,1.5538969039916992
27,84.98486328125,336738.09375,1.5207983255386353
28,83.12097930908203,315503.0,1.4888288974761963
29,81.31182861328125,295805.0625,1.4580073356628418
30,79.55863952636719,277554.15625,1.428344964981079
31,77.86370849609375,260673.640625,1.3998630046844482
32,76.229736328125,245090.75,1.3725744485855103
33,74.65928649902344,230738.953125,1.3465170860290527
34,73.15436553955078,217546.71875,1.321702480316162
35,71.7164535522461,205442.15625,1.298134446144104
36,70.34642028808594,194352.0625,1.2757999897003174
37,69.04463958740234,184209.125,1.2547084093093872
38,67.8110122680664,174941.875,1.2348209619522095
39,66.64486694335938,166483.390625,1.2161091566085815
40,65.54519653320312,158771.640625,1.1985511779785156
41,64.51062774658203,151746.484375,1.18211030960083
42,63.539459228515625,145350.46875,1.166740894317627
43,62.62969207763672,139528.265625,1.1523817777633667
44,61.779029846191406,134228.78125,1.1389758586883545
45,60.98504638671875,129407.5234375,1.1264891624450684
46,60.24523162841797,125021.8359375,1.1148712635040283
47,59.556915283203125,121031.171875,1.1040624380111694
48,58.91736602783203,117398.734375,1.094008207321167
49,58.32382583618164,114090.234375,1.084649682044983
50,57.773494720458984,111074.6953125,1.0759350061416626
51,57.26365661621094,108324.0078125,1.0678136348724365
52,56.79164505004883,105814.6875,1.0602599382400513
53,56.35493469238281,103524.46875,1.0532370805740356
54,55.95112228393555,101432.6953125,1.0467047691345215
55,55.57788848876953,99520.1484375,1.0406206846237183
56,55.233184814453125,97771.796875,1.0349640846252441
57,54.915401458740234,96173.953125,1.0297024250030518
58,54.62370300292969,94718.09375,1.0248219966888428
59,54.35835647583008,93401.4140625,1.020324468612671
