candidate,spring_count,quick_feasible,minimum_spring_spacing_m,authority_score,residual_mean_n,residual_max_n,path
28,24,True,0.11891891807317734,21.408777236938477,5.253525733947754,67.5330810546875,C:\Users\kn109\Code\Adaptive-Spring-Network\spring-network\topologies\spatial\global_search\candidate_0028_24s.json
29,24,True,0.12401627749204636,19.538347244262695,0.14586719870567322,1.3394246101379395,C:\Users\kn109\Code\Adaptive-Spring-Network\spring-network\topologies\spatial\global_search\candidate_0029_24s.json
30,32,True,0.1006970927119255,28.853900909423828,0.0637856051325798,0.12683077156543732,C:\Users\kn109\Code\Adaptive-Spring-Network\spring-network\topologies\spatial\global_search\candidate_0030_32s.json
31,32,True,0.09530257433652878,31.042030334472656,9.596179008483887,71.26342010498047,C:\Users\kn109\Code\Adaptive-Spring-Network\spring-network\topologies\spatial\global_search\candidate_0031_32s.json
32,32,True,0.10402557253837585,26.714406967163086,7.387571334838867,58.68906021118164,C:\Users\kn109\Code\Adaptive-Spring-Network\spring-network\topologies\spatial\global_search\candidate_0032_32s.json
33,32,False,0.04457786679267883,,,,C:\Users\kn109\Code\Adaptive-Spring-Network\spring-network\topologies\spatial\global_search\candidate_0033_32s.json
34,32,True,0.09266462177038193,28.438108444213867,2.3635880947113037,30.06609535217285,C:\Users\kn109\Code\Adaptive-Spring-Network\spring-network\topologies\spatial\global_search\candidate_0034_32s.json
35,32,True,0.08257029205560684,31.550004959106445,0.05185927450656891,0.08767744153738022,C:\Users\kn109\Code\Adaptive-Spring-Network\spring-network\topologies\spatial\global_search\candidate_0035_32s.json
36,32,True,0.09177154302597046,26.85448455810547,0.2277558147907257,2.4503417015075684,C:\Users\kn109\Code\Adaptive-Spring-Network\spring-network\topologies\spatial\global_search\candidate_0036_32s.json
37,32,True,0.07574521005153656,27.701221466064453,0.10642512142658234,0.656940758228302,C:\Users\kn109\Code\Adaptive-Spring-Network\spring-network\topologies\spatial\global_search\candidate_0037_32s.json
38,32,True,0.0744558721780777,29.392196655273438,1.4142277240753174,17.736982345581055,C:\Users\kn109\Code\Adaptive-Spring-Network\spring-network\topologies\spatial\global_search\candidate_0038_32s.json
