relaxation_steps,profiles,mean_rmse_nm,mean_offload_pct,mean_force_residual_n,max_force_residual_n,torque_rmse_vs_deepest_nm,max_torque_difference_vs_deepest_nm,rmse_change_to_next_nm,offload_change_to_next_pct,passes_force_tolerance,passes_next_depth_stability
160,30,44.20747957082181,14.716241583080501,0.09228513220021341,0.6290250420570374,0.15132710382516443,0.9660515785217285,0.03920508788241506,0.08298331539343451,False,True
300,30,44.168274482939395,14.799224898473936,0.039465066088561374,0.3128030598163605,0.06335028067573123,0.3598594665527344,0.02007333551877366,0.04166661155667484,False,True
500,30,44.14820114742062,14.84089151003061,0.017896333458004083,0.14168304204940796,0.018820424540983625,0.10909652709960938,0.00812799711768264,0.01673601648475298,False,True
800,30,44.14007315030294,14.857627526515364,0.006866700331924771,0.05685347691178322,0.0,0.0,0.0,0.0,True,True
