profile,family,rmse_nm,offload_pct,mean_abs_residual_nm,peak_abs_residual_nm
rough_terrain_0094,rough_terrain,12.427811,75.202194,10.379421,25.773179
flat_terrain_0002,flat_terrain,5.370364,66.172157,5.185079,8.259568
mixed_terrain_0049,mixed_terrain,5.932283,80.864812,5.105961,10.981421
mixed_terrain_0088,mixed_terrain,7.216312,83.665124,5.526896,15.383025
rough_terrain_0011,rough_terrain,11.569022,78.943120,10.102142,31.030630
mixed_terrain_0054,mixed_terrain,9.674758,81.248657,6.732197,22.376486
flat_terrain_0083,flat_terrain,7.763615,61.144141,6.983074,12.662657
flat_terrain_0078,flat_terrain,11.303160,40.900550,10.600766,17.062351
flat_terrain_0094,flat_terrain,10.740182,48.436155,9.772958,17.064429
flat_terrain_0010,flat_terrain,16.123631,45.604123,12.774613,30.479436
mixed_terrain_0073,mixed_terrain,6.744318,86.339753,5.060991,16.133266
flat_terrain_0066,flat_terrain,14.419848,-1.698221,12.266697,26.371573
flat_terrain_0055,flat_terrain,7.976810,70.251436,7.103939,14.882797
mixed_terrain_0011,mixed_terrain,13.917095,64.724291,11.479321,29.175546
flat_terrain_0089,flat_terrain,3.233592,79.560306,2.985048,4.973582
flat_terrain_0081,flat_terrain,3.760052,77.099559,3.401803,7.164086
rough_terrain_0054,rough_terrain,16.517441,54.452282,13.706348,43.525698
rough_terrain_0064,rough_terrain,17.121744,65.436190,14.949856,32.221577
flat_terrain_0038,flat_terrain,9.315553,65.216775,8.079564,18.039321
mixed_terrain_0096,mixed_terrain,11.163028,77.876453,9.151607,21.908806
rough_terrain_0059,rough_terrain,9.298733,76.986780,8.362474,16.986472
rough_terrain_0070,rough_terrain,8.751639,74.402802,7.742320,13.718952
mixed_terrain_0094,mixed_terrain,6.463795,83.450081,5.373250,13.258039
mixed_terrain_0092,mixed_terrain,8.395123,75.367587,7.914348,15.067052
mixed_terrain_0087,mixed_terrain,9.535096,70.001803,8.471427,21.660067
mixed_terrain_0015,mixed_terrain,6.937075,88.997295,5.001038,19.549409
flat_terrain_0086,flat_terrain,3.773812,91.149713,2.350264,8.625972
rough_terrain_0058,rough_terrain,10.666538,78.146995,9.165494,22.514568
mixed_terrain_0022,mixed_terrain,9.902076,76.519779,9.047434,18.232127
rough_terrain_0035,rough_terrain,18.322675,72.788815,15.770160,38.321953
flat_terrain_0098,flat_terrain,4.989311,85.802950,3.686296,11.638630
flat_terrain_0004,flat_terrain,4.703281,67.518541,3.612521,9.083004
flat_terrain_0008,flat_terrain,3.603057,84.402688,3.098110,6.143432
mixed_terrain_0084,mixed_terrain,24.645285,35.850771,22.501338,43.034819
rough_terrain_0019,rough_terrain,16.746635,70.281002,13.918234,33.278458
mixed_terrain_0064,mixed_terrain,6.644692,79.461045,5.635386,14.500098
rough_terrain_0082,rough_terrain,12.794261,77.380218,10.633842,31.822092
flat_terrain_0009,flat_terrain,2.578012,82.611665,2.387706,3.954847
rough_terrain_0093,rough_terrain,19.385346,71.950340,15.913526,38.540949
flat_terrain_0090,flat_terrain,15.399280,-13.127898,13.745344,25.499765
mixed_terrain_0023,mixed_terrain,8.702836,72.633350,7.066972,15.816460
flat_terrain_0016,flat_terrain,13.608165,39.771917,12.184356,24.866416
rough_terrain_0002,rough_terrain,18.346373,71.563006,15.409025,38.478241
flat_terrain_0033,flat_terrain,10.398792,21.021631,8.930444,19.121944
flat_terrain_0085,flat_terrain,5.875912,79.807169,4.848729,11.892213
rough_terrain_0072,rough_terrain,16.474691,55.114946,13.328899,37.754575
flat_terrain_0012,flat_terrain,18.104086,-13.350079,16.374452,31.101314
rough_terrain_0068,rough_terrain,14.366253,75.107711,12.388640,25.591849
rough_terrain_0055,rough_terrain,21.732535,74.651287,15.292858,50.814035
flat_terrain_0013,flat_terrain,3.457468,92.054635,2.695073,8.528255
rough_terrain_0099,rough_terrain,11.851624,81.657279,10.001971,25.644392
rough_terrain_0024,rough_terrain,13.709619,78.593028,11.104080,27.312090
