profile,family,roughness_score,rmse_nm,offload_pct,mean_abs_residual_nm,peak_abs_residual_nm
rough_terrain_0025,rough_terrain,0.604889,6.787086,92.532081,5.606884,18.788441
rough_terrain_0055,rough_terrain,0.645299,14.133061,37.708609,11.757763,25.921597
mixed_terrain_0082,mixed_terrain,0.561797,7.285467,89.984467,6.012531,16.249887
rough_terrain_0048,rough_terrain,0.632595,7.543406,88.407902,5.043024,29.752045
rough_terrain_0040,rough_terrain,0.620439,6.668523,85.723824,5.586604,13.971170
flat_terrain_0033,flat_terrain,0.395484,3.046934,91.326549,2.420529,15.577575
rough_terrain_0050,rough_terrain,0.633950,6.676393,73.901006,4.916128,17.441134
flat_terrain_0029,flat_terrain,0.389886,7.835045,86.713007,6.086416,21.620550
flat_terrain_0082,flat_terrain,0.461203,2.805158,97.761053,2.203416,8.376669
mixed_terrain_0000,mixed_terrain,0.480756,4.898380,57.168694,4.180691,9.857346
flat_terrain_0063,flat_terrain,0.439124,4.224746,92.750964,3.644644,9.627466
rough_terrain_0069,rough_terrain,0.682696,7.276425,86.125013,6.001163,33.801189
mixed_terrain_0078,mixed_terrain,0.555310,4.808510,95.933081,3.989493,18.322451
flat_terrain_0032,flat_terrain,0.393854,4.172127,93.698287,3.283418,20.416709
flat_terrain_0091,flat_terrain,0.470024,5.417417,78.723466,4.031486,12.567035
rough_terrain_0033,rough_terrain,0.613381,3.750438,90.255322,2.979611,18.185004
flat_terrain_0000,flat_terrain,0.296034,9.714777,54.804493,7.490195,21.334681
mixed_terrain_0075,mixed_terrain,0.554188,5.635989,96.080801,4.652734,21.941325
mixed_terrain_0072,mixed_terrain,0.550841,6.086185,97.152270,4.893058,22.781868
flat_terrain_0046,flat_terrain,0.420240,2.940964,96.005769,2.370863,9.340439
flat_terrain_0045,flat_terrain,0.419732,4.213275,85.227446,3.069894,22.855741
flat_terrain_0075,flat_terrain,0.452571,5.854564,87.463734,4.775159,17.004938
rough_terrain_0010,rough_terrain,0.584967,23.124264,-88.575653,19.906458,45.554502
flat_terrain_0005,flat_terrain,0.312050,8.941713,49.629118,7.394796,16.503998
rough_terrain_0018,rough_terrain,0.596056,2.693956,80.395478,2.183364,5.246429
rough_terrain_0044,rough_terrain,0.626647,4.820103,88.328114,3.756681,21.597869
flat_terrain_0079,flat_terrain,0.458648,3.139006,92.614824,2.389584,13.837191
mixed_terrain_0052,mixed_terrain,0.532426,5.442509,93.947062,4.675948,12.074063
mixed_terrain_0021,mixed_terrain,0.501244,3.970754,94.275273,3.344877,9.218437
rough_terrain_0036,rough_terrain,0.616642,3.788450,96.051235,2.948848,19.619915
mixed_terrain_0055,mixed_terrain,0.534156,5.920132,79.091206,4.698785,22.163971
mixed_terrain_0066,mixed_terrain,0.548835,7.290336,81.806998,5.420743,16.668526
mixed_terrain_0099,mixed_terrain,0.576222,1.576562,92.271298,1.306107,5.175547
rough_terrain_0072,rough_terrain,0.686180,4.990583,96.765985,4.243352,14.332929
flat_terrain_0015,flat_terrain,0.351019,15.696467,57.358129,11.500393,37.345138
flat_terrain_0086,flat_terrain,0.466965,4.600854,92.940665,3.785804,16.307070
mixed_terrain_0031,mixed_terrain,0.506789,10.566550,59.874065,8.262605,20.715008
rough_terrain_0090,rough_terrain,0.728729,2.577422,73.335595,2.204997,5.099927
rough_terrain_0095,rough_terrain,0.755694,10.823681,78.200183,7.529924,25.444977
rough_terrain_0065,rough_terrain,0.675404,3.145520,63.016736,2.741959,8.859885
flat_terrain_0011,flat_terrain,0.344251,6.718627,71.778826,4.847890,18.744226
rough_terrain_0037,rough_terrain,0.616983,3.146032,95.983270,2.476371,9.448752
flat_terrain_0014,flat_terrain,0.350474,8.942146,55.826581,7.463188,16.424806
rough_terrain_0054,rough_terrain,0.644622,5.602436,96.138240,4.542473,15.244690
flat_terrain_0096,flat_terrain,0.479061,4.916502,95.243796,3.972781,23.565747
mixed_terrain_0027,mixed_terrain,0.504975,4.644893,95.247131,3.857346,19.850269
rough_terrain_0011,rough_terrain,0.588310,2.793850,95.687648,2.326634,10.681605
rough_terrain_0071,rough_terrain,0.684959,6.148101,94.844333,4.752535,37.103007
flat_terrain_0073,flat_terrain,0.450352,5.928041,72.001040,5.183326,11.154794
flat_terrain_0099,flat_terrain,0.480714,4.554831,93.337143,3.546375,18.790387
rough_terrain_0098,rough_terrain,0.775569,5.427676,93.841299,4.283657,21.667735
mixed_terrain_0092,mixed_terrain,0.571401,2.801839,91.094909,2.247457,6.504031
mixed_terrain_0024,mixed_terrain,0.503613,6.878247,85.034965,5.577930,27.961332
flat_terrain_0037,flat_terrain,0.404298,3.906561,85.194426,2.947220,10.988911
rough_terrain_0074,rough_terrain,0.687313,10.136255,88.121417,8.639679,30.479181
flat_terrain_0071,flat_terrain,0.446729,6.098194,95.962996,5.115233,22.736824
flat_terrain_0048,flat_terrain,0.420694,8.609844,77.071251,6.218909,21.566907
mixed_terrain_0034,mixed_terrain,0.511006,2.309943,84.660048,1.492279,6.295780
rough_terrain_0035,rough_terrain,0.615450,7.660297,78.007388,5.153291,29.825051
