iteration,residual_rmse_nm,loss,energy_ratio
1,49.12242126464844,24326.033203125,0.9081190228462219
2,48.73269271850586,24345.166015625,0.9251134991645813
3,48.11820983886719,23346.296875,0.9083216190338135
4,48.673980712890625,23875.048828125,0.9077447652816772
5,48.51250076293945,23645.46484375,0.9047094583511353
6,48.309749603271484,23408.21875,0.9029949903488159
7,48.19556427001953,23300.912109375,0.9031336307525635
8,48.072593688964844,23162.052734375,0.9022634625434875
9,47.975677490234375,23028.75390625,0.9005256295204163
10,47.959861755371094,22969.56640625,0.8986124396324158
11,48.09395217895508,23111.40625,0.8991838693618774
12,48.08525085449219,23099.021484375,0.8990098834037781
13,47.8914680480957,22862.359375,0.8967925310134888
14,47.78156280517578,22738.892578125,0.8959752917289734
15,47.754241943359375,22695.962890625,0.8952329158782959
16,47.787109375,22699.65625,0.8940260410308838
17,47.87498092651367,22771.734375,0.8935251832008362
18,47.90298843383789,22792.12109375,0.8932521343231201
19,47.818660736083984,22690.05078125,0.8922946453094482
20,47.730934143066406,22594.26953125,0.8917413353919983
21,47.68500518798828,22550.939453125,0.8917471766471863
22,47.65989303588867,22518.44140625,0.8913619518280029
23,47.6586799621582,22499.47265625,0.8905771374702454
24,47.69913864135742,22533.125,0.8903765082359314
25,47.703861236572266,22528.2421875,0.8899660110473633
26,47.6625862121582,22474.99609375,0.8893373012542725
27,47.64643859863281,22452.95703125,0.8890371918678284
28,47.6594352722168,22451.564453125,0.8884365558624268
29,47.687259674072266,22466.31640625,0.8879322409629822
30,47.67665481567383,22449.8515625,0.8876473903656006
31,47.61599349975586,22389.416015625,0.8874998688697815
32,47.56000518798828,22336.26953125,0.8874766230583191
33,47.53443145751953,22305.673828125,0.8871853947639465
34,47.545833587646484,22308.5703125,0.8868400454521179
35,47.563655853271484,22320.19140625,0.8866145014762878
36,47.55086135864258,22300.576171875,0.8862779140472412
37,47.53510284423828,22283.068359375,0.8861571550369263
38,47.52361297607422,22266.783203125,0.8859128952026367
39,47.51838684082031,22253.30859375,0.8855331540107727
40,47.514495849609375,22244.45703125,0.8853024840354919
41,47.4959831237793,22222.462890625,0.8850957155227661
42,47.4787712097168,22203.482421875,0.884968101978302
43,47.477664947509766,22198.576171875,0.8847963213920593
44,47.485023498535156,22199.580078125,0.8845354914665222
45,47.478389739990234,22187.53515625,0.8842764496803284
46,47.46156311035156,22168.794921875,0.8841425180435181
47,47.454376220703125,22158.501953125,0.8839835524559021
48,47.45762634277344,22157.654296875,0.8838111758232117
49,47.4456901550293,22143.189453125,0.8836636543273926
50,47.425567626953125,22121.515625,0.8835349082946777
51,47.42303466796875,22115.87890625,0.8833894729614258
52,47.428749084472656,22117.30078125,0.883215606212616
53,47.41854476928711,22104.865234375,0.8830858469009399
54,47.40309524536133,22087.740234375,0.8829646110534668
55,47.404029846191406,22083.900390625,0.882754921913147
56,47.405826568603516,22082.19921875,0.8826047778129578
57,47.3963737487793,22070.80859375,0.8824897408485413
58,47.39595031738281,22067.23046875,0.8823479413986206
59,47.39675521850586,22064.466796875,0.8821915984153748
60,47.37944793701172,22046.625,0.8821144700050354
61,47.36649703979492,22032.6171875,0.8820272088050842
62,47.37044143676758,22032.697265625,0.8818672895431519
63,47.36902618408203,22028.244140625,0.8817276358604431
64,47.36222839355469,22019.71875,0.881629228591919
65,47.36369705200195,22017.69921875,0.8814783096313477
66,47.359466552734375,22011.16015625,0.88136225938797
67,47.34562301635742,21996.666015625,0.8812897205352783
68,47.34108352661133,21990.146484375,0.8811869621276855
69,47.344112396240234,21989.7734375,0.8810446858406067
70,47.34251403808594,21985.556640625,0.8809227347373962
71,47.34010314941406,21980.818359375,0.8808111548423767
72,47.3405647277832,21978.7265625,0.8806988596916199
73,47.33018493652344,21967.220703125,0.8806154727935791
