iteration,residual_rmse_nm,loss,energy_ratio
1,136.764892578125,1392122.25,2.4475531578063965
2,136.0197296142578,1369598.625,2.434229850769043
3,135.19601440429688,1344978.625,2.4194905757904053
4,134.20361328125,1315704.0,2.4017205238342285
5,133.00503540039062,1280906.25,2.380237102508545
6,131.5855255126953,1240480.75,2.354766607284546
7,129.9403839111328,1194689.125,2.325218439102173
8,128.07359313964844,1144085.875,2.2916412353515625
9,126.00901794433594,1089767.0,2.2544198036193848
10,123.80731964111328,1033685.8125,2.21455454826355
11,121.53717041015625,977822.1875,2.173250198364258
12,119.21672058105469,922806.875,2.130955457687378
13,116.8108901977539,868006.125,2.0871500968933105
14,114.29279327392578,813041.0,2.041358232498169
15,111.66816711425781,758284.375,1.9936590194702148
16,108.94988250732422,704242.75,1.9443082809448242
17,106.15086364746094,651375.4375,1.89358389377594
18,103.2979965209961,600325.5625,1.842014193534851
19,100.49944305419922,552946.5625,1.7915478944778442
20,97.95419311523438,512134.84375,1.7458350658416748
21,95.68350219726562,477536.4375,1.7053123712539673
22,93.567626953125,446820.84375,1.6678886413574219
23,91.5158920288086,418397.40625,1.6318985223770142
24,89.49872589111328,391707.84375,1.59674072265625
25,87.51734924316406,366666.375,1.5624045133590698
26,85.5843734741211,343329.65625,1.5290985107421875
27,83.70870971679688,321690.9375,1.4969656467437744
28,81.89169311523438,301654.125,1.4660348892211914
29,80.13314056396484,283109.71875,1.43630051612854
30,78.43408203125,265964.03125,1.407759666442871
31,76.79660034179688,250140.703125,1.380437970161438
32,75.22286987304688,235569.9375,1.3543769121170044
33,73.71483612060547,222181.125,1.3296046257019043
34,72.27385711669922,209896.171875,1.3060990571975708
35,70.90064239501953,198638.109375,1.2838340997695923
36,69.59544372558594,188337.546875,1.2628130912780762
37,68.3580093383789,178923.453125,1.243009090423584
38,67.18766784667969,170327.84375,1.2243903875350952
39,66.0832748413086,162484.21875,1.2069096565246582
40,65.04341888427734,155333.796875,1.1905442476272583
41,64.06636047363281,148816.109375,1.1752277612686157
42,63.15005874633789,142876.5,1.1609079837799072
43,62.292266845703125,137466.234375,1.147548794746399
44,61.490596771240234,132535.4375,1.1350716352462769
45,60.74247360229492,128041.6171875,1.1234312057495117
46,60.04524230957031,123945.609375,1.1125824451446533
47,59.39625930786133,120211.703125,1.1024808883666992
48,58.79285430908203,116805.9921875,1.0930722951889038
49,58.23230743408203,113696.1171875,1.0842922925949097
50,57.71194076538086,110854.1875,1.076095700263977
51,57.2291374206543,108256.2265625,1.0684527158737183
52,56.78144836425781,105880.1640625,1.0613296031951904
53,56.36647415161133,103704.65625,1.054682731628418
54,55.98192596435547,101711.4296875,1.0484812259674072
55,55.62565994262695,99883.234375,1.0426883697509766
56,55.29567337036133,98205.65625,1.037280797958374
57,54.99024963378906,96665.453125,1.0322284698486328
58,54.70808792114258,95252.4296875,1.0275112390518188
59,54.4486083984375,93960.6875,1.0231225490570068
60,54.212093353271484,92789.0703125,1.019072413444519
61,53.999271392822266,91738.6953125,1.0153769254684448
62,53.81058883666992,90809.78125,1.012050747871399
63,53.645530700683594,89998.4765625,1.0090965032577515
64,53.502384185791016,89295.25,1.0064929723739624
65,53.378456115722656,88686.0078125,1.004199504852295
66,53.270599365234375,88155.0546875,1.0021684169769287
67,53.17576217651367,87687.8125,1.0003570318222046
68,53.09135818481445,87271.578125,0.998724102973938
69,53.015289306640625,86896.0,0.9972338080406189
70,52.945980072021484,86553.4921875,0.9958609938621521
71,52.882240295410156,86237.9921875,0.9945828318595886
72,52.823184967041016,85945.1484375,0.9933840036392212
73,52.76817321777344,85671.796875,0.9922537207603455
74,52.71672058105469,85415.8203125,0.991186261177063
75,52.66847229003906,85175.265625,0.9901736378669739
76,52.623165130615234,84948.703125,0.9892097115516663
77,52.580570220947266,84735.0546875,0.9882910251617432
78,52.54050064086914,84533.40625,0.9874148964881897
79,52.50278091430664,84343.0078125,0.9865798950195312
80,52.46723937988281,84163.1640625,0.9857845306396484
