iteration,residual_rmse_nm,loss,energy_ratio
1,89.9805908203125,374655.40625,1.5091238021850586
2,89.20597076416016,365366.53125,1.497118353843689
3,88.31402587890625,354882.125,1.48337984085083
4,87.21802520751953,342305.375,1.466627836227417
5,85.8995132446289,327605.15625,1.4466201066970825
6,84.35628509521484,310975.40625,1.4233659505844116
7,82.59352111816406,292715.0,1.396981954574585
8,80.62252807617188,273196.0,1.3676735162734985
9,78.4610824584961,252850.453125,1.335762619972229
10,76.13372802734375,232146.5625,1.3016836643218994
11,73.67256927490234,211565.4375,1.2659739255905151
12,71.11764526367188,191580.0,1.2292909622192383
13,68.5173110961914,172619.9375,1.1923240423202515
14,65.92671203613281,155053.640625,1.1558201313018799
15,63.406070709228516,139165.6875,1.1205164194107056
16,61.018394470214844,125161.3515625,1.0872069597244263
17,58.8251838684082,113151.53125,1.0566316843032837
18,56.88129806518555,103145.2890625,1.0293139219284058
19,55.229854583740234,95074.0390625,1.0056124925613403
20,53.897308349609375,88815.1796875,0.9858018755912781
21,52.89084243774414,84181.6640625,0.9697461128234863
22,52.197261810302734,80956.1328125,0.9571179151535034
23,51.78590393066406,78918.078125,0.9475834369659424
24,51.61223220825195,77843.5,0.9407494068145752
25,51.62285232543945,77509.4921875,0.936170756816864
26,51.76060104370117,77692.125,0.9332897663116455
27,51.96898651123047,78181.265625,0.9315903782844543
28,52.195831298828125,78776.3203125,0.9305019378662109
29,52.3967170715332,79298.6171875,0.9294669032096863
30,52.53650665283203,79606.96875,0.9280741214752197
31,52.59025955200195,79597.53125,0.925995945930481
32,52.54334259033203,79208.8671875,0.9230173826217651
33,52.3904914855957,78419.9375,0.9190247654914856
34,52.13473129272461,77246.2265625,0.9139976501464844
35,51.78579330444336,75731.8828125,0.9079843759536743
36,51.35820388793945,73942.46875,0.9011101126670837
37,50.869991302490234,71956.7109375,0.893553614616394
38,50.3409309387207,69859.9453125,0.8855586647987366
39,49.790611267089844,67728.4453125,0.8773239254951477
40,49.23672866821289,65628.4609375,0.869053065776825
41,48.69426727294922,63611.2109375,0.8609120845794678
42,48.174747467041016,61711.34765625,0.8530159592628479
43,47.685794830322266,59951.8515625,0.8454934358596802
44,47.231483459472656,58340.83203125,0.8384091258049011
45,46.812225341796875,56868.26171875,0.8316946625709534
46,46.42530822753906,55517.578125,0.8252840638160706
47,46.06649398803711,54272.94140625,0.819161593914032
48,45.7304573059082,53114.9609375,0.8132789134979248
49,45.4112663269043,52019.28515625,0.807511568069458
50,45.102996826171875,50967.0234375,0.8018026947975159
51,44.8004035949707,49939.6875,0.7960602641105652
52,44.49930191040039,48925.23828125,0.790245771408081
53,44.19658279418945,47914.4453125,0.7843173742294312
54,43.890411376953125,46902.56640625,0.7782554626464844
55,43.580108642578125,45889.21484375,0.7720687985420227
56,43.266056060791016,44877.00390625,0.7657792568206787
57,42.949588775634766,43870.85546875,0.759417712688446
58,42.63262939453125,42876.1015625,0.7530055642127991
59,42.31751251220703,41900.203125,0.7465947270393372
