profile,family,residual_rmse_nm,peak_abs_residual_nm,mean_abs_residual_nm,offload_pct,baseline_energy_burden_j,assisted_energy_burden_j,mean_stiffness_n_per_m
low_roughness_0367,low_roughness,55.12006398795068,91.88789967680283,50.76434606144991,50.04129281284932,799.3502237260168,399.34503767111454,266.2198690382535
medium_roughness_0070,medium_roughness,25.856779093804246,58.21467746134513,19.411321263314875,43.71206873260387,429.3238576037386,241.657517882526,177.49213245361702
low_roughness_0116,low_roughness,32.676216219847205,46.458604665815535,29.95857188272065,59.37336697952472,500.5958867496615,203.375253825379,243.78489718276123
high_roughness_0145,high_roughness,52.574728842055954,105.53164064726377,41.83201057898889,41.24249947289197,391.7803668158118,230.2003510969064,315.7371748393257
low_roughness_0148,low_roughness,0.2531960166146747,0.36023965776245115,0.23011331161084375,83.56886408509526,6.174989557866441,1.0146209269842104,65.00835780905497
medium_roughness_0300,medium_roughness,47.91375107177891,64.09202813050715,44.587643472273875,47.439362554364486,328.64917366765735,172.7401006395344,284.89582523031623
high_roughness_0175,high_roughness,16.778821025481058,36.6302284520687,14.097539516320339,31.712931189423397,76.15150421192557,52.00163008148675,278.73771101542053
low_roughness_0328,low_roughness,52.80019065458875,87.51596300637219,41.47052646202685,46.30041441823575,290.1253766089789,155.79612490655447,259.0336295586297
medium_roughness_0231,medium_roughness,33.663549549958,62.66134653232422,29.66477251109785,4.534874242740283,299.63316488275774,286.04517766578203,175.75595521991997
low_roughness_0094,low_roughness,39.95667740190255,55.56779875708745,36.802724768200726,28.47898646151347,325.0294381134085,232.4643484371576,247.46779595611875
low_roughness_0081,low_roughness,36.916708386600966,62.45493323915041,29.859399471595804,55.39242505722665,593.4425960061462,264.7203507557814,228.73004782232283
medium_roughness_0210,medium_roughness,38.709332444916036,82.37788385047541,34.817450098012245,31.41733411815449,375.77545331272717,257.71682361145804,218.01482831191342
low_roughness_0109,low_roughness,23.63393116251597,39.26437518678787,19.818079741367235,44.33195634683573,138.25006820457986,76.9611083186549,216.78025441307554
medium_roughness_0331,medium_roughness,19.442020889539457,44.20302907805784,14.156832616456104,69.67979866146757,512.3978567674717,155.36006182622236,201.00581093067254
medium_roughness_0095,medium_roughness,6.3409892206241425,27.351784314224872,3.5228986852607007,78.90049799699402,83.36527325323598,17.589657499877934,113.47681496206057
high_roughness_0194,high_roughness,59.9245086797577,96.29681364800052,53.50725817657749,49.935673661373414,925.9347062627851,463.5629730260042,267.30886905765897
medium_roughness_0061,medium_roughness,50.19490575648512,80.12120411065821,42.65475086843734,10.448216783612429,496.02625272581713,444.2003545373945,166.36657056860372
high_roughness_0209,high_roughness,35.431858937573296,78.19400532578575,29.793241448363744,50.95668890552838,381.85136635831384,187.2725535215984,218.71859296433857
high_roughness_0178,high_roughness,16.315217802750013,33.66287339372711,15.391764335652885,65.89222118220155,368.3134270532675,125.62352905558191,168.526904185824
medium_roughness_0173,medium_roughness,21.373734824327133,57.65470048293951,16.15385213853853,15.026717783218846,280.53236391902396,238.3775573023198,129.92696516531007
low_roughness_0127,low_roughness,43.90723545608823,73.70575260048827,37.0552512026131,54.15792258324331,253.62641349831623,116.26761682524157,249.74321867544782
low_roughness_0249,low_roughness,11.036924307587904,16.869293482123084,10.555648741863891,59.86037059791519,229.8129070805328,92.24604922028337,124.65592968807611
medium_roughness_0053,medium_roughness,49.892679097049374,100.00635170686068,42.86032749171524,45.613090798025354,747.6647327835034,406.63173935415034,239.17216818704685
high_roughness_0251,high_roughness,50.99055050111417,101.46472281926044,43.5258164589247,0.517340459751116,732.5629062329298,728.7730619258582,126.15023358030449
medium_roughness_0339,medium_roughness,44.04097515513686,105.02868676004805,27.01624811060899,8.21943989468239,206.65353700465823,189.66777374032512,165.5029527573155
high_roughness_0260,high_roughness,37.54221364605235,81.1783549108149,31.49907537452743,39.05348375518417,286.5381303743991,174.63500817622472,366.6920396716644
high_roughness_0036,high_roughness,35.60383077009518,74.61101094632579,27.161699564992023,62.94020794986964,373.24880092388594,138.3252294519972,248.245052030126
low_roughness_0124,low_roughness,52.15974695199726,84.09183612829705,39.869343188377776,47.47138588309955,381.9887036221234,200.65337209581574,251.84388051310188
high_roughness_0263,high_roughness,19.55158817675682,30.239525802257845,18.424657415854046,65.4210028331419,556.8072289953409,192.53835593916,173.4488150772689
high_roughness_0174,high_roughness,11.42038417652554,35.52733836180665,8.93782570073201,69.98787886573108,210.25322087434535,63.101451337510525,165.15467747418913
high_roughness_0041,high_roughness,21.629050267286264,37.40429373520335,19.6869167624145,4.699294243350864,144.4763772166009,137.6870071390593,115.82443859473146
medium_roughness_0083,medium_roughness,70.58250974575013,102.00783540831944,68.81355305682965,5.4973242626801975,856.8579190321069,809.7536607524582,209.10984251066512
low_roughness_0150,low_roughness,30.22184388762147,55.56201029998458,26.372478109034027,6.711836309784252,121.4951276380557,113.34057354662596,179.606696682403
medium_roughness_0043,medium_roughness,35.67639890494472,47.981313708619155,31.7194859174101,56.905112467592666,618.3868981048646,266.4931382534337,259.76976525385726
medium_roughness_0091,medium_roughness,30.637121818278498,90.93195631417139,21.00611692829372,50.87465840606848,282.512959118062,138.78545621387207,329.90486971537274
medium_roughness_0276,medium_roughness,52.10985071305395,70.07465321464119,46.916626953820646,4.919234550895801,602.5773802874952,572.93518560051,180.86692580790532
medium_roughness_0127,medium_roughness,18.900892530312774,28.30090956787339,17.175499313800074,44.465746674888436,253.0857079199256,140.5492581659034,148.27188910761848
medium_roughness_0314,medium_roughness,21.023306987425926,49.44140474880183,15.715508315507964,64.593212911724,683.1885090342776,241.8951008053339,187.84914544690278
medium_roughness_0289,medium_roughness,33.97901725745492,59.62168502441327,25.76954767196719,37.085069265440005,218.78920240427243,137.65107514734427,234.78676922076298
low_roughness_0092,low_roughness,33.24176413192884,59.83183752408816,25.53031556791642,38.275790609344845,141.4328624786341,87.29831618350946,228.27361548848452
high_roughness_0388,high_roughness,40.557450669312246,108.91992091414187,31.451521755688237,4.206237659397329,376.87130827750514,361.0192053812733,214.95636400301157
low_roughness_0206,low_roughness,28.830186489211957,52.24094039716078,24.605928233996863,62.775407459098645,378.12827959369395,140.7567113606728,229.42298551676285
medium_roughness_0176,medium_roughness,40.433361623101135,67.2375347300392,37.47496073515799,53.68506104854518,474.97646778890464,219.98506109020767,271.92151113008293
low_roughness_0169,low_roughness,55.93942839128876,90.61158215977702,48.530275695139835,49.880175225483015,961.8956085417501,482.10039351489894,278.0084254573797
high_roughness_0051,high_roughness,44.8926510101609,82.56471109117426,39.40781642214442,18.546924439565096,188.42856254507984,153.48085942728522,218.20513792118672
medium_roughness_0240,medium_roughness,23.801650705413508,57.96143478262847,20.120828737776794,48.88735137288944,360.56368629419376,184.29365005250847,187.81553387996883
medium_roughness_0149,medium_roughness,7.492729908038361,13.384634244268469,6.233448602448088,70.34135783346505,67.43638398129892,20.000715815063934,166.64416673249556
low_roughness_0238,low_roughness,44.082717212915675,77.79168886366305,36.509107537945525,48.13946939893734,394.5535247218231,204.61755142593242,207.65434993073936
high_roughness_0323,high_roughness,36.702824639447236,62.41445184092001,31.089850284024074,6.970203231010633,138.01851320216758,128.39834233555726,218.21995926754607
medium_roughness_0387,medium_roughness,37.40756642322615,87.03737739401755,32.299194876346576,6.525377539288478,367.31682944276736,343.34801955628245,115.22178121941236
medium_roughness_0015,medium_roughness,8.538868768117966,20.13803707499677,6.848092589550268,76.56661178423268,218.00251633508336,51.08537597294168,198.01040730820387
low_roughness_0274,low_roughness,18.917259533278433,43.692692599184284,15.914721063158657,69.65874210119344,640.5964736231633,194.3650281526643,191.5527855371447
high_roughness_0064,high_roughness,5.445787537313102,10.805248127374723,4.7716886037582515,41.51706659712303,46.99208026194124,27.482347004217587,156.84365271840898
low_roughness_0095,low_roughness,36.336504746442884,64.64066107491499,30.488116217922357,50.38883037851626,362.25224750190483,179.7175769658071,204.97768709014136
high_roughness_0184,high_roughness,31.259302934895626,105.12488216475903,19.942305803407965,55.63186877384428,411.0226685882654,182.36307696848868,227.56155123498044
medium_roughness_0035,medium_roughness,50.81535560551006,103.4949206889973,41.615324588638615,5.935081027647701,282.491236268712,265.7251525001602,174.83823021114145
high_roughness_0281,high_roughness,30.586780740595223,68.38180356342062,24.86227422153968,59.72861719377275,436.57279679868776,175.8139022266522,316.02892939249676
low_roughness_0352,low_roughness,49.04992974009682,62.665021074697634,46.550128652763426,0.28174853450190035,306.5755930032751,305.7118207628479,187.52407434332545
low_roughness_0005,low_roughness,51.24014224889814,85.1991295133832,44.277166686240115,27.355996714310162,611.2219437318872,444.0160888874494,183.5385286127893
