configuration,window,acceleration,torque_history,train_rmse_nm,test_rmse_nm,baseline_rmse_nm,rms_offload_pct,input_dim
motion_only_w1,1,True,none,7.211822986602783,7.127055644989014,7.412649154663086,3.8527860109825047,3
motion_only_w2,2,True,none,7.159477710723877,7.065330982208252,7.412649154663086,4.685479714581474,6
motion_only_w3,3,True,none,7.141110897064209,7.048769474029541,7.412649154663086,4.908901973387458,9
motion_only_w5,5,True,none,7.118007659912109,7.046680450439453,7.412649154663086,4.937083849347063,15
motion_only_w8,8,True,none,7.111982822418213,7.039885520935059,7.412649154663086,5.028750531023479,24
motion_only_w10,10,True,none,7.0872015953063965,7.054549217224121,7.412649154663086,4.830930615590978,30
motion_only_w15,15,True,none,7.013943195343018,7.042448997497559,7.412649154663086,4.994168069220502,45
motion_only_w20,20,True,none,7.014626502990723,7.075523376464844,7.412649154663086,4.54797969206685,60
