iteration,residual_rmse_nm,loss,offload_pct
1,55.333412170410156,96284.5234375,-1.4905571937561035
2,55.251895904541016,95867.7265625,-1.3450026512145996
3,55.158992767333984,95393.7578125,-1.1786460876464844
4,55.04694747924805,94824.1328125,-0.9779214859008789
5,54.91488265991211,94155.4140625,-0.7410764694213867
6,54.76384735107422,93393.9140625,-0.46955347061157227
7,54.59575271606445,92550.3046875,-0.16630887985229492
8,54.412601470947266,91635.53125,0.16565918922424316
9,54.215450286865234,90656.0625,0.5247175693511963
10,54.00389862060547,89611.234375,0.9118616580963135
11,53.77656555175781,88496.4453125,1.32904052734375
12,53.53195571899414,87306.640625,1.7786860466003418
13,53.26926803588867,86039.5703125,2.263045310974121
14,52.988704681396484,84698.3359375,2.7821898460388184
15,52.691524505615234,83291.1640625,3.3342182636260986
16,52.379878997802734,81829.6875,3.916335105895996
17,52.05634307861328,80327.015625,4.525107145309448
18,51.723045349121094,78794.3046875,5.1573216915130615
19,51.38106155395508,77238.2265625,5.810821056365967
20,51.030426025390625,75660.15625,6.486016511917114
21,50.67117691040039,74062.0,7.1826934814453125
22,50.30452346801758,72451.203125,7.897758483886719
23,49.933128356933594,70840.1640625,8.626627922058105
24,49.560523986816406,69244.25,9.363007545471191
25,49.190101623535156,67677.2265625,10.101151466369629
26,48.824195861816406,66147.8125,10.837101936340332
27,48.46408462524414,64659.9453125,11.568975448608398
28,48.11103820800781,63217.421875,12.294632196426392
29,47.76716232299805,61827.640625,13.009464740753174
30,47.435001373291016,60498.76953125,13.708686828613281
31,47.1163444519043,59236.4375,14.387726783752441
32,46.811580657958984,58040.81640625,15.044522285461426
33,46.52061080932617,56910.16015625,15.678119659423828
34,46.244346618652344,55845.3359375,16.28742218017578
35,45.98472213745117,54851.58203125,16.86825156211853
36,45.74300765991211,53932.1171875,17.416787147521973
37,45.518672943115234,53083.046875,17.93382167816162
38,45.31070327758789,52299.59375,18.420082330703735
39,45.11907958984375,51580.16796875,18.87528896331787
40,44.94457244873047,50926.10546875,19.297462701797485
41,44.78703308105469,50335.87890625,19.686055183410645
42,44.644859313964844,49802.76171875,20.04401683807373
43,44.51652145385742,49320.7890625,20.373785495758057
44,44.40141296386719,48887.44140625,20.675796270370483
45,44.29899597167969,48500.4921875,20.950418710708618
46,44.2076416015625,48154.13671875,21.20034098625183
47,44.12517166137695,47841.05078125,21.429038047790527
48,44.049827575683594,47555.83203125,21.638590097427368
49,43.98030090332031,47294.10546875,21.83111310005188
50,43.91493225097656,47050.58203125,22.009217739105225
51,43.851646423339844,46818.7578125,22.17618227005005
52,43.78873825073242,46593.1640625,22.335004806518555
53,43.72502136230469,46370.046875,22.48777151107788
54,43.65927505493164,46145.72265625,22.636383771896362
55,43.59021759033203,45916.1875,22.78316020965576
56,43.51704025268555,45678.85546875,22.929787635803223
57,43.43951416015625,45432.9609375,23.076897859573364
58,43.35771942138672,45178.53515625,23.224931955337524
59,43.271888732910156,44916.04296875,23.37411642074585
60,43.18251419067383,44646.50390625,23.524606227874756
61,43.09036636352539,44371.8671875,23.67594838142395
62,42.99622344970703,44094.06640625,23.827630281448364
63,42.90079879760742,43814.76171875,23.97940754890442
64,42.80482482910156,43535.546875,24.1311252117157
65,42.7091064453125,43258.0703125,24.282777309417725
66,42.61418151855469,42983.15234375,24.4348406791687
67,42.5203742980957,42711.17578125,24.587762355804443
68,42.4278678894043,42442.2734375,24.741941690444946
69,42.33676528930664,42176.60546875,24.89740252494812
70,42.247135162353516,41914.390625,25.053948163986206
71,42.158958435058594,41655.6328125,25.211453437805176
72,42.07220458984375,41400.5078125,25.369375944137573
73,41.98683166503906,41149.21484375,25.527149438858032
74,41.9026985168457,40901.7578125,25.68417191505432
75,41.819576263427734,40657.890625,25.839996337890625
76,41.737159729003906,40417.09765625,25.994420051574707
77,41.65511703491211,40178.73828125,26.147371530532837
78,41.57312774658203,39942.203125,26.29881501197815
79,41.4908447265625,39706.6796875,26.449012756347656
80,41.408023834228516,39471.52734375,26.598304510116577
81,41.324668884277344,39236.64453125,26.74689292907715
82,41.24081802368164,39002.046875,26.89492702484131
83,41.15665054321289,38768.0703125,27.042406797409058
84,41.07244110107422,38535.30078125,27.18920111656189
85,40.988529205322266,38304.39453125,27.33524441719055
86,40.90521240234375,38075.9375,27.48045325279236
87,40.82272720336914,37850.40234375,27.62473225593567
88,40.74130630493164,37628.24609375,27.767974138259888
89,40.66118240356445,37409.8671875,27.91014313697815
90,40.58249282836914,37195.48828125,28.051263093948364
91,40.50531768798828,36985.2421875,28.19126844406128
92,40.42964553833008,36779.01953125,28.33026647567749
93,40.355403900146484,36576.5859375,28.468382358551025
94,40.28253173828125,36377.921875,28.605377674102783
95,40.210960388183594,36182.89453125,28.741180896759033
96,40.14064407348633,35991.45703125,28.875648975372314
97,40.07154846191406,35803.5390625,29.008764028549194
98,40.00364685058594,35619.01171875,29.140591621398926
99,39.936893463134766,35437.890625,29.27088737487793
100,39.87126159667969,35260.1015625,29.399657249450684
101,39.806671142578125,35085.43359375,29.526954889297485
102,39.74308395385742,34913.82421875,29.652750492095947
103,39.680416107177734,34745.11328125,29.77701425552368
104,39.61862564086914,34579.18359375,29.8997700214386
105,39.55769348144531,34415.99609375,30.02098798751831
