profile,family,roughness_score,rmse_nm,offload_pct,mean_abs_residual_nm,peak_abs_residual_nm
rough_terrain_0031,rough_terrain,0.613254,12.465045,88.039483,9.626331,68.608113
rough_terrain_0079,rough_terrain,0.698099,5.677305,77.502318,4.557843,13.606748
flat_terrain_0095,flat_terrain,0.477593,6.829255,88.408482,5.679672,16.435587
rough_terrain_0086,rough_terrain,0.716766,9.796671,82.023055,8.307201,22.791589
mixed_terrain_0017,mixed_terrain,0.496677,8.334541,63.804534,6.660793,17.561620
rough_terrain_0000,rough_terrain,0.576819,6.447016,64.841004,5.478992,16.201824
flat_terrain_0036,flat_terrain,0.401934,19.717859,81.430710,14.457539,74.004681
mixed_terrain_0030,mixed_terrain,0.506464,10.440435,84.412689,7.510752,32.477991
mixed_terrain_0016,mixed_terrain,0.496002,22.741584,74.779609,19.035593,81.910206
mixed_terrain_0014,mixed_terrain,0.492841,18.682895,71.751399,14.528560,96.775981
flat_terrain_0098,flat_terrain,0.480483,22.912216,60.795855,18.069093,50.446260
rough_terrain_0077,rough_terrain,0.695109,18.607547,58.429168,14.957120,50.804416
flat_terrain_0066,flat_terrain,0.441453,30.487826,77.024944,21.881889,112.256166
mixed_terrain_0039,mixed_terrain,0.514166,22.973328,76.606197,18.132088,79.535437
mixed_terrain_0023,mixed_terrain,0.503228,21.797446,74.851263,17.666816,42.030076
mixed_terrain_0006,mixed_terrain,0.485449,13.270594,83.803986,11.268761,24.625693
flat_terrain_0040,flat_terrain,0.413238,24.898843,74.553628,20.571750,43.276922
flat_terrain_0053,flat_terrain,0.429431,15.939824,48.813205,12.970565,32.331306
flat_terrain_0077,flat_terrain,0.456431,20.729910,72.610736,17.817791,51.873304
rough_terrain_0038,rough_terrain,0.617557,11.540747,65.754101,9.826900,28.830633
flat_terrain_0034,flat_terrain,0.397534,18.713711,81.141425,15.013821,48.632897
mixed_terrain_0071,mixed_terrain,0.550598,6.464411,85.718666,5.148506,19.159836
mixed_terrain_0038,mixed_terrain,0.514098,27.430518,74.156605,22.527410,94.302724
mixed_terrain_0064,mixed_terrain,0.547022,11.047262,75.669316,8.660622,35.330387
flat_terrain_0054,flat_terrain,0.430047,13.356111,45.818677,10.569818,36.885957
flat_terrain_0065,flat_terrain,0.441369,25.001916,68.623317,20.948620,46.196566
flat_terrain_0057,flat_terrain,0.433363,9.046839,85.002438,6.943237,26.497838
mixed_terrain_0003,mixed_terrain,0.482915,16.707292,83.133326,12.840189,82.584314
rough_terrain_0007,rough_terrain,0.583276,10.214390,70.669453,8.412155,21.207376
flat_terrain_0055,flat_terrain,0.431208,4.356552,78.916173,3.475223,12.564998
mixed_terrain_0005,mixed_terrain,0.484509,8.689239,85.981672,6.503471,37.785990
flat_terrain_0006,flat_terrain,0.315503,18.900151,84.479853,14.088717,86.991226
rough_terrain_0028,rough_terrain,0.610105,20.437860,83.904799,16.014496,77.676042
mixed_terrain_0093,mixed_terrain,0.572287,18.869977,79.370838,14.598091,94.557518
rough_terrain_0085,rough_terrain,0.713339,14.961737,86.566088,12.113086,62.392730
rough_terrain_0062,rough_terrain,0.660822,15.021289,85.042043,12.530465,46.831103
mixed_terrain_0053,mixed_terrain,0.533139,10.469844,81.290095,7.540036,32.126843
mixed_terrain_0083,mixed_terrain,0.564553,15.510708,46.277267,12.899085,35.749789
flat_terrain_0070,flat_terrain,0.446390,13.146836,38.142015,10.679524,24.777333
flat_terrain_0097,flat_terrain,0.479436,28.080027,65.305084,24.298778,60.288098
flat_terrain_0067,flat_terrain,0.441991,6.847447,81.629149,5.324378,20.403397
flat_terrain_0001,flat_terrain,0.298901,10.678936,76.612361,7.891552,26.797772
rough_terrain_0083,rough_terrain,0.700953,12.000354,78.009384,10.154307,24.570545
mixed_terrain_0091,mixed_terrain,0.570172,19.040033,69.114554,17.050525,42.463763
mixed_terrain_0069,mixed_terrain,0.549013,10.677566,71.054843,8.729170,23.374999
mixed_terrain_0004,mixed_terrain,0.483671,18.978312,68.606064,16.500622,57.518644
rough_terrain_0080,rough_terrain,0.699073,25.563059,60.938099,22.030866,89.279867
mixed_terrain_0054,mixed_terrain,0.533409,7.693191,79.436496,6.276798,16.041459
