iteration,residual_rmse_nm,loss,offload_pct
1,115.40802764892578,820768.1875,-102.07934379577637
2,114.33708953857422,798037.8125,-100.14955997467041
3,113.10896301269531,772509.5,-97.94106483459473
4,111.57640075683594,741458.8125,-95.19435167312622
5,109.70832824707031,704783.875,-91.85575246810913
6,107.49610137939453,662972.625,-87.91114091873169
7,104.9409408569336,616806.625,-83.36387872695923
8,102.05210876464844,567279.1875,-78.23145389556885
9,98.84681701660156,515539.625,-72.54624366760254
10,95.35094451904297,462841.78125,-66.35862588882446
11,91.60076141357422,410485.625,-59.738361835479736
12,87.64375305175781,359741.46875,-52.77543067932129
13,83.53997039794922,311794.71875,-45.58866024017334
14,79.36181640625,267657.9375,-38.32288980484009
15,75.19441986083984,228109.84375,-31.14476203918457
16,71.13378143310547,193686.046875,-24.25919771194458
17,67.2822036743164,164621.125,-17.883777618408203
18,63.74207305908203,140800.96875,-12.179982662200928
19,60.60746765136719,121878.75,-7.266497611999512
20,57.953895568847656,107370.640625,-3.227841854095459
21,55.82864761352539,96704.140625,-0.08786916732788086
22,54.24454879760742,89274.0859375,2.2005438804626465
23,53.178855895996094,84511.34375,3.7203848361968994
24,52.57807922363281,81909.65625,4.5680224895477295
25,52.36602020263672,81006.65625,4.86416220664978
26,52.453678131103516,81389.2734375,4.72944974899292
27,52.74860382080078,82672.71875,4.291415214538574
28,53.16283416748047,84494.3046875,3.68044376373291
29,53.618438720703125,86525.8671875,3.0112922191619873
30,54.0511360168457,88472.796875,2.389723062515259
31,54.41210174560547,90105.59375,1.8862724304199219
32,54.66848373413086,91251.53125,1.557457447052002
33,54.8034782409668,91814.171875,1.4337897300720215
34,54.814334869384766,91771.71875,1.5212595462799072
35,54.70962905883789,91165.3828125,1.806408166885376
36,54.50666046142578,90088.3984375,2.257239818572998
37,54.227928161621094,88662.515625,2.831786870956421
38,53.89822006225586,87016.015625,3.4876883029937744
39,53.5418815612793,85271.1171875,4.183173179626465
40,53.18124008178711,83536.5703125,4.878175258636475
41,52.834877014160156,81897.3359375,5.54049015045166
42,52.516658782958984,80412.8359375,6.1459362506866455
43,52.23525619506836,79114.984375,6.68150782585144
44,51.99454879760742,78013.7109375,7.1424126625061035
45,51.79401779174805,77100.453125,7.5309157371521
46,51.62996292114258,76355.1640625,7.8530967235565186
47,51.496543884277344,75751.03125,8.117067813873291
48,51.38665008544922,75256.09375,8.334165811538696
49,51.292808532714844,74836.359375,8.518028259277344
50,51.207889556884766,74461.734375,8.679521083831787
51,51.1254997253418,74104.5859375,8.829665184020996
52,51.040313720703125,73741.765625,8.978182077407837
53,50.94827651977539,73355.5703125,9.132915735244751
54,50.846492767333984,72933.8984375,9.299063682556152
55,50.7332878112793,72469.484375,9.480386972427368
56,50.607967376708984,71959.5390625,9.67867374420166
57,50.470767974853516,71405.1171875,9.894323348999023
58,50.322608947753906,70810.03125,10.126614570617676
59,50.1649284362793,70180.09375,10.374152660369873
60,49.99947738647461,69522.7890625,10.63433289527893
61,49.828208923339844,68846.3984375,10.904079675674438
62,49.653076171875,68158.625,11.180800199508667
63,49.47593688964844,67467.1484375,11.461365222930908
64,49.29844665527344,66778.109375,11.743676662445068
65,49.1219596862793,66096.6796875,12.025707960128784
66,48.947509765625,65426.5859375,12.305998802185059
67,48.77581024169922,64770.015625,12.583929300308228
