authority_score,bearing_intersections,candidate,distal_offset,feasible,internal_offset,internal_radius,internal_x,limb_intersections,limb_x,mean_authority_nm,mean_force_residual_n,minimum_authority_nm,minimum_bearing_radius_m,minimum_spring_clearance_m,nonzero_direct_torque_springs,phase,skin_containment_violations,skin_x,spring_clearance_violations,spring_support_violations
147.33497619628906,0,0,-0.09175805224714952,True,0.09743650835886941,0.4571273003230498,-0.03287945694148629,0,0.669337094372306,158.6758575439453,0.038417428731918335,109.3146743774414,0.20514911784751413,0.035443153232336044,36,0.40229429240523934,0,0.22183919017328588,0,0
146.6982421875,0,1,-0.07955605249217546,True,0.004434777434256951,0.48703465106079047,-0.060865860796957154,0,0.6544092874126215,158.69493103027344,0.04298243671655655,106.69007873535156,0.21418517506977888,0.03630790486931801,36,0.5131359677973936,0,0.20877239047099974,0,0
,0,2,0.05421069354837385,False,-0.04356870703552518,0.570293016153738,-0.09401214444129097,0,0.38120570933217746,,,,0.21478764189153182,0.033705566078424454,,0.4894828700061535,0,0.21289093817740523,0,0
,0,3,-0.029976967155852657,False,0.06520017739803305,0.4513312375271056,-0.07540493805634088,0,0.6515176499142439,,,,0.19150234833945362,0.03553307428956032,,0.3741569394645807,0,0.24208102966217884,0,0
,0,4,0.06209306988454866,False,0.03650409845371361,0.41343076610633644,0.08947958356617164,0,0.47986496575175996,,,,0.19036162403534926,0.033020906150341034,,0.383649019888163,0,0.2817548069654186,0,0
153.92376708984375,0,5,0.05652088514677983,True,0.08063368197450449,0.6050148823798098,0.0732567149949743,0,0.6852070329913399,165.83126831054688,0.06173567846417427,114.38491821289062,0.2569494590233688,0.0375751331448555,36,0.2801920187815295,0,0.18809456574219824,0,0
153.16055297851562,0,6,0.09755083718073537,True,-0.03530281807968476,0.6066987062273452,0.09783985647538943,0,0.6317568759424682,165.1279296875,0.07333435118198395,114.58621215820312,0.2463688144482417,0.036150578409433365,36,0.14134909270354118,0,0.22112557131774296,0,0
168.67539978027344,0,7,0.03004041980481298,True,-0.014314145350555973,0.5243108378034698,0.09677042794106958,0,0.5097413810293476,183.93841552734375,0.04038775712251663,137.31631469726562,0.214300005821554,0.03386908769607544,36,0.08988660326863943,0,0.33816309612581097,0,0
,0,8,0.06535059752705283,False,-0.041192595462967545,0.5751949872227483,-0.021302182134524325,0,0.5554770716144526,,,,0.23143663079289672,0.035704661160707474,,0.3866134650249067,0,0.3107349993605919,0,0
,0,9,0.014813574818301894,False,-0.024173314465620988,0.44625104103427404,0.05574822159608869,0,0.32502741520886574,,,,0.17857463102986898,0.031034544110298157,,0.4822955779176267,0,0.3184062716282713,0,0
150.88633728027344,0,10,-0.061679020529039556,True,0.05999592219743832,0.5240469138383568,0.05142633838062824,0,0.39762378028918266,165.14810180664062,0.03984401747584343,112.17741394042969,0.21561360775059285,0.03198749199509621,36,0.3099984007177386,0,0.27820651629732385,0,0
,0,11,0.02032163785158131,False,-0.008416885293092674,0.5742409815483068,0.08908739608250635,0,0.5102596271085491,,,,0.25628110924221154,0.03565308451652527,,0.5055430804624476,0,0.19957201338132288,0,0
148.8232879638672,0,12,-0.07897760576200874,True,0.08034435492469996,0.39200763562580293,0.05888164391424652,0,0.3673950381961788,162.8125457763672,0.029303688555955887,116.61575317382812,0.17834155196194162,0.02985517494380474,36,0.37574265937272305,0,0.3300417121804471,0,0
153.4208984375,0,13,0.07127743402857342,True,-0.01564587120130545,0.39209474458696514,0.0782820994035962,0,0.5154971781297479,166.31228637695312,0.030936388298869133,120.45067596435547,0.17870851181647662,0.03228018060326576,36,0.12215009480826168,0,0.3073365082996221,0,0
,0,14,0.03528741133913471,False,0.028673425390985385,0.5374337190338634,-0.012142466147706532,0,0.5619584607452874,,,,0.23585564713985532,0.03552329167723656,,0.39370890958130816,0,0.23906578866866635,0,0
149.84446716308594,0,15,0.0771923091017589,True,-0.042989804648521715,0.5400639169859385,0.02809133068497205,0,0.36944719096704726,162.9259033203125,0.06933796405792236,114.46003723144531,0.21698979414964925,0.032034214586019516,36,0.11826527720339086,0,0.2876916073254973,0,0
,1,16,-0.0005650823836677726,False,0.060574933463479225,0.32613475982518364,-0.06553192741754038,0,0.39374429140500306,,,,0.13502334761969526,0.02992827259004116,,0.09079772929075396,0,0.3272053290165339,0,0
152.4365997314453,0,17,0.11099354876284603,True,0.028055505677234388,0.47116130237499265,-0.029687773139367768,0,0.458342455022252,164.68240356445312,0.04073086380958557,119.96028137207031,0.20146883505383884,0.03274326026439667,36,0.023229822877865472,0,0.29916192700188915,0,0
151.5946807861328,0,18,0.09294053902370053,True,0.04980837212350195,0.5993249262482111,0.034936298774310065,0,0.32986888719170454,163.93478393554688,0.04290911555290222,119.4110336303711,0.21187527915180301,0.032407958060503006,36,0.2761449515803897,0,0.30325846368917986,0,0
,0,19,-0.014464691612596295,False,-0.0035543762464168294,0.5727642111006204,0.07542076112004434,0,0.5032470837080061,,,,0.24610236140912922,0.03487398102879524,,0.11290614785895714,0,0.21251201716039272,0,0
140.44387817382812,0,20,-0.06757695369210312,True,0.027232270832943606,0.46040859194590644,-0.07700485348183793,0,0.6466767181409431,151.4894256591797,0.04350168630480766,102.52609252929688,0.19914458969098525,0.03511005640029907,36,0.35623828440657657,0,0.19471317478652442,0,0
,0,21,-0.02422816604835701,False,0.006897686347117987,0.6152982836259513,-0.030572733128862578,0,0.4244790024389701,,,,0.24313558939160831,0.03461918234825134,,0.03647004204677594,0,0.29914924703976675,0,0
153.92434692382812,0,22,-0.11444517284298203,True,-0.0200326789236992,0.42084747940795386,0.00899641001819973,0,0.6091020748959599,164.85179138183594,0.03360176458954811,122.98190307617188,0.19610218306554217,0.034358683973550797,36,0.20202013654679257,0,0.28459044352623136,0,0
,0,23,-0.02285767091309701,False,0.011688753851165232,0.38018008482384114,-0.028288831933060782,0,0.4940274728987629,,,,0.18008512433119025,0.03219805285334587,,0.3233791512597379,0,0.2833234143646268,0,0
158.89840698242188,0,24,0.09695898853764642,True,-0.0112333336960833,0.4808925709257137,-0.09440999334483105,0,0.5937957130627499,170.8017120361328,0.04782223701477051,126.7598648071289,0.18802203982796406,0.03490576893091202,36,0.08366691136822017,0,0.2907844583426151,0,0
,0,25,-0.05156690789309351,False,0.06358817338921319,0.49281656483118497,-0.05994432106404826,0,0.528716543931607,,,,0.24073504958643716,0.03482697159051895,,0.03192594474347356,0,0.2821139229149549,0,0
,1,26,-0.031976831336149064,False,-0.08694161926703946,0.35277691983216725,-0.0924691520326175,0,0.3690986580878577,,,,0.14321491363190508,0.030209094285964966,,0.08454231036583755,0,0.23633689138633351,0,0
150.38992309570312,0,27,-0.11026368627144884,True,-0.05336357005069621,0.5265765254153371,0.03047892957245424,0,0.38688492031349414,162.85415649414062,0.03311979025602341,117.03546142578125,0.2131424351340849,0.032572366297245026,36,0.156023817247575,0,0.29401929386895853,0,0
,0,28,-0.05999169519581232,False,-0.03649327240398663,0.44466244172792335,0.043564372405782426,0,0.5270113461687328,,,,0.2165241871473177,0.03399214893579483,,0.08188479814818396,0,0.31738527224666413,0,0
136.35655212402344,0,29,0.06709371454167454,True,-0.015032198419460102,0.5602299647357285,0.04326948780660786,0,0.34455619326708953,150.70849609375,0.03927486762404442,90.98741149902344,0.21535177355039772,0.032654475420713425,36,0.34574667359441275,0,0.21279279827982095,0,0
,0,30,-0.021627744068016458,False,-0.030491865359382683,0.47608059212029946,0.026100915282916914,0,0.6882471244194364,,,,0.22178605845694177,0.03614932671189308,,0.3101940009960246,0,0.24710245371036083,0,0
131.7781524658203,0,31,-0.08148403674050042,True,0.01654662076558329,0.5083256704770243,-0.09750297465000178,0,0.4106544903125457,144.9178924560547,0.04350820928812027,89.21905517578125,0.2045470078019831,0.032491717487573624,36,0.439334212413902,0,0.20895900351120736,0,0
,0,32,-0.0041246670681663045,False,0.07345625296172514,0.3713688166251664,-0.015021410979512442,0,0.4334102241378075,,,,0.19208073622951927,0.03157126531004906,,0.4154484710279008,0,0.20060122466383032,0,0
146.3430633544922,0,33,-0.07781380927200891,True,-0.0017830107833590458,0.33551791884219156,-0.08130952938898997,0,0.3566338343116082,160.6509246826172,0.03574345260858536,114.52571105957031,0.14581649333371463,0.02924005128443241,36,0.28890918240592484,0,0.3349980864516858,0,0
,0,34,-0.016048995588692258,False,-0.04511316531341534,0.4833006141651889,0.07067958085388024,0,0.5193340013182939,,,,0.2182176228625978,0.03394004702568054,,0.09273843152115685,0,0.3094027414524681,0,0
,0,35,0.06174117630023496,False,0.04703459235743443,0.6038515048888082,-0.0786331860647813,0,0.6243422475775291,,,,0.22976503185138042,0.03757317364215851,,0.5055575122369752,0,0.2680895358140375,0,0
124.2881851196289,0,36,0.10480999569477314,True,0.09420732930059053,0.31510145225180924,0.04691667453395876,0,0.3852791740937741,136.11990356445312,0.02317025698721409,85.78022766113281,0.17755049425460717,0.029629815369844437,36,0.18169419188268787,0,0.23057666645252922,0,0
135.70648193359375,0,37,0.10190892671112983,True,0.09406842372063193,0.46678241678644083,0.06707979854062676,0,0.5960746347341508,146.4593963623047,0.03398289531469345,99.1403579711914,0.22482660519535005,0.035136058926582336,36,0.27281101307641203,0,0.19165091220950134,0,0
,0,38,0.038142784649292855,False,-0.09314749773343041,0.35053235132839206,-0.025046223317166952,0,0.5184997123004008,,,,0.18054550362359809,0.033074717968702316,,0.4752588977205795,0,0.25201973780892906,0,0
,0,39,0.0073095037639691884,False,-0.08893444286557602,0.4699817186532689,0.05500064388394585,0,0.4297987252671358,,,,0.20865713821920373,0.03207395598292351,,0.23918737455775896,0,0.2985598511487412,0,0
155.54849243164062,0,40,0.06022740388454187,True,0.05049061449286038,0.3095957264087578,0.07916991783559266,0,0.5923485262870851,170.41192626953125,0.029853034764528275,121.27973937988281,0.1679713335517345,0.03295543044805527,36,0.48608333484190824,0,0.33002542414863295,0,0
,0,41,-0.029022944906429274,False,-0.008492051497249714,0.589802826909312,0.059348614918374704,0,0.4973881158858877,,,,0.2538868169923869,0.034764762967824936,,0.44406049419967497,0,0.1998523444478783,0,0
143.786865234375,0,42,0.09888584967376807,True,0.05346710159671472,0.40859362798055837,-0.06965042097655767,0,0.5623591038319647,155.3247528076172,0.03898804262280464,108.19651794433594,0.18037713799074775,0.03397204726934433,36,0.26545858340239675,0,0.24992267195135587,0,0
,0,43,0.001312353854432305,False,-0.017750706532856667,0.3414679351920308,0.018607344925750363,0,0.6410917545291522,,,,0.2006922488788803,0.03407642990350723,,0.11060937070090764,0,0.21328864259019972,0,0
,0,44,-0.00637199616200429,False,0.014900815932206823,0.38025946260171384,0.0956942053107579,0,0.6081022084387875,,,,0.18100169887820092,0.03377407416701317,,0.1671416397487505,0,0.21762918857370922,0,0
,0,45,0.039201526663310754,False,-0.02147885576117628,0.3007746190940677,0.024291020214266018,0,0.6424038592839961,,,,0.1683618930021419,0.03406465798616409,,0.4791306615510118,0,0.31883216038835394,0,0
147.52320861816406,0,46,0.0892141964261213,True,0.06572909118298462,0.3402001607954964,0.032648705305081044,0,0.421562542146693,161.51443481445312,0.026510167866945267,113.3150405883789,0.17902415024336776,0.03043845295906067,36,0.008758946581495503,0,0.3183024110470277,0,0
158.69265747070312,0,47,0.1162765944444446,True,-0.001342624214704033,0.45163075775718137,-0.08539416882213978,0,0.6752663184214519,169.33648681640625,0.042491521686315536,127.72859191894531,0.1753411671480918,0.03603893890976906,36,0.19826467778685314,0,0.2785637900966822,0,0
161.1315460205078,0,48,-0.07487232551460327,True,0.09616191844063124,0.48049048229612956,-0.09550083608180096,0,0.4839256946377346,175.1865692138672,0.05083693936467171,130.69650268554688,0.17358819720733373,0.03278326243162155,36,0.2269990788653406,0,0.3343489485927873,0,0
140.64366149902344,0,49,0.0862652797173824,True,0.0850761550741245,0.3710081352119631,-0.04081091644745083,0,0.6907430513235921,151.88937377929688,0.03663742542266846,101.99740600585938,0.17240912720640586,0.03524082154035568,36,0.1978509201080721,0,0.20912535318356196,0,0
,0,50,-0.0026244575883418025,False,-0.06322061822288985,0.5158053860246843,-0.025895911096545765,0,0.40679174854098643,,,,0.20396116506297005,0.03261544182896614,,0.12427535758619188,0,0.24485676816760166,0,0
163.09909057617188,0,51,0.06055363446734591,True,0.0848974146383902,0.5973144660227052,-0.02831002439578867,0,0.4094004838105583,177.9087677001953,0.04861282557249069,130.8837432861328,0.2259944569110485,0.03360072895884514,36,0.37476287912061124,0,0.3314432503741702,0,0
128.10890197753906,0,52,0.0772368570986448,True,0.028787106754284725,0.3390812389840753,-0.07774606540884235,0,0.5724581819800485,139.5639190673828,0.03206270560622215,88.72023010253906,0.16555308552670953,0.03359187766909599,36,0.34473273389677533,0,0.1985291038089225,0,0
,0,53,-0.0010121224660415984,False,-0.06464062094615697,0.48513632415477176,0.08658729982315103,0,0.5292132592572938,,,,0.22529364193718585,0.03413589298725128,,0.41959246010222917,0,0.2610910780223296,0,0
139.8277130126953,0,54,-0.07200639774153503,True,0.08472438368335469,0.4323765221145699,-0.048168709879682164,0,0.4432458696302559,154.08929443359375,0.03467226400971413,96.99010467529297,0.2020164468461346,0.03275139257311821,36,0.06428494712050214,0,0.24102282285460735,0,0
125.685791015625,0,55,0.0939997567147007,True,-0.07529280955156195,0.41128937017505135,0.07430359737549386,0,0.5258696690273753,138.0022430419922,0.030193554237484932,84.85620880126953,0.21977207346952105,0.033211760222911835,36,0.4679071120726447,0,0.18239393248902105,0,0
,1,56,-0.09598074335064072,False,0.0046056706969021255,0.3027396808691039,-0.04443036122459681,0,0.44184085289429403,,,,0.14294083989296366,0.03024325519800186,,0.209250727217238,0,0.28489994109738165,0,0
,0,57,0.048414567057403796,False,0.022561190239619305,0.3133053569822435,-0.006087784003474983,0,0.3872308783375449,,,,0.17358611344360972,0.03057131916284561,,0.45541678566827276,0,0.25907826412928925,0,0
126.46543884277344,0,58,-0.1169195890467599,True,-0.04011039510816419,0.3695696885698755,-0.041876970172607164,0,0.47497723495279764,138.1298065185547,0.03276865929365158,88.02494812011719,0.18508642848762005,0.03170086815953255,36,0.509133050701212,0,0.21447712447101958,0,0
141.09860229492188,0,59,-0.09594953728279695,True,0.03743379024092289,0.4991181270442797,0.08454522103065285,0,0.47021639122103653,153.2454071044922,0.03893148899078369,104.1431884765625,0.21740165632848493,0.03269469365477562,36,0.31661780151257635,0,0.2417261125399657,0,0
,0,60,-0.03203586433939068,False,-0.03701487216413164,0.5174681894169898,0.06449659834342336,0,0.42772100195218155,,,,0.22569353247975993,0.033160433173179626,,0.12260365107858139,0,0.2096426279364504,0,0
