source,cross_stiffness_k,cross_rest_scale,internal_stiffness_k,default_mean_rmse_nm,bounded_fit_mean_rmse_nm,bounded_fit_p90_rmse_nm,nonzero_direct_torque_springs
rank_01_candidate_0046.json,5.0,0.9,90.0,62.615235573125446,13.140892855507474,23.734490271771936,48
rank_01_candidate_0046.json,5.0,1.0,90.0,62.80734740566852,13.023230532147176,23.713926208313843,48
rank_01_candidate_0046.json,10.0,0.9,90.0,68.23701632209054,13.051415634666887,23.797172958753794,48
rank_01_candidate_0046.json,10.0,1.0,90.0,68.6784233518039,12.982284781215023,23.786953465211464,48
rank_02_candidate_0062.json,5.0,0.9,90.0,54.22246594170438,12.888992931939097,22.223153487675532,48
rank_02_candidate_0062.json,5.0,1.0,90.0,54.371001513190734,12.770793694851154,21.80619413817677,48
rank_02_candidate_0062.json,10.0,0.9,90.0,58.22123016202088,12.377712985813707,21.7290470030059,48
rank_02_candidate_0062.json,10.0,1.0,90.0,58.61934924856537,12.265746709458679,21.703711753335792,48
rank_03_candidate_0001.json,5.0,0.9,90.0,55.72700296446324,11.28824916485551,20.385533645463795,48
rank_03_candidate_0001.json,5.0,1.0,90.0,55.842032990117424,11.271048370380873,20.39975103704623,48
rank_03_candidate_0001.json,10.0,0.9,90.0,59.79250456369878,11.273799276916693,20.43971466382293,48
rank_03_candidate_0001.json,10.0,1.0,90.0,60.08159231142548,11.271350739657121,20.463920478640457,48
rank_04_candidate_0031.json,5.0,0.9,90.0,53.77864468714161,14.786832975877303,26.155260727383155,48
rank_04_candidate_0031.json,5.0,1.0,90.0,53.92996162607665,14.736814744700524,26.037402555935085,48
rank_04_candidate_0031.json,10.0,0.9,90.0,57.744815015008406,14.672049518012608,25.956683605318368,48
rank_04_candidate_0031.json,10.0,1.0,90.0,58.16116577696043,14.634005264066161,25.902804598204057,48
rank_05_candidate_0085.json,5.0,0.9,90.0,62.567233128299925,16.0989425225328,28.766811940452445,48
rank_05_candidate_0085.json,5.0,1.0,90.0,62.78914486641863,15.936565855146274,28.26917493742328,48
rank_05_candidate_0085.json,10.0,0.9,90.0,68.33726682558607,15.899638195050201,27.81676224497852,48
rank_05_candidate_0085.json,10.0,1.0,90.0,68.84929730974925,15.745300465113655,27.81484095635741,48
rank_06_candidate_0081.json,5.0,0.9,90.0,62.804782210521374,15.121125521821352,27.42345035528032,48
rank_06_candidate_0081.json,5.0,1.0,90.0,63.00691611697373,14.96614806773166,27.487135356329492,48
rank_06_candidate_0081.json,10.0,0.9,90.0,68.56697755118334,14.887435509192585,27.407795202389504,48
rank_06_candidate_0081.json,10.0,1.0,90.0,69.03169950445923,14.792656892452737,27.47056781265331,48
rank_07_candidate_0079.json,5.0,0.9,90.0,61.932677030004655,12.815528973054574,24.542841834497068,48
rank_07_candidate_0079.json,5.0,1.0,90.0,61.92150629926978,12.758970988733981,24.420328310330415,48
rank_07_candidate_0079.json,10.0,0.9,90.0,66.23714177780509,12.794318786575081,24.615727157480904,48
rank_07_candidate_0079.json,10.0,1.0,90.0,66.22021183721252,12.739071255223461,24.500401148076342,48
rank_08_candidate_0013.json,5.0,0.9,90.0,56.039304308976966,13.42536939273748,24.569049646255753,48
rank_08_candidate_0013.json,5.0,1.0,90.0,56.07856685635436,13.41112906327507,24.602280414931073,48
rank_08_candidate_0013.json,10.0,0.9,90.0,59.78929939745402,13.481091201544794,24.850680195755597,48
rank_08_candidate_0013.json,10.0,1.0,90.0,59.89107273667903,13.49091683296568,24.921251203573984,48
rank_09_candidate_0048.json,5.0,0.9,90.0,62.85247631542004,12.86846499078458,25.05137274581369,48
rank_09_candidate_0048.json,5.0,1.0,90.0,62.7929896722906,12.78658827047775,25.074764903157213,48
rank_09_candidate_0048.json,10.0,0.9,90.0,67.02970410627009,12.843213847235495,25.259868808467633,48
rank_09_candidate_0048.json,10.0,1.0,90.0,66.9129525044902,12.797893344867083,25.299202645743897,48
rank_10_candidate_0035.json,5.0,0.9,90.0,53.082279123564184,12.0382058702817,21.194384231633244,48
rank_10_candidate_0035.json,5.0,1.0,90.0,53.09371109668607,12.05320155954664,21.21140823379118,48
rank_10_candidate_0035.json,10.0,0.9,90.0,55.87075750409375,12.145958837932977,21.32985374216871,48
rank_10_candidate_0035.json,10.0,1.0,90.0,55.90909354679286,12.152627026725732,21.381314174435534,48
rank_11_candidate_0029.json,5.0,0.9,90.0,61.26987898062712,13.318628676210139,25.139573248787297,48
rank_11_candidate_0029.json,5.0,1.0,90.0,61.20463924388031,13.235804342349212,25.06055498335544,48
rank_11_candidate_0029.json,10.0,0.9,90.0,65.20694100585646,13.341510907562869,25.21579752031819,48
rank_11_candidate_0029.json,10.0,1.0,90.0,65.0775969060067,13.275506529706849,25.14918926636366,48
rank_12_candidate_0038.json,5.0,0.9,90.0,52.98141999326863,12.122585505741336,21.427169258084977,48
rank_12_candidate_0038.json,5.0,1.0,90.0,53.08033980992868,12.055533730270742,21.385849495056966,48
rank_12_candidate_0038.json,10.0,0.9,90.0,56.33431329342009,12.009744559020637,21.341666669660086,48
rank_12_candidate_0038.json,10.0,1.0,90.0,56.611104983188625,11.976184853387455,21.298191816382495,48
