rest_length_scale,nominal_preload_pct,baseline_torque_rms_nm,baseline_peak_abs_torque_nm,mean_force_residual_n,max_force_residual_n
0.65,35.0,5.416318893432617,8.847679138183594,0.008445393294095993,0.011247172020375729
0.625,37.5,7.060881614685059,12.984023094177246,0.008968361653387547,0.01234784722328186
0.6,40.0,9.189441680908203,17.179664611816406,0.009566126391291618,0.011845453642308712
0.575,42.50000000000001,11.5653657913208,21.42549705505371,0.010159749537706375,0.011893016286194324
0.55,44.99999999999999,14.085070610046387,25.71829605102539,0.010938048362731934,0.013516691513359547
