group,model,topology,cases,duration_s,samples,motoring_efficiency,regen_efficiency,average_baseline_energy_burden_j,average_energy_burden_with_spring_j,average_baseline_net_battery_energy_j,average_net_battery_energy_with_spring_j,average_baseline_braking_energy_j,average_braking_energy_with_spring_j,average_baseline_regenerated_energy_j,average_regenerated_energy_with_spring_j,average_energy_saved_j,average_offload_pct,average_mean_abs_torque_error_nm,average_max_abs_torque_error_nm
overall,stiffness_causal_torque_mse,internal_fan_20_spring_model,300,5.0000,160,0.8500,0.6000,539.6997,330.2445,195.5798,132.3841,344.1199,197.8605,206.4719,118.7163,209.4551,37.7422,27.3451,92.4501
flat_terrain,stiffness_causal_torque_mse,internal_fan_20_spring_model,100,5.0000,160,0.8500,0.6000,556.3993,313.5051,197.5506,121.6105,358.8488,191.8946,215.3093,115.1368,242.8942,42.9429,26.1785,86.0655
mixed_terrain,stiffness_causal_torque_mse,internal_fan_20_spring_model,100,5.0000,160,0.8500,0.6000,546.3317,324.0665,197.6326,129.5799,348.6991,194.4866,209.2195,116.6919,222.2652,39.4472,26.8216,89.9393
rough_terrain,stiffness_causal_torque_mse,internal_fan_20_spring_model,100,5.0000,160,0.8500,0.6000,516.3680,353.1620,191.5563,145.9618,324.8117,207.2002,194.8870,124.3201,163.2060,30.8364,29.0353,101.3456
